date,Berlin,Mitte,"Friedrichs-
hain-
Kreuz-
berg",Pankow,"Charlotten-
burg-
Wilmers-
dorf",Spandau,"Steglitz-
Zehlen-
dorf","Tempel-
hof-
Schöne-
berg",Neukölln,"Treptow-
Köpenick","Marzahn-
Hellers-
dorf","Lichten-
berg","Reinicken-
dorf"
31-12-2013,538729,101204,63644,33056,68082,28761,36076,52711,73589,11065,13198,25113,32230
31-12-2014,573342,107069,65364,37472,71480,32159,36974,56044,76517,12855,15050,28010,34348
31-12-2015,621075,113210,68366,41620,75870,37207,38180,61489,79375,16022,18410,33683,37643
31-12-2016,676741,120931,71932,47683,81241,43144,41163,66014,79896,19981,21675,40555,42526
31-12-2017,711282,126075,74449,51711,82730,45906,43142,68397,82445,22412,26257,42871,44887
31-12-2018,748472,131070,78890,56249,85244,47504,44797,71547,84710,25251,28322,47671,47217
31-12-2019,777345,132815,80829,59105,88340,50464,47442,72297,85300,27932,30561,51960,50300
31-12-2020,789076,130851,81363,61151,86881,51995,47741,72076,85604,30226,34449,55211,51528
31-12-2021,811334,134342,82495,65470,81154,54744,47784,72389,86873,34011,38720,59941,53411
31-12-2022,900144,144990,87944,75586,89194,62462,53413,78430,90960,42857,46957,69822,57529
31-12-2023,946369,148409,89525,81457,92071,66954,55123,81506,93045,48286,54230,75946,59817
31-12-2024,971878,147951,89992,84171,93506,69363,55338,83582,93795,50836,57643,79702,65999
