date,Berlin,Mitte,"Friedrichs-
hain-
Kreuz-
berg",Pankow,"Charlotten-
burg-
Wilmers-
dorf",Spandau,"Steglitz-
Zehlen-
dorf","Tempel-
hof-
Schöne-
berg",Neukölln,"Treptow-
Köpenick","Marzahn-
Hellers-
dorf","Lichten-
berg","Reinicken-
dorf"
31-12-2013,3517424,348102,273517,377532,322870,226868,298200,331822,322153,245951,254226,264858,251325
31-12-2014,3562166,356506,275691,384367,326354,230419,299268,335767,325716,249440,256173,268465,254000
31-12-2015,3610156,363236,278393,389976,330468,234630,299765,341161,328062,253333,259373,275142,256617
31-12-2016,3670622,371407,281323,397406,336249,239942,304086,346108,327522,259524,262015,283121,261919
31-12-2017,3711930,377965,283974,402289,338831,242143,307076,348739,329387,264999,266684,286246,263597
31-12-2018,3748148,383457,289120,407039,341327,243080,308077,351429,330786,269775,268739,290493,264826
31-12-2019,3769495,385748,290386,409335,343592,245197,310071,350984,329917,273689,269967,294201,266408
31-12-2020,3769962,383360,289787,410716,341392,245527,308840,349539,327945,276165,273731,296837,266123
31-12-2021,3775480,385692,289014,413168,333998,247396,307135,348523,327100,280357,277639,299686,265772
31-12-2022,3850809,395599,293231,420768,341155,254175,311040,353913,329476,289180,285678,308286,268308
31-12-2023,3878100,397134,293454,424307,343081,257091,310446,355868,330017,294081,291948,311881,268792
31-12-2024,3897145,397004,292624,427276,343500,259277,310044,356959,329488,297236,294091,315548,274098
