pharmacy_id,district_id,name,street,housenumber,postal_code,district,neighborhood,phone_number,website,services_offered,openinghours,wheelchair_accessible,latitude,longitude,coordinates
448915579,11003003,arminius-apotheke,schönhauser allee,172A,nan,Pankow,Prenzlauer Berg,,nan,dispensing_yes,mo-fr 08:00-19:00; sa 08:00-13:00,yes,52.5329218,13.4122894,POINT(13.4122894 52.5329218)
452946886,11011011,koala-apotheke,weißenseer weg,36,13055,Lichtenberg,Alt-Hohenschönhausen,+493097105750,https://www.koalaapotheke.de/,dispensing_yes,mo-fr 08:00-19:00; sa 08:00-13:00,yes,52.5359237,13.4743188,POINT(13.4743188 52.5359237)
452951395,11006006,krumme lanke apotheke,fischerhüttenstraße,64,14163,Steglitz-Zehlendorf,Zehlendorf,+493080902884,https://www.krumme-lanke-apotheke.de/,dispensing_yes,mo-fr 08:30-19:00; sa 08:30-14:00,yes,52.4421581,13.2408947,POINT(13.2408947 52.4421581)
453013649,11011011,apotheke am fennpfuhl,franz-jacob-straße,10,10369,Lichtenberg,Fennpfuhl,,nan,dispensing_yes,mo-th 08:00-19:00; fr 08:00-18:00; sa 08:30-12:30,yes,52.5280106,13.4679731,POINT(13.4679731 52.5280106)
454167250,11003003,bartels apotheke,nan,nan,nan,Pankow,Pankow,+493047301356,https://www.bartels-apotheke.de/,dispensing_yes,mo-fr 08:00-19:00; sa 08:00-13:00,yes,52.558703,13.413785,POINT(13.413785 52.558703)
454216844,11003003,koala apotheke,breite straße,20,13187,Pankow,Pankow,,nan,dispensing_yes,mo-fr 08:00-20:00; sa 09:00-20:00,yes,52.569669,13.4033014,POINT(13.4033014 52.569669)
454234943,11011011,rusche-apotheke,ruschestraße,103,10365,Lichtenberg,Lichtenberg,,nan,dispensing_yes,mo-th 08:00-18:30; fr 08:00-18:00; sa 09:00-13:00,no,52.5152094,13.4853643,POINT(13.4853643 52.5152094)
456388989,11009009,sterndamm-apotheke,sterndamm,11,12487,Treptow-Köpenick,Johannisthal,,nan,dispensing_yes,"mo-th 08:00-19:00; we,fr 08:00-18:30; sa 09:00-12:30",yes,52.452556,13.5094857,POINT(13.5094857 52.452556)
456389100,11009009,apotheke johannisthal,nan,nan,nan,Treptow-Köpenick,Johannisthal,,nan,dispensing_yes,mo-fr 08:00-18:30; sa 09:00-13:00,yes,52.4458331,13.5060772,POINT(13.5060772 52.4458331)
456414245,11008008,pfauen-apotheke,nan,nan,nan,Neukölln,Buckow,,nan,dispensing_yes,mo-fr 08:00-18:30; sa 08:30-13:30,yes,52.4412581,13.4588411,POINT(13.4588411 52.4412581)
456421034,11008008,fontane-apotheke,rudower straße,nan,12351,Neukölln,Buckow,,nan,dispensing_yes,"mo-fr 08:00-13:00,14:00-18:30; sa off",yes,52.4426146,13.4568396,POINT(13.4568396 52.4426146)
458915641,11003003,adler apotheke,breite straße,41,13187,Pankow,Pankow,+493047539300,https://adlerapotheke-berlin.de/,dispensing_yes,mo-fr 08:00-18:30; sa 09:00-14:00,limited,52.5707966,13.4103966,POINT(13.4103966 52.5707966)
459166572,11001001,zieten apotheke,gerichtstraße,31,13347,Mitte,Wedding,,https://www.zietenapotheke.de,dispensing_yes,mo-fr 08:30-18:30; sa 09:00-13:00,yes,52.5449696,13.3686333,POINT(13.3686333 52.5449696)
459650830,11008008,easy apotheke,kottbusser damm,78,10967,Neukölln,Neukölln,+493069814634,https://kottbusser-damm.easyapotheken.de/,dispensing_yes,mo-fr 09:00-20:00; sa 09:00-19:00; su off,yes,52.491228,13.4234937,POINT(13.4234937 52.491228)
459653935,11002002,paul-lincke-apotheke,nan,nan,nan,Friedrichshain-Kreuzberg,Kreuzberg,+49306181020,nan,dispensing_yes,mo-fr 08:00-19:00; sa 08:30-16:00,yes,52.4966636,13.4199367,POINT(13.4199367 52.4966636)
459673262,11003003,lavendel apotheke,blankenburger straße,1,13156,Pankow,Niederschönhausen,,nan,dispensing_yes,"mo-th 09:00-18:30; fr 09:00-18:00; sa,su off",yes,52.5816372,13.4045453,POINT(13.4045453 52.5816372)
459785177,11001001,steinbock-apotheke,nan,nan,nan,Mitte,Wedding,,nan,dispensing_yes,"mo-fr 09:00-18:30, sa 09:00-13:00",no,52.5595433,13.3354795,POINT(13.3354795 52.5595433)
459799715,11001001,müller-apotheke,müllerstraße,156C,nan,Mitte,Wedding,+493046604488,nan,dispensing_yes,mo-fr 08:30-19:00; sa 09:00-16:00,yes,52.545171,13.3608309,POINT(13.3608309 52.545171)
460523245,11005005,hohenzollern-apotheke,pichelsdorfer straße,101,13595,Spandau,Wilhelmstadt,+49303318447,https://www.hozoapo.de/,dispensing_yes,nan,yes,52.5241148,13.1973279,POINT(13.1973279 52.5241148)
461626277,11002002,europa apotheke,karl-marx-allee,90a,10243,Friedrichshain-Kreuzberg,Friedrichshain,,nan,dispensing_yes,"mo-fr 08:30-18:30, sa 08:30-13:00",yes,52.5164022,13.4406999,POINT(13.4406999 52.5164022)
472371488,11010010,vivapotheke in hellersdorf,hellersdorfer straße,237,12627,Marzahn-Hellersdorf,Hellersdorf,,http://www.apo-berlin.de/#4rdpage,,nan,yes,52.5365149,13.603422,POINT(13.603422 52.5365149)
475236781,11008008,tasmania apotheke,emser straße,105,12051,Neukölln,Neukölln,+49306257035,https://www.tasmania-apotheke.de/,dispensing_yes,mo-fr 08:30-19:30; sa 08:30-14:00,yes,52.468338,13.4305501,POINT(13.4305501 52.468338)
476243460,11009009,luna apotheke,am treptower park,40,12435,Treptow-Köpenick,Plänterwald,+493053698100,https://www.luna-apotheke-berlin.de/,dispensing_yes,mo-fr 08:30-18:30; sa 08:30-13:00,yes,52.4857173,13.4660642,POINT(13.4660642 52.4857173)
482797544,11009009,sabelus xxl apotheke,buntzelstraße,117,12526,Treptow-Köpenick,Bohnsdorf,+49306763313,https://www.sabelus.de/apotheke-berlin-bohnsdorf-621444.html,dispensing_yes,mo-fr 8:00-19:00;sa 8:00-13:00,limited,52.4010732,13.5617695,POINT(13.5617695 52.4010732)
499046359,11003003,kastanien-apotheke pankow,kastanienallee,37-38,13158,Pankow,Rosenthal,+493091207990,https://www.kastanien-apotheke-pankow.de/,dispensing_yes,mo-sa 08:00-20:00,yes,52.5920493,13.3830878,POINT(13.3830878 52.5920493)
499963012,11006006,stolpe-apotheke,chausseestraße,13,14109,Steglitz-Zehlendorf,Wannsee,,nan,dispensing_yes,mo-fr 08:30-18:30; we 08:30-18:00; sa 08:30-13:00,no,52.4157499,13.1456517,POINT(13.1456517 52.4157499)
502409526,11009009,baumschulen-apotheke,baumschulenstraße,29-31,12437,Treptow-Köpenick,Baumschulenweg,+493064167777,https://www.baumschulen-apotheke-berlin.de/,dispensing_yes,we-fr 08:00-19:00; sa 08:00-15:00,yes,52.4642316,13.4857268,POINT(13.4857268 52.4642316)
505990860,11002002,rathaus apotheke,großbeerenstraße,26,10963,Friedrichshain-Kreuzberg,Kreuzberg,+49302158084,https://www.apotheken.de/10963/berlin/rathaus-apotheke-kreuzberg,dispensing_yes,mo-fr 09:00-18:30; sa 09:00-14:00; ph off,yes,52.4943559,13.3835242,POINT(13.3835242 52.4943559)
506338850,11008008,farma-plus,britzer damm,30,12347,Neukölln,Britz,,nan,dispensing_yes,"mo,tu,th,fr 09:00-18:00; we 09:00-14:00; sa off",yes,52.46018,13.4350711,POINT(13.4350711 52.46018)
508423804,11004004,hagen apotheke,hohenzollerndamm,94,14199,Charlottenburg-Wilmersdorf,Schmargendorf,+49308264067,nan,dispensing_yes,mo-fr 08:30-18:30;sa 08:30-13:30,no,52.4773766,13.2811924,POINT(13.2811924 52.4773766)
510624102,11007007,albrecht-apotheke,tempelhofer damm,179,12099,Tempelhof-Schöneberg,Tempelhof,+49307518014,https://www.albrecht-apotheke-berlin.de/,dispensing_yes,"mo,tu,th 08:30-19:00; we,fr 08:30-18:30; sa 08:30-14:00; su,ph off",yes,52.4609874,13.38514,POINT(13.38514 52.4609874)
516609077,11012012,gorki-apotheke,gorkistraße,3,13507,Reinickendorf,Tegel,,nan,dispensing_yes,"mo-fr 08:00-20:00, sa 08:00-18:00",yes,52.5898484,13.2842663,POINT(13.2842663 52.5898484)
518011179,11012012,adler-apotheke,berliner straße,91,13507,Reinickendorf,Tegel,,nan,dispensing_yes,"mo-fr 08:30-19:00, sa 09:30-13:30",yes,52.5876355,13.2860212,POINT(13.2860212 52.5876355)
520518100,11004004,opernviertel-apotheke,bismarckstraße,30,10625,Charlottenburg-Wilmersdorf,Charlottenburg,,nan,dispensing_yes,mo-fr 08:00-18:30; sa 08:00-13:00,yes,52.5120981,13.3105177,POINT(13.3105177 52.5120981)
527503229,11004004,sankt rochus apotheke,schlangenbader straße,25,14197,Charlottenburg-Wilmersdorf,Wilmersdorf,+49308236041,nan,dispensing_yes,mo-fr 08:30-18:30; sa 08:30-13:00,yes,52.4728776,13.3071455,POINT(13.3071455 52.4728776)
