technical_id,key,object_number,district_id,district,neighborhood,green_area_type,playground_name,playground_suffix,year_built,last_renovation_year,area_sqm,dedication,planning_area_number,planning_area_name,net_play_area_sqm,full_address,latitude,longitude
00008100_001c676d,00008100:001c676d,030072,'09,Treptow-Köpenick,Baumschulenweg,Spielplatz,Köpenicker Landstraße/ Rodelbergweg Ba KSP,Unknown,2020.0,,1335.0,gewidmet,9100305.0,Baumschulenweg Ost,743.94,"Köpenicker Landstraße/ Rodelbergweg Ba KSP,Baumschulenweg Ost, Berlin, Germany",,
00008100_001c69eb,00008100:001c69eb,100222,'09,Treptow-Köpenick,Köpenick,Spielplatz,Landjägerstraße/ Amtswäldchen Köp KSP,(6a/3-11),,,1755.3,gewidmet,9401534.0,Altstadt Köpenick,1354.62,"Landjägerstraße/ Amtswäldchen Köp KSP,Altstadt Köpenick, Berlin, Germany",,
00008100_001c676a,00008100:001c676a,030022,'09,Treptow-Köpenick,Baumschulenweg,Spielplatz,Hänselstraße/ Kiefholzstraße vor Nr. 151 Ba KSP,Unknown,,,3237.0,gewidmet,9100304.0,Baumschulenweg West,1623.0,"Hänselstraße/ Kiefholzstraße vor Nr. 151 Ba KSP,Baumschulenweg West, Berlin, Germany",,
00008100_001c69ed,00008100:001c69ed,100102,'09,Treptow-Köpenick,Köpenick,Spielplatz,Ernst-Grube-Straße Köp KSP,Unknown,,,496.5,gewidmet,9200818.0,Spindlersfeld,498.3,"Ernst-Grube-Straße Köp KSP,Spindlersfeld, Berlin, Germany",,
00008100_001c6963,00008100:001c6963,100382,'09,Treptow-Köpenick,Köpenick,Spielplatz,Ottomar-Geschke-Straße/ Köllnische Vorstadt Köp KSP,"Ballspielplatz, Drachenwiese",,2007.0,2845.7,gewidmet,9200819.0,Köllnische Vorstadt,2450.0,"Ottomar-Geschke-Straße/ Köllnische Vorstadt Köp KSP,Köllnische Vorstadt, Berlin, Germany",,
00008100_001c69fa,00008100:001c69fa,090042,'09,Treptow-Köpenick,Oberschöneweide,Spielplatz,Griechische Allee/ Fontanestraße Ob KSP,"Griechischer Park, Kleinkinderspielplatz",,,512.9,gewidmet,9200511.0,Griechischer Park,416.0,"Griechische Allee/ Fontanestraße Ob KSP,Griechischer Park, Berlin, Germany",,
00008100_00217341,00008100:00217341,040072,'09,Treptow-Köpenick,Johannisthal,Spielplatz,Hermann-Dorner-Allee/ Landschaftspark Kammer 34 Jo KSP,Fitnesspark ehemaliges Flugfeld,,,316.0,Unknown,9100409.0,Landschaftspark Adlershof,83.7,"Hermann-Dorner-Allee/ Landschaftspark Kammer 34 Jo KSP,Landschaftspark Adlershof, Berlin, Germany",,
00008100_001c69f9,00008100:001c69f9,090062,'09,Treptow-Köpenick,Oberschöneweide,Spielplatz,Griechische Allee/ Großstraße (Ballspielplatz) Ob KSP,"Griechischer Park, Ballspielplatz",,,262.0,gewidmet,9200511.0,Griechischer Park,261.7,"Griechische Allee/ Großstraße (Ballspielplatz) Ob KSP,Griechischer Park, Berlin, Germany",,
00008100_001c664b,00008100:001c664b,060062,'09,Treptow-Köpenick,Altglienicke,Spielplatz,Müngersdorfer Straße/ Coloniapark III Ag KSP,Tennisplatz,,,1337.2,gewidmet,9300923.0,Kölner Viertel,1337.21,"Müngersdorfer Straße/ Coloniapark III Ag KSP,Kölner Viertel, Berlin, Germany",,
00008100_001c6743,00008100:001c6743,040152,'09,Treptow-Köpenick,Johannisthal,Spielplatz,Sterndamm neben Nr. 252 Jo KSP,Unknown,,,2106.0,gewidmet,9100407.0,Johannisthal West,866.0,"Sterndamm neben Nr. 252 Jo KSP,Johannisthal West, Berlin, Germany",,
00008100_000e3ac5,00008100:000e3ac5,100901,'06,Steglitz-Zehlendorf,Zehlendorf,Spielplatz,Grünzug Düppel-Süd SP -2/2,Ludwigsfelder Straße,,,1193.0,gewidmet,6300524.0,Berlepschstraße,657.88,"Grünzug Düppel-Süd SP -2/2,Berlepschstraße, Berlin, Germany",,
00008100_001c6650,00008100:001c6650,060112,'09,Treptow-Köpenick,Altglienicke,Spielplatz,Lehmusstraße/ Altglienicker Aue Ag KSP,Unknown,,,1306.0,gewidmet,9300923.0,Kölner Viertel,1391.97,"Lehmusstraße/ Altglienicker Aue Ag KSP,Kölner Viertel, Berlin, Germany",,
00008100_001c6482,00008100:001c6482,010082,'09,Treptow-Köpenick,Alt-Treptow,Spielplatz,Am Treptower Park/ TT Revierunterkunft AT KSP,Revierunterkunft,,,50.0,gewidmet,9100101.0,Alt-Treptow,42.84,"Am Treptower Park/ TT Revierunterkunft AT KSP,Alt-Treptow, Berlin, Germany",,
00008100_001c6854,00008100:001c6854,010042,'09,Treptow-Köpenick,Alt-Treptow,Spielplatz,Lohmühlenstraße/ Görlitzer Bahndamm AT KSP,Hangrutsche im Schlesischen Busch,,,143.0,gewidmet,9100101.0,Alt-Treptow,130.0,"Lohmühlenstraße/ Görlitzer Bahndamm AT KSP,Alt-Treptow, Berlin, Germany",,
00008100_001c6729,00008100:001c6729,070012,'09,Treptow-Köpenick,Adlershof,Spielplatz,Anna-Seghers-Straße 101-105 Ahof KSP,Unknown,1997.0,2016.0,5600.0,gewidmet,9200716.0,Dörpfeldstraße West,3151.63,"Anna-Seghers-Straße 101-105 Ahof KSP,Dörpfeldstraße West, Berlin, Germany",,
00008100_001c69f6,00008100:001c69f6,100112,'09,Treptow-Köpenick,Köpenick,Spielplatz,Friedrichshagener Straße/ Plateau Köp KSP,(6a/1-3),,,747.6,gewidmet,9501941.0,Friedrichshagener Straße,747.65,"Friedrichshagener Straße/ Plateau Köp KSP,Friedrichshagener Straße, Berlin, Germany",,
00008100_001c64ed,00008100:001c64ed,100172,'09,Treptow-Köpenick,Köpenick,Spielplatz,Hoppendorfer Straße/ Wuhlewanderweg Köp KSP,neben 100051 Am Bahndamm/Wuhlegrünzug Köp GA,,,2153.0,gewidmet,9502043.0,Dammheide,1500.0,"Hoppendorfer Straße/ Wuhlewanderweg Köp KSP,Dammheide, Berlin, Germany",,
00008100_001c68cd,00008100:001c68cd,090052,'09,Treptow-Köpenick,Oberschöneweide,Spielplatz,Griechische Allee/ Großstraße Ob KSP,Unknown,,,630.0,gewidmet,9200511.0,Griechischer Park,410.0,"Griechische Allee/ Großstraße Ob KSP,Griechischer Park, Berlin, Germany",,
00008100_001c6488,00008100:001c6488,040012,'09,Treptow-Köpenick,Johannisthal,Spielplatz,Hermann-Dorner-Allee/ Beachvolleyball Jo KSP,Beachvolleyball ehemaliges Flugfeld,,,382.5,Unknown,9100409.0,Landschaftspark Adlershof,382.54,"Hermann-Dorner-Allee/ Beachvolleyball Jo KSP,Landschaftspark Adlershof, Berlin, Germany",,
00008100_001c64ee,00008100:001c64ee,100262,'09,Treptow-Köpenick,Köpenick,Spielplatz,Lindenstraße/ Wuhlemündung Köp KSP,"Wuhlemündung, südl.Lindenstr.",,,261.1,gewidmet,9501939.0,Bahnhofstraße,261.0,"Lindenstraße/ Wuhlemündung Köp KSP,Bahnhofstraße, Berlin, Germany",,
00008100_001c664e,00008100:001c664e,060052,'09,Treptow-Köpenick,Altglienicke,Spielplatz,Chorweiler Straße/ Coloniapark I Ag KSP,Unknown,,,899.6,gewidmet,9300923.0,Kölner Viertel,725.9,"Chorweiler Straße/ Coloniapark I Ag KSP,Kölner Viertel, Berlin, Germany",,
00008100_001c6770,00008100:001c6770,030082,'09,Treptow-Köpenick,Baumschulenweg,Spielplatz,Neue Krugallee neben 174/ Lakegrund Ba KSP,Unknown,,,1402.8,gewidmet,9100305.0,Baumschulenweg Ost,400.0,"Neue Krugallee neben 174/ Lakegrund Ba KSP,Baumschulenweg Ost, Berlin, Germany",,
00008100_001c6769,00008100:001c6769,020022,'09,Treptow-Köpenick,Plänterwald,Spielplatz,Bergaustraße/ Eichbuschallee Pl KSP,Unknown,,,6802.6,gewidmet,9100203.0,Plänterwald Ost,4888.0,"Bergaustraße/ Eichbuschallee Pl KSP,Plänterwald Ost, Berlin, Germany",,
00008100_001c6753,00008100:001c6753,040032,'09,Treptow-Köpenick,Johannisthal,Spielplatz,Breiter Weg neben Nr. 35 Jo KSP,Unknown,2023.0,,669.2,gewidmet,9100407.0,Johannisthal West,600.0,"Breiter Weg neben Nr. 35 Jo KSP,Johannisthal West, Berlin, Germany",,
00008100_001c6489,00008100:001c6489,040052,'09,Treptow-Köpenick,Johannisthal,Spielplatz,Hermann-Dorner-Allee/ Rollfeld Jo KSP,Skaterstrecke ehemaliges Flugfeld,2005.0,,3262.0,Unknown,9100409.0,Landschaftspark Adlershof,2469.76,"Hermann-Dorner-Allee/ Rollfeld Jo KSP,Landschaftspark Adlershof, Berlin, Germany",,
00008100_000e3bb9,00008100:000e3bb9,102179,'06,Steglitz-Zehlendorf,Nikolassee,Spielplatz,Potsdamer Chaussee 66 C SP,Unknown,,,869.0,gewidmet,6400736.0,Düppel,616.18,"Potsdamer Chaussee 66 C SP,Düppel, Berlin, Germany",,
00008100_001c650c,00008100:001c650c,100232,'09,Treptow-Köpenick,Köpenick,Spielplatz,Landjägerstraße/ Amtswäldchen (Ball) Köp KSP,Unknown,,,1459.6,gewidmet,9401534.0,Altstadt Köpenick,12.94,"Landjägerstraße/ Amtswäldchen (Ball) Köp KSP,Altstadt Köpenick, Berlin, Germany",,
00008100_001c6976,00008100:001c6976,100442,'09,Treptow-Köpenick,Köpenick,Spielplatz,Strandschloßweg Köp KSP,mit Bolzplatz,,,841.7,gewidmet,9401433.0,Allende II,800.0,"Strandschloßweg Köp KSP,Allende II, Berlin, Germany",,
00008100_001c64a3,00008100:001c64a3,060352,'09,Treptow-Köpenick,Altglienicke,Spielplatz,Chorweiler Straße/ Coloniapark IV Ag KSP,Ballspielplatz,,,1434.0,gewidmet,9300923.0,Kölner Viertel,1433.97,"Chorweiler Straße/ Coloniapark IV Ag KSP,Kölner Viertel, Berlin, Germany",,
00008100_001c650f,00008100:001c650f,040142,'09,Treptow-Köpenick,Johannisthal,Spielplatz,Sterndamm 241 Jo KSP,Unknown,,,792.0,gewidmet,9100408.0,Johannisthal Ost,792.19,"Sterndamm 241 Jo KSP,Johannisthal Ost, Berlin, Germany",,
00008100_001c6747,00008100:001c6747,040082,'09,Treptow-Köpenick,Johannisthal,Spielplatz,Engelhardstraße Jo KSP,KSP im Johannisthaler Park,2003.0,2022.0,3802.0,gewidmet,9100408.0,Johannisthal Ost,1789.14,"Engelhardstraße Jo KSP,Johannisthal Ost, Berlin, Germany",,
00008100_001c6786,00008100:001c6786,010022,'09,Treptow-Köpenick,Alt-Treptow,Spielplatz,Am Treptower Park/ ggü. Hans-Thoma-Straße AT KSP,Hans-Thoma-Str.,,,926.0,gewidmet,9100101.0,Alt-Treptow,926.17,"Am Treptower Park/ ggü. Hans-Thoma-Straße AT KSP,Alt-Treptow, Berlin, Germany",,
00008100_001c69e8,00008100:001c69e8,150032,'09,Treptow-Köpenick,Schmöckwitz,Spielplatz,Rehfeldtstraße Sch KSP,Dorfanger Karolinenhof (6a/6-7),2017.0,,820.0,gewidmet,9301227.0,Karolinenhof,538.16,"Rehfeldtstraße Sch KSP,Karolinenhof, Berlin, Germany",,
00008100_001c685c,00008100:001c685c,030032,'09,Treptow-Köpenick,Baumschulenweg,Spielplatz,Kiefholzstraße 235/ Britzer Zweigkanal Ba KSP,"""Vogelnest""",,,2431.0,gewidmet,9100304.0,Baumschulenweg West,822.0,"Kiefholzstraße 235/ Britzer Zweigkanal Ba KSP,Baumschulenweg West, Berlin, Germany",,
00008100_001c69e0,00008100:001c69e0,110082,'09,Treptow-Köpenick,Friedrichshagen,Spielplatz,Josef-Nawrocki-Straße 24/ Müggelpark Fr KSP,Unknown,,,643.0,gewidmet,9501737.0,Alt-Friedrichshagen,443.75,"Josef-Nawrocki-Straße 24/ Müggelpark Fr KSP,Alt-Friedrichshagen, Berlin, Germany",,
00008100_001c6571,00008100:001c6571,100042,'09,Treptow-Köpenick,Köpenick,Spielplatz,Alt-Köpenick/ Luisenhain Köp KSP,3 Flächen,,,195.0,gewidmet,9401534.0,Altstadt Köpenick,192.58,"Alt-Köpenick/ Luisenhain Köp KSP,Altstadt Köpenick, Berlin, Germany",,
00008100_001c65a5,00008100:001c65a5,080022,'09,Treptow-Köpenick,Bohnsdorf,Spielplatz,Kirchsteig Bolzplatz Bo KSP,Unknown,2010.0,,1237.7,gewidmet,9301024.0,Falkenberg,878.16,"Kirchsteig Bolzplatz Bo KSP,Falkenberg, Berlin, Germany",,
00008100_001c69e7,00008100:001c69e7,130012,'09,Treptow-Köpenick,Grünau,Spielplatz,Kochelseestraße/ Ammerseestraße Gr KSP,Unknown,2019.0,,1951.7,gewidmet,9301126.0,Grünau,1116.29,"Kochelseestraße/ Ammerseestraße Gr KSP,Grünau, Berlin, Germany",,
