technical_id,key,object_number,neighborhood,locality,type_of_green_space,green_space_name,name_extension,year_built,last_renovation_year,size_sqm,dedication,planning_area_number,planning_area_name,address1,latitude,longitude
00008100_0014b7f0,00008100:0014b7f0,111010,Mitte,Mitte,Grünanlage,Klosterkirche Grünanlage,"ehem.""Graues Kloster"" ggb. Amtsgericht Mitte",,,5120.6,gewidmet,1100310.0,Alexanderplatzviertel,"Klosterkirche Grünanlage, Berlin, Germany",,
00008100_0024d34b,00008100:0024d34b,212614,Mitte,Tiergarten,Grünanlage,Großer Tiergarten - Luiseninsel,,,,6803.0,gewidmet,1100102.0,Großer Tiergarten,"Großer Tiergarten - Luiseninsel, Berlin, Germany",,
00008100_000a6d5e,00008100:000a6d5e,431.015,Neukölln,Neukölln,Grünanlage,Wartheplatz-Grünanlage,,,,2992.0,gewidmet,8100104.0,Wartheplatz,"Wartheplatz-Grünanlage, Berlin, Germany",,
00008100_0014bc1b,00008100:0014bc1b,257500,Mitte,Moabit,Grünanlage,Spreeuferpromenade Holsteiner Ufer,zw. Gericke-Steg und Moabiter Brücke und am S-Bhf Bellevue,,,1175.0,gewidmet,1200629.0,Hansaviertel,"Spreeuferpromenade Holsteiner Ufer, Berlin, Germany",,
00008100_0014bc1b,00008100:0014bc1b,257500,Mitte,Moabit,Grünanlage,Spreeuferpromenade Holsteiner Ufer,zw. Gericke-Steg und Moabiter Brücke und am S-Bhf Bellevue,,,1175.0,gewidmet,1200629.0,Hansaviertel,"Spreeuferpromenade Holsteiner Ufer, Berlin, Germany",,
00008100_0014bc1a,00008100:0014bc1a,213210,Mitte,Moabit,Grünanlage,Spreeuferpromenadec Kaiserin-Augusta-Allee 114-120,,,,3890.5,gewidmet,1200517.0,Huttenkiez,"Spreeuferpromenadec Kaiserin-Augusta-Allee 114-120, Berlin, Germany",,
00008100_0028a2cd,00008100:0028a2cd,212616,Mitte,Tiergarten,Grünanlage,Großer Tiergarten - Steingarten,im Englischen Garten,,,825.0,gewidmet,1100102.0,Großer Tiergarten,"Großer Tiergarten - Steingarten, Berlin, Germany",,
00008100_0014be61,00008100:0014be61,217910,Mitte,Moabit,Grünanlage,Nordufer zw. Föhrer Str. u. S-Bahn,Grstck. Bundeswasserstraßenverwaltung,,,9165.0,-,1401046.0,Nordufer,"Nordufer zw. Föhrer Str. u. S-Bahn, Berlin, Germany",,
00008100_0019921c,00008100:0019921c,2308161,Marzahn-Hellersdorf,Mahlsdorf,Grünanlage,Graben Fritz- Reuter- Straße,Graben ohne Funktionen,,,541.0,-,10400939.0,Alt-Mahlsdorf,"Graben Fritz- Reuter- Straße, Berlin, Germany",,
00008100_0014bd89,00008100:0014bd89,157210,Mitte,Mitte,Grünanlage,Luisenstädtischer Kanal  Blütensträuchergarten,zw. Melchiorstr. u. Köpenicker Str.,1932.0,2012.0,4156.0,gewidmet,1100313.0,Heine-Viertel Ost,"Luisenstädtischer Kanal  Blütensträuchergarten, Berlin, Germany",52.5066236,13.4272937
