Technischer Schlüssel;Schlüssel;Objektnummer;Bezirk;Ortsteil;Art der Grünanlage;Name der Grünanlage;Namenszusatz der Grünanlage;Baujahr;letztes Sanierungsjahr;Größe in m² (Kataster);Widmung;Nummer des Planungsraumes;Name des Planungsraumes
00008100_001042bb;00008100:001042bb;00037;Reinickendorf;Frohnau;Grünanlage;"Im Fischgrund, ""Rosenanger""";Rosenanger;-;-;16991,50;gewidmet;12400721;Frohnau Ost
00008100_00104621;00008100:00104621;01179;Reinickendorf;Lübars;Grünanlage;Klötzbecken bis Zabel-Krüger-Damm;einschl. Klötzbecken;-;-;52224,60;gewidmet;12500929;Lübars
00008100_001044bd;00008100:001044bd;01074;Reinickendorf;Hermsdorf;Grünanlage;Heidenheimer Str. (ab Friedrichsthaler Weg), Wanderweg am Wald;-;-;-;3012,00;gewidmet;12400722;Hermsdorf West
00008100_00104620;00008100:00104620;01180;Reinickendorf;Lübars;Grünanlage;Wittenauer Str., südl. AEG-Siedlung;-;-;-;3374,20;gewidmet;12500929;Lübars
00008100_00104438;00008100:00104438;00476;Reinickendorf;Reinickendorf;Grünanlage;Kuhnpromenade u. Lindauer Allee 59/61;-;-;-;3122,00;gewidmet;12100206;Humboldtstraße
00008100_00104357;00008100:00104357;35060;Reinickendorf;Wittenau;Grünanlage;Avenue Charles de Gaulle 32-33;hinter Nimrodstr. u. am Packereigraben;-;-;8738,30;gewidmet;12500927;Wittenau Nord
00008100_00315c33;00008100:00315c33;103014;Steglitz-Zehlendorf;Lichterfelde;Grünanlage;Platz der US-Berlin-Brigaden WG;-;-;-;2194,00;gewidmet;06300632;Schweizer Viertel
00008100_000e3bb3;00008100:000e3bb3;102180;Steglitz-Zehlendorf;Steglitz;Grünanlage;Schünemannweg N;"Schünemannweg 6A u.16A; Tuttlinger Weg";-;-;3889,00;gewidmet;06100205;Südende
00008100_00104488;00008100:00104488;00599;Reinickendorf;Heiligensee;Grünanlage;Grabens. Hlgs., Lindengraben;-;-;-;12490,90;gewidmet;12400617;Alt-Heiligensee
00008100_00104409;00008100:00104409;00714;Reinickendorf;Tegel;Grünanlage;BAB, Überbauung Tunnel Tegel;Ernststr. - Waidmannsluster Damm;-;-;29894,70;gewidmet;12500824;Ziekowstraße/Freie Scholle
00008100_00104115;00008100:00104115;01016;Reinickendorf;Wittenau;Grünanlage;Volkspark Wittenau;HGP Pilotfläche;-;-;55345,10;gewidmet;12500927;Wittenau Nord
00008100_00104610;00008100:00104610;01214;Reinickendorf;Tegel;Grünanlage;Bollestr., Oeserstr.-Borsigaue;-;-;-;3248,10;gewidmet;12500824;Ziekowstraße/Freie Scholle
00008100_00104487;00008100:00104487;00600;Reinickendorf;Heiligensee;Grünanlage;Grabens. Hlgs., Weidengraben;-;-;-;3738,30;gewidmet;12400617;Alt-Heiligensee
00008100_001044a7;00008100:001044a7;00629;Reinickendorf;Reinickendorf;Grünanlage;Peckwischgraben, Wanderweg;-;-;-;24833,70;gewidmet;12100205;Teichstraße
00008100_001043f6;00008100:001043f6;01392;Reinickendorf;Tegel;Grünanlage;Karolinenstr. 18;Medical-Park;-;-;12066,90;gewidmet;12200515;Alt-Tegel
00008100_0010449a;00008100:0010449a;00388;Reinickendorf;Reinickendorf;Grünanlage;Verlängerte Teichstraße;-;-;-;10278,90;gewidmet;12100204;Schäfersee
00008100_00104435;00008100:00104435;00732;Reinickendorf;Tegel;Grünanlage;Tegeler Hafen, Uferpromenade;-;-;-;8637,50;gewidmet;12200515;Alt-Tegel
00008100_001042cc;00008100:001042cc;00024;Reinickendorf;Frohnau;Grünanlage;Poloplatz;-;-;-;35106,90;gewidmet;12400721;Frohnau Ost
00008100_001044c8;00008100:001044c8;35825;Reinickendorf;Lübars;Grünanlage;Wittenauer Str. 214 (Klötzgraben);Ecke Am Klötzgraben 16587;-;-;6583,40;gewidmet;12500929;Lübars
00008100_000e3a1b;00008100:000e3a1b;101654;Steglitz-Zehlendorf;Zehlendorf;Grünanlage;"Laehr""scher Jagdweg WG (Rindenmulchweg)";Verbindungsweg zum Teltower Damm;-;-;2170,00;gewidmet;06300528;Teltower Damm
00008100_000e3ad7;00008100:000e3ad7;100929;Steglitz-Zehlendorf;Zehlendorf;Grünanlage;Onkel-Tom-Straße WG;Platz Ecke Riemeisterstraße;-;-;1154,00;gewidmet;06400840;Fischtal
00008100_0010420b;00008100:0010420b;00916;Reinickendorf;Waidmannslust;Grünanlage;Herrenholzbecken, von B 96 - Wittenauer Str. 123;Wanderwege u. Grünanlage;-;-;32239,20;gewidmet;12601031;Lübarser Straße
00008100_001041ff;00008100:001041ff;00838;Reinickendorf;Wittenau;Grünanlage;Triftpark;-;-;-;42881,70;gewidmet;12500927;Wittenau Nord
00008100_000e39a7;00008100:000e39a7;102093;Steglitz-Zehlendorf;Steglitz;Grünanlage;Knausplatz WG;Thorwaldsenstraße / Knausstraße;-;-;1480,00;gewidmet;06100210;Bismarckstraße
00008100_000e3932;00008100:000e3932;101946;Steglitz-Zehlendorf;Lankwitz;Grünanlage;Lankwitz-Stamm III WG;Dessauerstraße;-;-;543,00;gewidmet;06200315;Gallwitzallee
00008100_001044a2;00008100:001044a2;00584;Reinickendorf;Heiligensee;Grünanlage;Nieder-Neuendorfer See, Uferstr.;-;-;-;5782,10;gewidmet;12400617;Alt-Heiligensee
00008100_001041ef;00008100:001041ef;00920;Reinickendorf;Märkisches Viertel;Grünanlage;Seggeluchbecken;Grünzug Seggeluchbecken-Senftenberger Ri;-;-;37499,30;gewidmet;12601134;Märkisches Zentrum
00008100_001041ed;00008100:001041ed;00897;Reinickendorf;Wittenau;Grünanlage;Am Packereigraben; Wittenauer Str./Welzower Steig;-;-;5460,10;gewidmet;12601031;Lübarser Straße
00008100_001045e9;00008100:001045e9;01325;Reinickendorf;Heiligensee;Grünanlage;Grabens. Hlgs., Grimbartgraben;-;-;-;15558,90;gewidmet;12400619;Heiligensee
00008100_001044ac;00008100:001044ac;01089;Reinickendorf;Hermsdorf;Grünanlage;Fließtal, Titusweg-Veltheimstr.;nördl. d. Fließgew. einschl. Hermsd.See;-;-;731448,10;gewidmet;12400723;Hermsdorf Ost/Waldsee
00008100_001041f1;00008100:001041f1;00840;Reinickendorf;Tegel;Grünanlage;Waidmannsluster Damm 52-54 (Durchgang);Am Schwedenhaus;-;-;1537,70;gewidmet;12500824;Ziekowstraße/Freie Scholle
00008100_001044a5;00008100:001044a5;00596;Reinickendorf;Heiligensee;Grünanlage;Grabens. Hlgs., Erlengraben;-;-;-;29769,50;gewidmet;12400617;Alt-Heiligensee
00008100_00104125;00008100:00104125;01000;Reinickendorf;Wittenau;Grünanlage;Hermsdorfer Str. 9-10;-;-;-;27789,00;gewidmet;12500927;Wittenau Nord
00008100_001042c4;00008100:001042c4;00029;Reinickendorf;Frohnau;Grünanlage;Edelhofdamm, R.A.B.;Edelteich;-;-;23906,10;gewidmet;12400721;Frohnau Ost
00008100_000e396e;00008100:000e396e;101176;Steglitz-Zehlendorf;Schlachtensee;Grünanlage;Fußweg an der Wannseebahn WG;Altvaterstraße bis Spanische Allee;-;-;528,00;gewidmet;06400737;Nikolassee
00008100_001042c6;00008100:001042c6;00044;Reinickendorf;Frohnau;Grünanlage;Ludolfingerplatz;-;-;-;5403,10;gewidmet;12400720;Frohnau West
00008100_00104368;00008100:00104368;35050;Reinickendorf;Tegel;Grünanlage;Uferweg Neheimer Straße;ehem. Tiefbrunnenstrecke;-;-;16965,80;gewidmet;12200413;Tegel Süd
00008100_000e3737;00008100:000e3737;102064;Steglitz-Zehlendorf;Lichterfelde;Grünanlage;Begonienplatz WG;-;-;-;2357,80;gewidmet;06300629;Botanischer Garten
00008100_000e395b;00008100:000e395b;101805;Steglitz-Zehlendorf;Steglitz;Grünanlage;Stephanstraße 20-22 WG;-;-;-;2374,00;gewidmet;06100205;Südende
00008100_000e3959;00008100:000e3959;101965;Steglitz-Zehlendorf;Lichterfelde;Grünanlage;Landweg WG;Durchgang zur Réaumurstraße;-;-;1005,00;gewidmet;06200419;Thermometersiedlung
00008100_001043ea;00008100:001043ea;01406;Reinickendorf;Frohnau;Grünanlage;Schönfließer Str./Oranienburger Chaussee, R.A.B.;-;-;-;9859,50;gewidmet;12400721;Frohnau Ost
00008100_0010440c;00008100:0010440c;00723;Reinickendorf;Tegel;Grünanlage;Nordgraben/Industriebahn, Grünanlage;-;-;-;1594,30;gewidmet;12500824;Ziekowstraße/Freie Scholle
00008100_000e3b41;00008100:000e3b41;101437;Steglitz-Zehlendorf;Dahlem;Grünanlage;Molsheimer Platz WG;Schützallee;-;-;3764,00;gewidmet;06400843;Thielallee
00008100_00146db9;00008100:00146db9;60396;Friedrichshain-Kreuzberg;Friedrichshain;Grünanlage;Franz-Mehring-Platz 1;-;-;2023;5199,00;gewidmet;02400625;Wriezener Bahnhof
00008100_001044be;00008100:001044be;01069;Reinickendorf;Hermsdorf;Grünanlage;Alt-Hermsdorf, Dorfaue;-;-;-;6555,50;gewidmet;12400723;Hermsdorf Ost/Waldsee
00008100_00104493;00008100:00104493;00587;Reinickendorf;Heiligensee;Grünanlage;Bumpfuhl, ND;-;-;-;55948,10;gewidmet;12400617;Alt-Heiligensee
00008100_00104486;00008100:00104486;00602;Reinickendorf;Heiligensee;Grünanlage;Grabens. Hlgs., Wiesengraben;-;-;-;12198,80;gewidmet;12400617;Alt-Heiligensee
00008100_001043d9;00008100:001043d9;01449;Reinickendorf;Heiligensee;Grünanlage;Am Dachsbau/Schulzendorfer Str., - Vogelschutzgebiet;-;-;-;32139,90;gewidmet;12400617;Alt-Heiligensee
00008100_00104469;00008100:00104469;00322;Reinickendorf;Tegel;Grünanlage;Vor den Toren I, Mecklenburgweg/Im Winkel;-;-;-;31381,60;gewidmet;12200414;TXL
00008100_001044a3;00008100:001044a3;00578;Reinickendorf;Heiligensee;Grünanlage;LSG nördl. des Heiligensees;-;-;-;57613,80;gewidmet;12400617;Alt-Heiligensee
00008100_0010461f;00008100:0010461f;01181;Reinickendorf;Lübars;Grünanlage;Am Wiesenende 7 - 37 A (Klötzgraben), Grabenbiotop;-;-;-;1456,80;gewidmet;12500929;Lübars
00008100_0010461a;00008100:0010461a;01208;Reinickendorf;Tegel;Grünanlage;Berliner Str. 71, Anlage Borsigdenkmal;-;-;-;12425,60;gewidmet;12200412;Waldidyll/Flughafensee
00008100_000e374b;00008100:000e374b;101684;Steglitz-Zehlendorf;Steglitz;Grünanlage;Carmerplatz WG;-;-;-;3900,00;gewidmet;06100207;Mittelstraße
00008100_000e381a;00008100:000e381a;103002;Steglitz-Zehlendorf;Wannsee;Grünanlage;Kleistgrab WG - Teil 2/2;Königstraße 70;-;-;10194,50;gewidmet;06400735;Wannsee
00008100_00104531;00008100:00104531;35089;Reinickendorf;Reinickendorf;Grünanlage;Thurgauer Str./Aroser Allee (außen);Grünanlage;-;-;3610,50;gewidmet;12100205;Teichstraße
00008100_0010460f;00008100:0010460f;01224;Reinickendorf;Tegel;Grünanlage;Flughafensee;-;-;-;247554,40;gewidmet;12200412;Waldidyll/Flughafensee
00008100_002a7b04;00008100:002a7b04;31171;Spandau;Spandau;Grünanlage;Grünanlage-II Falkenseer Damm  Ackerstr;-;-;-;1437,00;gewidmet;05100315;Ackerstraße
00008100_001044a6;00008100:001044a6;00620;Reinickendorf;Reinickendorf;Grünanlage;Brusebergstr., Grünzug  zur Gotthardstr.;-;-;-;16499,50;gewidmet;12100205;Teichstraße
00008100_0010460d;00008100:0010460d;01221;Reinickendorf;Borsigwalde;Grünanlage;Verlängerte Ernststraße;-;-;-;3805,90;gewidmet;12500927;Wittenau Nord
00008100_00104434;00008100:00104434;00744;Reinickendorf;Tegel;Grünanlage;Nordgraben, Gorkistr.-Ziekowstr.;Grünanlage;-;-;4774,00;gewidmet;12500824;Ziekowstraße/Freie Scholle
00008100_0011df26;00008100:0011df26;60109;Spandau;Kladow;Grünanlage;Neukladower Allee-Grünstreifen;zum Eingang Gutspark Neukladow;-;-;1046,00;gewidmet;05400942;Alt-Gatow
00008100_001042f7;00008100:001042f7;05006;Reinickendorf;Heiligensee;Grünanlage;Ruppiner Chaussee, Grünanlage;-;-;-;27321,80;gewidmet;12400618;Heiligensee Nord
00008100_001042be;00008100:001042be;00061;Reinickendorf;Frohnau;Grünanlage;Zeltinger Platz;-;-;-;7921,00;gewidmet;12400721;Frohnau Ost
00008100_0011dee8;00008100:0011dee8;60661;Spandau;Hakenfelde;Grünanlage;Eiskeller-Silbergraswiese ;-;-;-;10249,00;-;05100101;Hakenfelde Nord
00008100_00104335;00008100:00104335;00004;Reinickendorf;Reinickendorf;Grünanlage;Fasanenpromenade;-;-;-;11310,90;gewidmet;12200310;Klixstraße
00008100_001045eb;00008100:001045eb;01323;Reinickendorf;Konradshöhe/Tegelort;Grünanlage;Buntspechtstr./Nußhäherstr.;-;-;-;7271,40;gewidmet;12400616;Konradshöhe/Tegelort
00008100_0011ddf1;00008100:0011ddf1;30480;Spandau;Siemensstadt;Grünanlage;Jugendplatz;-;-;-;1517,00;gewidmet;05300841;Siemensdamm
00008100_0011df37;00008100:0011df37;60090;Spandau;Hakenfelde;Grünanlage;Aalemannufer bis Rustweg-Grünflächenverbindung;Wasserstadt II;-;-;2366,00;gewidmet;05100101;Hakenfelde Nord
00008100_0011de22;00008100:0011de22;32050;Spandau;Kladow;Grünanlage;Imchenallee Ecke Sakrower Kirchweg;Zugang Imchenallee 108;-;-;228,00;gewidmet;05400944;Kladower Damm
00008100_0011e2b1;00008100:0011e2b1;50032;Spandau;Spandau;Grünanlage;Friedrichstraße;Bereich nördl. Falkenseer Platz;-;-;1581,00;gewidmet;05100315;Ackerstraße
00008100_00104446;00008100:00104446;00743;Reinickendorf;Tegel;Grünanlage;Wanderweg an der Malche;-;-;-;25379,30;gewidmet;12200515;Alt-Tegel
00008100_00104122;00008100:00104122;01002;Reinickendorf;Wittenau;Grünanlage;Oranienburger Str. bis Fräsersteig (Grünzug);Wanderweg am Nordgraben;-;-;9515,30;gewidmet;12500926;Wittenau Mitte
00008100_001042d1;00008100:001042d1;00046;Reinickendorf;Frohnau;Grünanlage;Ludwig-Lesser-Park;-;-;-;60180,00;gewidmet;12400721;Frohnau Ost
00008100_00104489;00008100:00104489;00623;Reinickendorf;Reinickendorf;Grünanlage;Schäferseepark;-;-;-;57048,90;gewidmet;12100204;Schäfersee
00008100_00104112;00008100:00104112;01019;Reinickendorf;Wittenau;Grünanlage;Peter-Witte-Park;Oranienburger Str.-Eichborndamm;-;-;37455,40;gewidmet;12500926;Wittenau Mitte
00008100_0010439d;00008100:0010439d;01498;Reinickendorf;Reinickendorf;Grünanlage;Armbrustweg 2-9;-;-;-;2652,80;gewidmet;12100103;Breitkopfbecken
00008100_001044c7;00008100:001044c7;36022;Reinickendorf;Konradshöhe/Tegelort;Grünanlage;Almazeile/Beatestraße;-;-;-;1113,10;gewidmet;12400616;Konradshöhe/Tegelort
00008100_001041f2;00008100:001041f2;00791;Reinickendorf;Waidmannslust;Grünanlage;Steinbergpark;-;-;-;306726,40;gewidmet;12500928;Waidmannslust
00008100_001042c7;00008100:001042c7;00010;Reinickendorf;Tegel;Grünanlage;Greenwichpromenade üblich;-;-;-;32821,00;gewidmet;12200515;Alt-Tegel
00008100_00104113;00008100:00104113;01012;Reinickendorf;Wittenau;Grünanlage;Spießweg zur Dorfaue, Durchg. Altenheim;-;-;-;2030,60;gewidmet;12500927;Wittenau Nord
00008100_001044bc;00008100:001044bc;01097;Reinickendorf;Waidmannslust;Grünanlage;Albtalpark (NSG);-;-;-;11454,40;gewidmet;12500928;Waidmannslust
00008100_0011def2;00008100:0011def2;60461;Spandau;Falkenhagener Feld;Grünanlage;Am Kiesteich-Grünstreifen;-;-;-;2221,00;gewidmet;05100208;Im Spektefeld
00008100_0010460c;00008100:0010460c;01225;Reinickendorf;Tegel;Grünanlage;Kolonie Am Wanderweg/JVA - Finnentroper Weg 38 A;-;-;-;10225,50;gewidmet;12200412;Waldidyll/Flughafensee
00008100_001045df;00008100:001045df;01367;Reinickendorf;Reinickendorf;Grünanlage;Waldstr., Grünzug;-;-;-;11005,30;gewidmet;12200308;Meller Bogen
00008100_0010448b;00008100:0010448b;00628;Reinickendorf;Reinickendorf;Grünanlage;Steinhövelplatz;Emmentaler Str.,Grünanlage ;-;-;7048,00;gewidmet;12100204;Schäfersee
00008100_0011de35;00008100:0011de35;70681;Spandau;Siemensstadt;Grünanlage;Siemens Technopark;Wohlrabedamm Siemensstichkanal;-;-;5786,00;gewidmet;05300840;Nonnendammallee
00008100_0010431b;00008100:0010431b;00006;Reinickendorf;Reinickendorf;Grünanlage;Auguste-Viktoria-Allee 17 - Grünanlage;Segenskirche;-;-;3811,70;gewidmet;12200308;Meller Bogen
00008100_0010442a;00008100:0010442a;00614;Reinickendorf;Reinickendorf;Grünanlage;Breitkopfbecken;-;-;-;14843,40;gewidmet;12100103;Breitkopfbecken
00008100_0010452f;00008100:0010452f;35095;Reinickendorf;Tegel;Grünanlage;Mäckeritzwiesen, Vor den Toren IV;Grünanlage;-;-;33486,00;gewidmet;12200414;TXL
00008100_001044bb;00008100:001044bb;01063;Reinickendorf;Hermsdorf;Grünanlage;Waldseepark;-;-;-;27977,70;gewidmet;12400723;Hermsdorf Ost/Waldsee
00008100_00104246;00008100:00104246;02183;Reinickendorf;Heiligensee;Grünanlage;Uferwanderweg Oberhavel;-;-;-;30925,90;gewidmet;12400616;Konradshöhe/Tegelort
00008100_0010416d;00008100:0010416d;03145;Reinickendorf;Heiligensee;Grünanlage;Mümmelmannweg - Im Rehgrund, Wald;-;-;-;12267,10;gewidmet;12400619;Heiligensee
00008100_00104371;00008100:00104371;01671;Reinickendorf;Lübars;Grünanlage;Zabel-Krüger-Damm 69/71;-;-;-;12943,00;gewidmet;12500929;Lübars
00008100_001044eb;00008100:001044eb;35681;Reinickendorf;Wittenau;Grünanlage;Gorkistr./Nordgraben, Wanderweg an KG Steinberg;-;-;-;21448,10;gewidmet;12500927;Wittenau Nord
00008100_0011e32f;00008100:0011e32f;00264;Spandau;Hakenfelde;Grünanlage;Oberjägerweg;Gedenkstätte Maueropfer: Adolf Phillipp;-;-;9,00;-;05100101;Hakenfelde Nord
00008100_0010432e;00008100:0010432e;00008;Reinickendorf;Lübars;Grünanlage;Freizeitpark Lübars;-;1975;-;427395,40;gewidmet;12500929;Lübars
00008100_0010448a;00008100:0010448a;00618;Reinickendorf;Reinickendorf;Grünanlage;Deutsche Str., Grünzug bis Stargardtstr.;-;-;-;7097,70;gewidmet;12100204;Schäfersee
00008100_001044c2;00008100:001044c2;36122;Reinickendorf;Heiligensee;Grünanlage;Friedhof Heiligensee, Entwidmungsfläche;Ausgliederung Friedhof;-;-;34021,10;gewidmet;12400617;Alt-Heiligensee
00008100_001042dd;00008100:001042dd;00062;Reinickendorf;Frohnau;Grünanlage;Zerndorfer Höhe;-;-;-;61878,00;gewidmet;12400721;Frohnau Ost
00008100_0011e2f4;00008100:0011e2f4;00690;Spandau;Staaken;Grünanlage;Hahneberg-ehem Grenzweg-Karolinenhöhe;Mauerweg bis Wilhelmstraße;-;-;4900,00;-;05200528;Weinmeisterhornweg
00008100_0011dddd;00008100:0011dddd;32041;Spandau;Gatow;Grünanlage;Straße 269-Fläche H 30 a;Potsdamer Chaussee;-;-;5003,00;gewidmet;05400942;Alt-Gatow
00008100_0011e306;00008100:0011e306;00662;Spandau;Staaken;Grünanlage;Am Rain;zw Am Rain u Weidenweg;1997;-;3635,00;gewidmet;05200524;Döberitzer Weg
00008100_00104617;00008100:00104617;01209;Reinickendorf;Borsigwalde;Grünanlage;Borsigaue;-;-;-;9477,70;gewidmet;12500825;Borsigwalde
00008100_0010410b;00008100:0010410b;01009;Reinickendorf;Wittenau;Grünanlage;Rathauspark;-;-;-;17732,40;gewidmet;12500927;Wittenau Nord
00008100_0011deff;00008100:0011deff;60157;Spandau;Haselhorst;Grünanlage;Krienickepark-Spandauer See ;Telegrafenweg;2005;-;2880,00;gewidmet;05300736;Zitadellenweg
00008100_0011e0ef;00008100:0011e0ef;31170;Spandau;Spandau;Grünanlage;Grünanlage sog Wernereck;zw Falkenseer Damm-Askanierring ;-;-;3224,00;gewidmet;05100316;Carl-Schurz-Straße
00008100_0011e197;00008100:0011e197;07168;Spandau;Hakenfelde;Grünanlage;Wansdorfer Platz;-;-;-;2677,00;gewidmet;05100105;Amorbacher Weg
00008100_001041ee;00008100:001041ee;00902;Reinickendorf;Märkisches Viertel;Grünanlage;Mittelfeldbecken;-;-;-;20368,60;gewidmet;12601134;Märkisches Zentrum
00008100_0010435f;00008100:0010435f;35054;Reinickendorf;Tegel;Grünanlage;Borsigdamm, am Tegeler See;-;-;-;36851,40;gewidmet;12200413;Tegel Süd
00008100_0033d3f1;00008100:0033d3f1;30441;Spandau;Spandau;Grünanlage;Zitadelle II-östl Glacis Wladimir-Gall-Weg;Zitadellen-Vorgelände-Umfeld;-;-;20261,00;gewidmet;05300736;Zitadellenweg
00008100_00104453;00008100:00104453;00591;Reinickendorf;Heiligensee;Grünanlage;Alt-Heiligensee, Dorfaue;-;-;-;27023,50;gewidmet;12400617;Alt-Heiligensee
00008100_0010444a;00008100:0010444a;00742;Reinickendorf;Tegel;Grünanlage;Fließtal, Karolinenstr.-Oraniendamm;-;-;-;284153,20;gewidmet;12500928;Waidmannslust
00008100_001041f0;00008100:001041f0;00907;Reinickendorf;Märkisches Viertel;Grünanlage;Senftenberger Ring/Packereigraben (Dorfplatz);-;-;-;2417,00;gewidmet;12601134;Märkisches Zentrum
00008100_001044b7;00008100:001044b7;01073;Reinickendorf;Hermsdorf;Grünanlage;Heidenheimerstr. (Sackgasse);an der Carl-Benz-Oberschule;-;-;2914,60;gewidmet;12400722;Hermsdorf West
00008100_0010461d;00008100:0010461d;01187;Reinickendorf;Lübars;Grünanlage;Fließtal, Freibad-Bez.-Grenze;-;-;-;181732,90;gewidmet;12500929;Lübars
00008100_001044d1;00008100:001044d1;36001;Reinickendorf;Lübars;Grünanlage;Wittenauer Str./Alter Bernauer Heerweg;Ecke Alter Bernauer Heerweg;-;-;6155,60;gewidmet;12500929;Lübars
00008100_001044a4;00008100:001044a4;00594;Reinickendorf;Heiligensee;Grünanlage;Grabens. Hlgs., Birkengraben;-;-;-;10382,70;gewidmet;12400617;Alt-Heiligensee
00008100_0011ddff;00008100:0011ddff;30940;Spandau;Kladow;Grünanlage;Imchen-Insel;-;-;-;15079,00;gewidmet;05400944;Kladower Damm
00008100_0011e352;00008100:0011e352;00196;Spandau;Spandau;Grünanlage;Blumen- Ecke Feldstraße sog Bredel-Dreieck;-;-;-;1008,00;gewidmet;05100315;Ackerstraße
00008100_001043d5;00008100:001043d5;01455;Reinickendorf;Heiligensee;Grünanlage;Im Erpelgrund - Grünanlage;-;-;-;38591,00;gewidmet;12400619;Heiligensee
00008100_0010448d;00008100:0010448d;00616;Reinickendorf;Reinickendorf;Grünanlage;Alt-Reinickendorf, Durchgang Lindauer Allee;-;-;-;6552,60;gewidmet;12100205;Teichstraße
00008100_001042dc;00008100:001042dc;00060;Reinickendorf;Frohnau;Grünanlage;Wiltinger Str., Denkmal;-;-;-;2071,50;gewidmet;12400721;Frohnau Ost
00008100_001043eb;00008100:001043eb;01404;Reinickendorf;Reinickendorf;Grünanlage;Klemkepark;-;-;-;41674,60;gewidmet;12100103;Breitkopfbecken
00008100_001043ff;00008100:001043ff;00488;Reinickendorf;Reinickendorf;Grünanlage;Kienhorstpark;-;-;-;116923,50;gewidmet;12100206;Humboldtstraße
00008100_001042b7;00008100:001042b7;00028;Reinickendorf;Frohnau;Grünanlage;Donnersmarckplatz;-;-;-;5035,50;gewidmet;12400720;Frohnau West
00008100_0010440f;00008100:0010440f;00739;Reinickendorf;Tegel;Grünanlage;Ziekowstr.-Steinbergpark, Fuß-u. Radweg an KG;-;-;-;6459,20;gewidmet;12500824;Ziekowstraße/Freie Scholle
00008100_0010440e;00008100:0010440e;00722;Reinickendorf;Tegel;Grünanlage;Freizeitpark Tegel;-;1976;-;36675,00;gewidmet;12200515;Alt-Tegel
00008100_0011df1b;00008100:0011df1b;60123;Spandau;Kladow;Grünanlage;Imchenallee ab Haus-Nr. 48 bis Masolleweg ;Havelufer Süd;-;-;3259,00;gewidmet;05400944;Kladower Damm
00008100_0010420e;00008100:0010420e;00899;Reinickendorf;Märkisches Viertel;Grünanlage;Finsterwalderstr. 62-28 ggü - Grünzug;-;-;-;3682,00;gewidmet;12601134;Märkisches Zentrum
00008100_00104503;00008100:00104503;35361;Reinickendorf;Heiligensee;Grünanlage;Sandhauser Str., hinter Friedhof;entwidmete Friedhofsfläche;-;-;20579,40;gewidmet;12400617;Alt-Heiligensee
00008100_001044a1;00008100:001044a1;00597;Reinickendorf;Heiligensee;Grünanlage;Grabens. Hlgs., Eschengraben;-;-;-;36976,40;gewidmet;12400617;Alt-Heiligensee
00008100_001041f3;00008100:001041f3;00798;Reinickendorf;Waidmannslust;Grünanlage;Dianaplatz, Grünanlage;-;-;-;4714,00;gewidmet;12500928;Waidmannslust
00008100_00104128;00008100:00104128;00998;Reinickendorf;Wittenau;Grünanlage;Alt-Wittenau, Dorfaue;-;-;-;11986,70;gewidmet;12500927;Wittenau Nord
00008100_001042cd;00008100:001042cd;00016;Reinickendorf;Reinickendorf;Grünanlage;Rosengarten;-;-;-;5498,20;gewidmet;12200309;Scharnweberstraße
00008100_00104619;00008100:00104619;01210;Reinickendorf;Borsigwalde;Grünanlage;Borsigwalder Weg/Miraustr.-Am Nordgraben (Wanderweg);-;-;-;8186,30;gewidmet;12500927;Wittenau Nord
00008100_0029dc9c;00008100:0029dc9c;36197;Reinickendorf;Hermsdorf;Grünanlage;Cecilienplatz;-;-;-;3059,70;gewidmet;12400723;Hermsdorf Ost/Waldsee
00008100_001044aa;00008100:001044aa;00615;Reinickendorf;Reinickendorf;Grünanlage;Alt-Reinickendorf, Dorfaue;-;-;-;3343,10;gewidmet;12100205;Teichstraße
00008100_00104492;00008100:00104492;00475;Reinickendorf;Reinickendorf;Grünanlage;Bahnhofspark, S-Bhf. Alt-Reinickendorf;-;-;-;23994,20;gewidmet;12100205;Teichstraße
00008100_001044f2;00008100:001044f2;35561;Reinickendorf;Lübars;Grünanlage;Deilingeweg 3-5, 8 u. 10, Zehntwerderweg 210;ehem. Kleingartenfläche;-;-;13497,70;gewidmet;12500929;Lübars
00008100_0011ddb8;00008100:0011ddb8;31320;Spandau;Gatow;Grünanlage;Weinmeisterhornweg-Straße 467 ;zw. HausNr. 114 und 120;-;-;2595,00;gewidmet;05200528;Weinmeisterhornweg
00008100_0011de48;00008100:0011de48;12011;Spandau;Falkenhagener Feld;Grünanlage;Im Spektefeld Rahmengrün Spielplatz;-;-;-;157,00;gewidmet;05100208;Im Spektefeld
00008100_0011ddee;00008100:0011ddee;30840;Spandau;Kladow;Grünanlage;Temmeweg-Contessaweg;Sakrower Kirchweg;-;-;4517,00;gewidmet;05400945;Kafkastraße
00008100_0020b6bc;00008100:0020b6bc;39997;Spandau;Gatow;Grünanlage;Landschaftsfriedhof Gatow-Grünanlage;bei Bedarf Erweiterung Friedhof;-;-;80980,00;gewidmet;05400942;Alt-Gatow
00008100_0011e302;00008100:0011e302;00659;Spandau;Hakenfelde;Grünanlage;Niederneuendorfer Allee II;zw  Bertricher- und Neuenahrer Weg ;1997;-;2200,00;gewidmet;05100101;Hakenfelde Nord
00008100_00275986;00008100:00275986;32044;Spandau;Gatow;Grünanlage;Straße 265-Grünfläche;-;-;-;8134,00;gewidmet;05400942;Alt-Gatow
