Technischer Schlüssel;Schlüssel;Objektnummer;Bezirk;Ortsteil;Art der Grünanlage;Name der Grünanlage;Namenszusatz der Grünanlage;Baujahr;letztes Sanierungsjahr;Größe in m² (Kataster);Widmung;Nummer des Planungsraumes;Name des Planungsraumes
00008100_001c6511;00008100:001c6511;060021;Treptow-Köpenick;Altglienicke;Grünanlage;Am Falkenberg/ Am Pumpwerk Ag GA;Wiese südl Plumpengraben;-;-;11308,00;gewidmet;09300921;Preußen Siedlung
00008100_001c64a8;00008100:001c64a8;070041;Treptow-Köpenick;Adlershof;Grünanlage;Rudower Chaussee/ Franz-Ehrlich-Straße Ahof GA;Eichenwäldchen;-;-;7186,90;gewidmet;09200715;Wista
00008100_002a16f9;00008100:002a16f9;110201;Treptow-Köpenick;Friedrichshagen;Grünanlage;Spitzwegerichweg Pappeln Fr GA;Zwischen KGA Erpetal und Weide B;-;-;984,00;gewidmet;09501736;Hirschgarten
00008100_001c6a12;00008100:001c6a12;130051;Treptow-Köpenick;Grünau;Grünanlage;Regattastraße 176/ Libboldallee Gr GA;(6a/6-12);-;-;1091,00;gewidmet;09301126;Grünau
00008100_002a1cef;00008100:002a1cef;010171;Treptow-Köpenick;Alt-Treptow;Grünanlage;Uferweg An der Spree / Eichenstraße;-;-;-;479,00;gewidmet;09100101;Alt-Treptow
00008100_001c677c;00008100:001c677c;030031;Treptow-Köpenick;Baumschulenweg;Grünanlage;Heidekampweg/ Frauenlobstraße Ba GA;-;-;-;846,00;gewidmet;09100304;Baumschulenweg West
00008100_002ed5a7;00008100:002ed5a7;029020;Treptow-Köpenick;Plänterwald;Grünanlage;Steganlage in S-Bahn Unterführung am nördl. Heidekampgraben Pl ;-;1999;-;80,00;-;09100202;Plänterwald West
00008100_001c69d2;00008100:001c69d2;100011;Treptow-Köpenick;Köpenick;Grünanlage;Alfred-Randt-Straße Köp GA;-;-;-;4072,00;gewidmet;09401433;Allende II
00008100_003031f9;00008100:003031f9;110291;Treptow-Köpenick;Friedrichshagen;Grünanlage;Neuhagener Mühlenfließ Erpe Fr GA;LSG von Am Wiesenrain bis Brücke Grillenweg/ einschl. Grillenweg;-;-;16993,00;-;09501736;Hirschgarten
00008100_0035b6e5;00008100:0035b6e5;120081;Treptow-Köpenick;Rahnsdorf;Grünanlage;Dagobert-Wiesmüller-Platz Ra GA;Boule-Anlage;-;-;670,00;gewidmet;09501838;Rahnsdorf
00008100_001c6a30;00008100:001c6a30;100121;Treptow-Köpenick;Köpenick;Grünanlage;Ernst-Grube-Straße/ S-Bhf. Spindlersfeld Köp GA;Bahnhofsvorplatz Spindlersfeld;-;-;3412,00;gewidmet;09200818;Spindlersfeld
00008100_001c65a3;00008100:001c65a3;100201;Treptow-Köpenick;Köpenick;Grünanlage;Hoernlestraße ggü.Nr.46 Köp GA;neben Kaufhalle;-;-;1875,00;gewidmet;09502043;Dammheide
00008100_0024357a;00008100:0024357a;100511;Treptow-Köpenick;Köpenick;Grünanlage;Freiheit 14 Köp GA;Uferweg;-;-;50,00;-;09401534;Altstadt Köpenick
00008100_001c6779;00008100:001c6779;030111;Treptow-Köpenick;Baumschulenweg;Grünanlage;Neue Krugallee 142-144 Ba GA;-;-;-;4447,00;gewidmet;09100305;Baumschulenweg Ost
00008100_001c6a1e;00008100:001c6a1e;100231;Treptow-Köpenick;Köpenick;Grünanlage;Lienhardweg/ Wendenschloßstraße Köp GA;Lienhardplatz (6a/4-4);-;-;2580,00;gewidmet;09401330;Wendenschloß
