Technischer Schlüssel,Schlüssel,Objektnummer,Bezirk,Ortsteil,Art der Grünanlage,Name des Spielplatzes,Namenszusatz des Spielplatzes,Baujahr,letztes Sanierungsjahr,Größe in m² (Kataster),Widmung,Nummer des Planungsraumes,Name des Planungsraumes,Nettospielfläche in m²
00008100_002f2c6b,00008100:002f2c6b,19441,Tempelhof-Schöneberg,Lichtenrade,Spielplatz,Nuthestr. 26,-,-,-,-,-,-,-,-
00008100_0033cfac,00008100:0033cfac,35098,Reinickendorf,Tegel,Spielplatz,Borsigdamm 4 (Spielplatz),-,-,-,5031.90,-,12200413,Tegel Süd,-
00008100_0032a99a,00008100:0032a99a,21AS10,Lichtenberg,Lichtenberg,Spielplatz,Gudrunstr. 14 Spielplatz,-,-,-,713.00,gewidmet,11300725,Nibelungenviertel,-
00008100_00199411,00008100:00199411,00156,Marzahn-Hellersdorf,Marzahn,Spielplatz,Hohenwalder/Schorfheider Straße -Dreieck,seit 1990 pädagog. betreuter Spielplatz,1988,-,3934.00,gewidmet,10100104,Golliner Straße,-
00008100_00281623,00008100:00281623,150072,Treptow-Köpenick,Schmöckwitz,Spielplatz,Biebersdorfer Weg 12/ Lübbenauer Weg 23 Sch KSP,-,-,-,900.00,gewidmet,09301227,Karolinenhof,-
00008100_0034b5aa,00008100:0034b5aa,19465,Tempelhof-Schöneberg,Schöneberg,Spielplatz,Ella-Barowsky-Straße 62,Spielplatz,2024,-,2411.00,-,07200412,Schöneberger Linse,-
00008100_002e26eb,00008100:002e26eb,19430,Tempelhof-Schöneberg,Friedenau,Spielplatz,Lauterplatz - Spielplatz,-,-,-,814.00,gewidmet,07030301,Friedenau,-
00008100_00315b66,00008100:00315b66,19452,Tempelhof-Schöneberg,Lichtenrade,Spielplatz,Volkspark Lichtenrade - Spielplatz ,-,-,-,636.00,-,07601545,Nahariyastraße,-
00008100_002d1fac,00008100:002d1fac,07068,Spandau,Spandau,Spielplatz,Lutherplatz -Spielplatz-Kirche,-,-,-,345.00,-,05100314,Kurstraße,-
00008100_0011de45,00008100:0011de45,69942,Spandau,Spandau,Spielplatz,Altstadt-Spielpunkt 1 Carl-Schurz-Brücke,Mühlengraben,-,-,1.00,-,05100316,Carl-Schurz-Straße,-
00008100_002afe3f,00008100:002afe3f,69944,Spandau,Kladow,Spielplatz,Imchenallee-Spielpunkt,Bereich Zugang Steg BVG-Fähre ,-,-,3.00,-,05400944,Kladower Damm,-
00008100_00348cab,00008100:00348cab,40463,Spandau,Siemensstadt,Spielplatz,Heinich-Hertz-Str und Elsa-Neumann-Str,südl Saatwinkler Damm,-,-,2314.00,künftige Widmung,05300839,Rohrdamm,-
00008100_00233693,00008100:00233693,70442,Spandau,Spandau,Spielplatz,Altstadt-Spielpunkt 4 vor Karstadt ,Charlottenstr. ggü Marktstr,-,-,1.00,-,05100316,Carl-Schurz-Straße,-
00008100_002fccce,00008100:002fccce,60028,Friedrichshain-Kreuzberg,Kreuzberg,Spielplatz,"Böcklerpark, Spiel Fit",Calisthenics Anlage,2017,-,298.00,gewidmet,02100106,Wassertorplatz,-
00008100_0033bef2,00008100:0033bef2,63362,Friedrichshain-Kreuzberg,Kreuzberg,Spielplatz,"Gleisdreieck, Spiel 3",Kurfürstenstraße,-,-,1347.00,gewidmet,02200207,Gleisdreieck,-
00008100_0033bf01,00008100:0033bf01,63363,Friedrichshain-Kreuzberg,Kreuzberg,Spielplatz,"Gleisdreieck, Spiel 4",Pohlstraße,-,-,315.00,gewidmet,02200207,Gleisdreieck,-
00008100_00287308,00008100:00287308,320250,Mitte,Wedding,Spielplatz,Schönwalder Str. 19,Ballspielplatz; Reickendorfer Str. 6/Kunkelstr.,-,-,398.00,gewidmet,01300836,Humboldthain Nordwest,-
00008100_002d018d,00008100:002d018d,316030,Mitte,Wedding,Spielplatz,Mettmannplatz an der Tegeler Str.,-,-,-,373.00,gewidmet,01300836,Humboldthain Nordwest,-
00008100_002d0caa,00008100:002d0caa,040182,Treptow-Köpenick,Johannisthal,Spielplatz,Engelhardstraße/ Nieberstraße Jo KSP,-,-,-,1075.00,gewidmet,09100408,Johannisthal Ost,-
00008100_00300efb,00008100:00300efb,00565,Spandau,Hakenfelde,Spielplatz,Aalemann3-Pembabogen,ehem. Vattenfall-Kraftwerk,-,-,1415.00,gewidmet,05100101,Hakenfelde Nord,-
00008100_0022a709,00008100:0022a709,030102,Treptow-Köpenick,Baumschulenweg,Spielplatz,Späthstraße/ Chris-Gueffroy-Allee Ba KSP,Schaukeltreff,-,-,88.30,gewidmet,09100306,Späthsfelde,-
00008100_0012d8ee,00008100:0012d8ee,00638,Tempelhof-Schöneberg,Mariendorf,Spielplatz,Volkspark Mariendorf - Rixdorfer Str. 15,-,1923,-,1370.00,gewidmet,07501031,Eisenacher Straße,-
00008100_002a7e26,00008100:002a7e26,00798,Pankow,Buch,Spielplatz,Wiltbergstr. 29A,Abenteuerspielplatz und Naturerfahrungsraum,-,-,9330.00,-,03100101,Bucher Forst,-
00008100_0016d181,00008100:0016d181,70807,Pankow,Prenzlauer Berg,Spielplatz,Schwedter Str. 90,Mauerpark - Jugendfarm Moritzhof,-,-,901.00,-,03601142,Falkplatz,-
00008100_0016cf23,00008100:0016cf23,00893,Pankow,Niederschönhausen,Spielplatz,Am Bürgerpark 15 - 18,Kinderbauernhof Pinke-Panke,-,-,7442.00,-,03400620,Schönholz,-
00008100_00146cae,00008100:00146cae,60005,Friedrichshain-Kreuzberg,Kreuzberg,Spielplatz,Möckernstr. 131/ Hallesche Str.,"NER, GLB, Wildpark, Am Birkenhügel",1982,-,5609.00,gewidmet,02100101,Askanischer Platz,-
00008100_0014b9b9,00008100:0014b9b9,320050,Mitte,Wedding,Spielplatz,"Volkspark Humboldthain, 30489",an der Rodelbahn; 30489 (Ballspielplatz),-,-,588.00,gewidmet,01300835,Humboldthain Süd,-
00008100_0035a96b,00008100:0035a96b,241.293,Neukölln,Rudow,Spielplatz,Rudower Fließ- Kispi Geflügelviertel,-,2025,-,-,in Widmung,08401244,Waßmannsdorfer Chaussee,1194.55
00008100_001c947b,00008100:001c947b,18AS01,Lichtenberg,Lichtenberg,Spielplatz,KGA Bielefeld  / Spielpl.,-,1997,-,456.00,gewidmet,11300721,Herzbergstraße,390.00
00008100_001c931e,00008100:001c931e,24AS11,Lichtenberg,Rummelsburg,Spielplatz,Wönnichstr. 74 / Münsterlandstr./Sp.,-,2002,-,1065.00,gewidmet,11400929,Weitlingkiez,789.00
00008100_002e4e92,00008100:002e4e92,28AF01,Lichtenberg,Friedrichsfelde,Spielplatz,Dolgenseestr. 60 / Promenade / Aktivspielfläche,-,2022,-,311.00,-,11401135,Dolgenseestraße,311.00
00008100_002f0ed9,00008100:002f0ed9,08AF01,Lichtenberg,Neu-Hohenschönhausen,Spielplatz,Wustrower Park - Fitnessbereich,-,2019,-,254.00,gewidmet,11100307,Zingster Straße Ost,254.00
00008100_002fd240,00008100:002fd240,29AF02,Lichtenberg,Rummelsburg,Spielplatz,Rummelsburger Bucht / Hauptstr. 4 / Aktivspielfläche,-,2000,-,108.00,gewidmet,11501238,Rummelsburg,108.00
00008100_0031b0fa,00008100:0031b0fa,28AF05,Lichtenberg,Friedrichsfelde,Spielplatz,Sewanstr. 251 / Aktiv & Fitness,-,-,-,186.00,gewidmet,11401137,Erieseering,186.00
00008100_002e2f76,00008100:002e2f76,15AF01,Lichtenberg,Alt-Hohenschönhausen,Spielplatz,Altenhofer Dreieck / Fittnessbereich,-,2007,-,416.00,gewidmet,11200514,Landsberger Allee,416.00
00008100_002e01da,00008100:002e01da,05AF01,Lichtenberg,Neu-Hohenschönhausen,Spielplatz,Vincent-van-Gogh-Str. 43-47 / Fitness-Bereich,-,2019,-,444.00,gewidmet,11100204,Falkenberg West,444.00
00008100_002ecd9c,00008100:002ecd9c,01AF01,Lichtenberg,Malchow,Spielplatz,Malchower See Park / Fitnessbereich,-,2017,-,186.00,gewidmet,11100101,Dörfer Malchow-Wartenberg,186.00
00008100_002f152e,00008100:002f152e,19AF01,Lichtenberg,Fennpfuhl,Spielplatz,Fennpfuhlpark / Fitnessbereich,-,2018,-,541.00,gewidmet,11300617,Fennpfuhlpark,541.00
00008100_002f1533,00008100:002f1533,28AF02,Lichtenberg,Friedrichsfelde,Spielplatz,Salzmannstr. / östl. / Fitnessbereich,-,-,-,1990.00,gewidmet,11401135,Dolgenseestraße,1990.00
00008100_002f1756,00008100:002f1756,31AF01,Lichtenberg,Karlshorst,Spielplatz,Rheinsteinpark / Aktiv- und Fitnessbereich,-,2018,-,298.00,gewidmet,11501340,Karlshorst Nord,298.00
00008100_002f25d1,00008100:002f25d1,24AF01,Lichtenberg,Friedrichsfelde,Spielplatz,Alfred-Kowalke-Str. / Kurze Str. / Aktiv- und Fitnessbereich,-,2020,-,1505.00,gewidmet,11400931,Massower Straße,1505.00
00008100_002f77cf,00008100:002f77cf,28AF04,Lichtenberg,Friedrichsfelde,Spielplatz,Quartierspark Mellenseestr. / Fitnessbereiche,-,-,-,544.00,gewidmet,11401135,Dolgenseestraße,544.00
00008100_002e0187,00008100:002e0187,02AF01,Lichtenberg,Wartenberg,Spielplatz,Schnitterinnenweg Fitness-Pfad,-,2019,-,434.00,gewidmet,11100101,Dörfer Malchow-Wartenberg,434.00
00008100_002f1525,00008100:002f1525,19AF02,Lichtenberg,Fennpfuhl,Spielplatz,Rudolf-Seiffert-Str. / Grünzug / Aktivspielfläche,-,2000,-,125.00,gewidmet,11300619,Rudolf-Seiffert-Park,125.00
00008100_002f1706,00008100:002f1706,29AF01,Lichtenberg,Rummelsburg,Spielplatz,Rummelsburger Bucht / Medallionplatz / Aktivspielfläche,-,2012,-,136.00,gewidmet,11501238,Rummelsburg,136.00
00008100_002e027a,00008100:002e027a,10AF01,Lichtenberg,Neu-Hohenschönhausen,Spielplatz,Rüdickenstr. 22 / Fitness-Bereich,-,2019,-,171.00,gewidmet,11100309,Mühlengrund,171.00
00008100_002f10d6,00008100:002f10d6,15AF02,Lichtenberg,Alt-Hohenschönhausen,Spielplatz,Altenhofer Str. 1-19 / Mittelstr. / Fitnessbereich,-,2016,-,142.00,gewidmet,11200514,Landsberger Allee,142.00
00008100_002f1881,00008100:002f1881,32AF01,Lichtenberg,Karlshorst,Spielplatz,Carlsgarten / Fitnessbereich,-,2018,-,233.00,gewidmet,11501341,Karlshorst Süd,233.00
00008100_002f1af3,00008100:002f1af3,26AF01,Lichtenberg,Friedrichsfelde,Spielplatz,Gensinger Str. 56 / hinter Sporthalle / Fitnessbereich,-,2012,-,211.00,gewidmet,11401033,Gensinger Straße,211.00
00008100_002f1481,00008100:002f1481,22AF01,Lichtenberg,Lichtenberg,Spielplatz,Tasdorfer Str. 43 / Fitnessbereich,-,2014,-,182.00,gewidmet,11300826,Frankfurter Allee Süd,182.00
00008100_002f14d9,00008100:002f14d9,25AF01,Lichtenberg,Friedrichsfelde,Spielplatz,Rosenfelder Ring 62 - 68 / Aktiv-Spielfläche,-,1994,-,138.00,gewidmet,11401032,Rosenfelder Ring,138.00
00008100_002f16e4,00008100:002f16e4,28AF03,Lichtenberg,Friedrichsfelde,Spielplatz,Hönower Weg / Mellenseestr. 35-38 / Aktivspielfläche,-,-,-,66.00,gewidmet,11401135,Dolgenseestraße,66.00
00008100_00232d87,00008100:00232d87,010122,Treptow-Köpenick,Alt-Treptow,Spielplatz,Alt-Treptow/ Insel der Jugend AT KSP,Fitness,-,-,115.00,gewidmet,09100101,Alt-Treptow,115.60
00008100_001c676f,00008100:001c676f,020032,Treptow-Köpenick,Plänterwald,Spielplatz,Dammweg/ Plansche Pl KSP,Forst Plänterwald,-,-,11419.00,-,09100203,Plänterwald Ost,10392.00
00008100_0026f431,00008100:0026f431,070082,Treptow-Köpenick,Adlershof,Spielplatz,Franz-Ehrlich-Straße Ahof KSP,-,2018,-,74.10,gewidmet,09200715,Wista,50.00
00008100_002509be,00008100:002509be,080072,Treptow-Köpenick,Bohnsdorf,Spielplatz,Alexander-Meißner-Straße Bo KSP,In mehreren Teilen,-,-,778.30,gewidmet,09301025,Alt-Bohnsdorf,778.25
00008100_0011e28c,00008100:0011e28c,50098,Spandau,Kladow,Spielplatz,Cladow Center (KKS) ,"Einkaufsz.Kladower Damm/Eichelmatenweg, 13",-,-,50.00,gewidmet,05400944,Kladower Damm,50.00
00008100_0011de46,00008100:0011de46,70441,Spandau,Spandau,Spielplatz,Altstadt-Spielpunkt 3 vor Karstadt,Charlottenstraße ,-,-,1.00,-,05100316,Carl-Schurz-Straße,3.50
00008100_0011de83,00008100:0011de83,69941,Spandau,Spandau,Spielplatz,Altstadt-Spielpunkt 2 vor Karstadt,Carl-Schurz-Str. 20,-,-,1.00,-,05100316,Carl-Schurz-Straße,1.00
00008100_0016cf43,00008100:0016cf43,78941,Pankow,Weißensee,Spielplatz,"Goethestr. 9, 11 / Lehderstr. 73",-,-,-,1577.00,künftige Widmung,03500934,Weißenseer Spitze,304.34
00008100_002e08a8,00008100:002e08a8,50021,Friedrichshain-Kreuzberg,Kreuzberg,Spielplatz,"Gitschiner Str. 110, Fit",Mehringplatz,2021,-,129.00,gewidmet,02100102,Mehringplatz,129.00
00008100_002e01f3,00008100:002e01f3,60127,Friedrichshain-Kreuzberg,Friedrichshain,Spielplatz,"Volkspark Friedrichshain, Fit",Calisthenics Anlage,-,-,90.00,gewidmet,02400520,Barnimkiez,90.00
00008100_002e099b,00008100:002e099b,60023,Friedrichshain-Kreuzberg,Kreuzberg,Spielplatz,"Waldeckpark, Fit",Oranienstr./ Alte Jakobstr.,2021,-,619.00,gewidmet,02100104,Moritzplatz,619.00
00008100_00146ba3,00008100:00146ba3,60288,Friedrichshain-Kreuzberg,Friedrichshain,Spielplatz,"Wühlischplatz, Spiel",-,-,-,92.00,gewidmet,02500834,Revaler Straße,92.00
00008100_00146c6c,00008100:00146c6c,60073,Friedrichshain-Kreuzberg,Kreuzberg,Spielplatz,"Riemannstr., Spiel",-,-,-,63.00,-,02200211,Chamissokiez,63.00
00008100_0028162f,00008100:0028162f,60865,Friedrichshain-Kreuzberg,Kreuzberg,Spielplatz,"Skalitzer Str. 108, Spiel",Çetin-Mert-Park,1995,2024,143.00,gewidmet,02300315,Lausitzer Platz,143.00
00008100_0014be02,00008100:0014be02,372910,Mitte,Wedding,Spielplatz,Malplaquetstr. 29,Federgeräte im Gehwegbereich; 30462,-,-,168.00,gewidmet,01401048,Leopoldplatz,95.00
00008100_0014bf5b,00008100:0014bf5b,342800,Mitte,Wedding,Spielplatz,Themsestr. 4,30402,-,-,126.00,gewidmet,01400941,Londoner Straße,121.00
00008100_0024be6d,00008100:0024be6d,214320,Mitte,Moabit,Spielplatz,Essener Park,Spielbereich,-,-,60.00,gewidmet,01200522,Elberfelder Straße,60.00
00008100_0023224b,00008100:0023224b,253320,Mitte,Tiergarten,Spielplatz,Tilla-Durieux-Park,Edelstahl-Großwippen; 20703,-,-,646.00,gewidmet,01100102,Großer Tiergarten,645.00
00008100_002fa127,00008100:002fa127,328450,Mitte,Gesundbrunnen,Spielplatz,Grüntaler Str.Promenade gegenüber Hnr. 70 ,Calisthenics-Anlage ,2022,-,158.00,gewidmet,01300732,Soldiner Straße,158.00
00008100_0014b9be,00008100:0014b9be,314120,Mitte,Wedding,Spielplatz,Koloniestr. 130 Spielplatz Bürgergarten,31936,-,-,82.00,gewidmet,01300730,Drontheimer Straße,82.00
00008100_00104637,00008100:00104637,01102,Reinickendorf,Hermsdorf,Spielplatz,Falkentaler Steig 12 (Spielplatz),-,2011,-,659.30,gewidmet,12400722,Hermsdorf West,659.26
00008100_00282a76,00008100:00282a76,36192,Reinickendorf,Borsigwalde,Spielplatz,Klinnerweg ggü. Nr. 11 (Spielplatz),hi. Jugendfreizeitstätte,2018,-,904.60,gewidmet,12500825,Borsigwalde,904.60
00008100_002d5a31,00008100:002d5a31,35999,Reinickendorf,Konradshöhe/Tegelort,Spielplatz,Almazeile (Fitnessplatz),-,2021,-,2514.40,gewidmet,12400616,Konradshöhe/Tegelort,2514.40
00008100_0010447d,00008100:0010447d,00403,Reinickendorf,Reinickendorf,Spielplatz,"Letteallee 25, Semkensteig (Spielplatz)",-,2015,-,606.20,gewidmet,12100101,Letteplatz,606.20
00008100_00104419,00008100:00104419,00401,Reinickendorf,Reinickendorf,Spielplatz,Reginhardstr.169-171 (Spielplatz),-,2014,-,1522.30,gewidmet,12100103,Breitkopfbecken,1522.30
00008100_00104638,00008100:00104638,01103,Reinickendorf,Hermsdorf,Spielplatz,Dr. Ilse-Kassel-Platz (Spielplatz),zw. Schloßstr. u. Wachsmuthstr.,2017,-,2188.60,gewidmet,12400723,Hermsdorf Ost/Waldsee,2188.60
00008100_002d5954,00008100:002d5954,30714,Reinickendorf,Tegel,Spielplatz,Eschachstr. Pumptrack (Spielplatz),-,2021,-,1520.00,gewidmet,12500824,Ziekowstraße/Freie Scholle,1520.00
00008100_00104606,00008100:00104606,01231,Reinickendorf,Tegel,Spielplatz,Buddeplatz (Spielplatz),-,2014,-,1761.30,gewidmet,12200515,Alt-Tegel,1761.30
00008100_001044c5,00008100:001044c5,36101,Reinickendorf,Tegel,Spielplatz,"Ascheberger Weg, Bolzplatz",-,2012,-,539.60,gewidmet,12200412,Waldidyll/Flughafensee,539.60
00008100_0010438c,00008100:0010438c,01535,Reinickendorf,Reinickendorf,Spielplatz,Freiheitsweg 6 (Spielplatz),-,2015,-,2997.10,gewidmet,12100205,Teichstraße,2997.10
00008100_002adcb5,00008100:002adcb5,36202,Reinickendorf,Reinickendorf,Spielplatz,Amendestr./Hausotterstr. 80/81 (Spielplatz),-,2020,-,2043.00,gewidmet,12100102,Hausotterplatz,2043.00
00008100_001043ae,00008100:001043ae,01476,Reinickendorf,Reinickendorf,Spielplatz,Letteallee 74a (Spielplatz),-,2015,-,1683.80,gewidmet,12100101,Letteplatz,1683.73
00008100_00104468,00008100:00104468,00324,Reinickendorf,Borsigwalde,Spielplatz,Sommerfelder Str. (Spielplatz),-,2016,-,1272.00,gewidmet,12500825,Borsigwalde,1271.98
00008100_0010445e,00008100:0010445e,00274,Reinickendorf,Märkisches Viertel,Spielplatz,Markendorfer Str. 25 (Spielplatz),-,2009,-,2361.10,gewidmet,12601236,Schorfheidestraße,2361.10
00008100_0010441d,00008100:0010441d,00640,Reinickendorf,Reinickendorf,Spielplatz,Mittelbruchzeile I (Spielplatz),Kühleweinstr.,2014,-,1273.10,gewidmet,12100101,Letteplatz,1273.10
00008100_00250483,00008100:00250483,36185,Reinickendorf,Reinickendorf,Spielplatz,Mittelbruchzeile II (Spielplatz),Werftendensteig,2015,-,394.30,gewidmet,12100101,Letteplatz,394.30
00008100_00104461,00008100:00104461,00353,Reinickendorf,Reinickendorf,Spielplatz,Saalmannsteig 12 (Spielplatz),Reinickes Hof,2020,-,1543.00,gewidmet,12200307,Reinickes Hof,1543.00
00008100_002f2a93,00008100:002f2a93,27176,Reinickendorf,Wittenau,Spielplatz,Roedernallee/Alt-Wittenau (Spielplatz),Kleinkind,2022,-,969.00,-,12500926,Wittenau Mitte,969.00
00008100_002fb0dc,00008100:002fb0dc,27345,Reinickendorf,Märkisches Viertel,Spielplatz,Lauterbach-Grundschule (33. G) Spielplatz,-,2022,-,503.30,in Widmung,12601134,Märkisches Zentrum,503.30
00008100_0010442f,00008100:0010442f,00273,Reinickendorf,Waidmannslust,Spielplatz,Waldshuter Zeile (Spielplatz),-,2016,-,2644.40,gewidmet,12601032,Rollbergesiedlung,2644.40
00008100_0010447a,00008100:0010447a,00392,Reinickendorf,Reinickendorf,Spielplatz,Friedrich-Wilhelm-Str. 75 (Spielplatz),-,2007,-,3425.50,gewidmet,12100103,Breitkopfbecken,3425.50
00008100_00104411,00008100:00104411,00124,Reinickendorf,Frohnau,Spielplatz,Welfenallee 18/An der Buche (Spielplatz),-,2013,-,1862.30,gewidmet,12400720,Frohnau West,1862.30
00008100_0010443a,00008100:0010443a,00355,Reinickendorf,Wittenau,Spielplatz,Rathauspromenade 73-75 (Spielplatz),-,2016,-,2381.90,gewidmet,12500930,Wittenau Süd,2381.87
00008100_00104376,00008100:00104376,01653,Reinickendorf,Reinickendorf,Spielplatz,Neptunstr. 6 (Spielplatz),-,1999,2021,323.60,gewidmet,12100101,Letteplatz,323.64
00008100_0010436f,00008100:0010436f,01669,Reinickendorf,Tegel,Spielplatz,Bernauer Str. 136 A (Spielplatz),hinter Kindertagesstätte,2000,-,3189.30,gewidmet,12200413,Tegel Süd,3189.30
00008100_00104462,00008100:00104462,00360,Reinickendorf,Reinickendorf,Spielplatz,Klamannstr./Borggrevestr. (Spielplatz),-,2015,-,1223.40,gewidmet,12100206,Humboldtstraße,1223.40
00008100_0010437f,00008100:0010437f,01637,Reinickendorf,Reinickendorf,Spielplatz,Sommerstr./Seebeckstr. (Spielplatz),-,1998,-,3703.20,gewidmet,12100102,Hausotterplatz,3703.20
00008100_00250496,00008100:00250496,36190,Reinickendorf,Reinickendorf,Spielplatz,Hoppestr. 36 (Spielplatz),-,2019,-,1246.60,gewidmet,12100102,Hausotterplatz,1246.60
00008100_0010449b,00008100:0010449b,00424,Reinickendorf,Reinickendorf,Spielplatz,Amendestr. 84/86 (Spielplatz) ,-,2020,-,1068.60,gewidmet,12100102,Hausotterplatz,1068.60
00008100_00104442,00008100:00104442,00395,Reinickendorf,Reinickendorf,Spielplatz,Kamekestr. (Spielplatz),-,2010,-,2228.30,gewidmet,12100102,Hausotterplatz,2228.30
00008100_00311337,00008100:00311337,27177,Reinickendorf,Wittenau,Spielplatz,Roedernallee 106 (Spielplatz),-,-,-,581.30,gewidmet,12500926,Wittenau Mitte,581.30
00008100_001c9641,00008100:001c9641,02AS04,Lichtenberg,Wartenberg,Spielplatz,Am Kletterplatz / Am Genossenschaftsring,-,2013,-,1152.00,gewidmet,11100101,Dörfer Malchow-Wartenberg,500.00
00008100_001c9568,00008100:001c9568,23AS01,Lichtenberg,Rummelsburg,Spielplatz,Hauffstr. 22-25 / Spielpl.,-,2003,-,2659.00,gewidmet,11400927,Victoriastadt,1589.00
00008100_001c9667,00008100:001c9667,12AS01,Lichtenberg,Alt-Hohenschönhausen,Spielplatz,Leuenberger Str. ggü. 4-10 / Spielpl.,-,2006,-,974.00,gewidmet,11200411,Hauptstraße,729.00
00008100_001c961a,00008100:001c961a,14AS01,Lichtenberg,Alt-Hohenschönhausen,Spielplatz,Konrad-Wolf-Str.92/Küstriner Str./Spielp,-,1999,-,3547.00,gewidmet,11200513,Große-Leege-Straße,3000.00
00008100_001c9471,00008100:001c9471,24AS05,Lichtenberg,Rummelsburg,Spielplatz,Rosenfelder Str./ Marie-Curie-Allee /Sp.,-,1994,-,824.00,gewidmet,11400929,Weitlingkiez,466.00
00008100_001c94bb,00008100:001c94bb,24AS06,Lichtenberg,Friedrichsfelde,Spielplatz,Einbecker Str. zw. 71 u. 85 / Spielpl.,-,2001,-,3304.00,gewidmet,11400931,Massower Straße,1255.00
00008100_001c94d8,00008100:001c94d8,19AS01,Lichtenberg,Fennpfuhl,Spielplatz,Karl-Lade-Str. 36 Spielpl.KGA,-,2017,-,405.00,gewidmet,11300618,Storkower Bogen,405.00
00008100_001c9331,00008100:001c9331,02AS01,Lichtenberg,Wartenberg,Spielplatz,KGA Falkenhöhe Nord / Spielplatz,-,1993,-,1313.00,gewidmet,11100101,Dörfer Malchow-Wartenberg,1002.00
00008100_002d3618,00008100:002d3618,07AS05,Lichtenberg,Neu-Hohenschönhausen,Spielplatz,Rostocker Str. 15 / Krummer Pfuhl,-,2022,-,1022.00,gewidmet,11100206,Wartenberg Nord,1022.00
00008100_001c96a9,00008100:001c96a9,24AS07,Lichtenberg,Friedrichsfelde,Spielplatz,Marie-Curie-Allee 12-14  / Spielpl.,-,2002,-,946.00,gewidmet,11400929,Weitlingkiez,946.00
00008100_001c953c,00008100:001c953c,17AS02,Lichtenberg,Fennpfuhl,Spielplatz,Otto-Marquardt-Str. 6/8 / Spielpl.,-,2007,-,642.00,gewidmet,11300616,Hohenschönhauser Straße,642.00
00008100_001c9510,00008100:001c9510,02AS02,Lichtenberg,Wartenberg,Spielplatz,Dörferweg / Str. 2 / Ecke Str. 7 / Spielplatz,-,2003,-,925.00,gewidmet,11100101,Dörfer Malchow-Wartenberg,651.00
00008100_001c95c8,00008100:001c95c8,04AS03,Lichtenberg,Neu-Hohenschönhausen,Spielplatz,Wartiner Str. 40 - 50 / Spielpl.,-,1991,-,587.00,gewidmet,11100203,Falkenberg Ost,587.00
00008100_0020d067,00008100:0020d067,11AS02,Lichtenberg,Alt-Hohenschönhausen,Spielplatz,Helga-Haase-Str.15/Gartenstadt/Spielplatz,-,2017,-,628.00,gewidmet,11200410,Malchower Weg,628.00
00008100_0028f209,00008100:0028f209,24AS01,Lichtenberg,Rummelsburg,Spielplatz,Nöldnerstr. 45,-,-,2023,2536.00,gewidmet,11400928,Nöldnerplatz,2536.00
00008100_001c9600,00008100:001c9600,17AS04,Lichtenberg,Fennpfuhl,Spielplatz,Otto-Marquardt-Str. südl.Nr.10,-,2019,2020,2110.00,gewidmet,11300616,Hohenschönhauser Straße,1715.00
00008100_001c945f,00008100:001c945f,19AS04,Lichtenberg,Fennpfuhl,Spielplatz,Franz-Jacob-Str. 1-3 / Spielpl.,-,1993,-,2865.00,gewidmet,11300618,Storkower Bogen,1162.00
00008100_001c9472,00008100:001c9472,19AS11,Lichtenberg,Fennpfuhl,Spielplatz,R.-Seiffert-Str. ggü. 19-23 Bolzpl. ,-,2004,-,710.00,gewidmet,11300619,Rudolf-Seiffert-Park,710.00
00008100_001c965c,00008100:001c965c,19AS13,Lichtenberg,Fennpfuhl,Spielplatz,Rudolf-Seiffert- Str. 6-24 ggü. 50,-,2005,-,713.00,gewidmet,11300619,Rudolf-Seiffert-Park,713.00
00008100_001c9574,00008100:001c9574,28AS08,Lichtenberg,Friedrichsfelde,Spielplatz,Franz-Mett-Str. 2-4 / Spielpl.,-,2021,2021,2222.00,gewidmet,11401137,Erieseering,1740.00
00008100_001c9339,00008100:001c9339,24AS08,Lichtenberg,Rummelsburg,Spielplatz,Münsterlandstr. 46 - 50 / Spielpl.,-,2003,-,317.00,-,11400929,Weitlingkiez,288.00
00008100_001c9478,00008100:001c9478,30AS01,Lichtenberg,Karlshorst,Spielplatz,Ilsestr. 30-30B / Lisztstr. / Spielplatz,-,1993,-,3972.00,gewidmet,11501339,Karlshorst West,1534.00
00008100_002e00c4,00008100:002e00c4,24AF02,Lichtenberg,Rummelsburg,Spielplatz,Weitling- / Wönnichstr. / Skaterlinse,-,2005,-,622.00,-,11400929,Weitlingkiez,622.00
00008100_002e4e91,00008100:002e4e91,28AS21,Lichtenberg,Friedrichsfelde,Spielplatz,Dolgenseestr. 21-60 / Promenade,-,2022,-,937.00,-,11401135,Dolgenseestraße,937.00
00008100_001c94e5,00008100:001c94e5,17AS03,Lichtenberg,Fennpfuhl,Spielplatz,Herbert-Tschäpe-Str. 31-37 ggü.,-,1996,-,3002.00,gewidmet,11300616,Hohenschönhauser Straße,1727.00
00008100_001c95ce,00008100:001c95ce,22AS02,Lichtenberg,Lichtenberg,Spielplatz,John-Sieg-Str. 1-3 ggü. / Spielpl.,'Bleistifte',1993,-,2531.00,gewidmet,11300826,Frankfurter Allee Süd,2531.00
00008100_001c9620,00008100:001c9620,10AS01,Lichtenberg,Neu-Hohenschönhausen,Spielplatz,Mühlengrund /  Spielplatz,-,1996,-,276.00,-,11100309,Mühlengrund,189.00
00008100_001c94bd,00008100:001c94bd,28AS05,Lichtenberg,Friedrichsfelde,Spielplatz,Erieseering 7-11 (Rückseite) / Spielpl.,-,1996,2024,3287.00,gewidmet,11401137,Erieseering,3287.00
