Technischer Schlüssel,Schlüssel,Objektnummer,Bezirk,Ortsteil,Art der Grünanlage,Name des Spielplatzes,Namenszusatz des Spielplatzes,Baujahr,letztes Sanierungsjahr,Größe in m² (Kataster),Widmung,Nummer des Planungsraumes,Name des Planungsraumes,Nettospielfläche in m²
00008100_0019943b,00008100:0019943b,00143,Marzahn-Hellersdorf,Marzahn,Spielplatz,"Geraer Ring vor 54 , Grünzug Marzahn/West,",Spielplatz,1996,-,938.00,gewidmet,10100101,Marzahn West,283.18
00008100_0019944b,00008100:0019944b,00188,Marzahn-Hellersdorf,Marzahn,Spielplatz,Trusetaler Straße 37/ 39,Spielplatz,1986,-,411.00,gewidmet,10100206,Wuhletalstraße,410.83
00008100_001991fe,00008100:001991fe,00263,Marzahn-Hellersdorf,Marzahn,Spielplatz,"Grünzug Fichtelbergstr./Pekrunstr.,",Amanlisweg 10 - 12,1984,-,433.00,gewidmet,10100314,Auersbergstraße,432.79
00008100_001991b6,00008100:001991b6,00267,Marzahn-Hellersdorf,Marzahn,Spielplatz,Grünzug Fichtelbergstr./ Pekrunstraße,Bolzplatz Scheibenbergstr. 23,1984,-,930.60,gewidmet,10100314,Auersbergstraße,930.00
00008100_00199216,00008100:00199216,00266,Marzahn-Hellersdorf,Marzahn,Spielplatz,Grünzug Fichtelbergstraße/ Pekrunstraße,Spielplatz Scheibenbergstr. 23,1984,-,452.00,gewidmet,10100314,Auersbergstraße,451.11
00008100_0019917c,00008100:0019917c,00241,Marzahn-Hellersdorf,Marzahn,Spielplatz,Murtzaner Ring 2 - 28,Bolzplatz,1983,-,734.00,gewidmet,10100312,Springpfuhl,734.18
00008100_0019935a,00008100:0019935a,2301288,Marzahn-Hellersdorf,Hellersdorf,Spielplatz,Alte- Hellersdorfer- Str. Bolzplatz,Alte- Hellersdorfer- Straße (Hasenpfuhl),-,-,715.00,gewidmet,10200627,Am Kienberg,660.59
00008100_0020ee1c,00008100:0020ee1c,R04-23564,Marzahn-Hellersdorf,Biesdorf,Spielplatz,Boschpoler Platz,Spielplatz ,1980,2014,6827.50,gewidmet,10300731,Oberfeldstraße,4614.03
00008100_0019972c,00008100:0019972c,2300570,Marzahn-Hellersdorf,Kaulsdorf,Spielplatz,Am Moosbruch - Spielplatz,Am Moosbruch/Ulmenstr.,-,2017,7793.00,gewidmet,10400837,Kaulsdorf Süd,3317.39
00008100_0019918b,00008100:0019918b,00283,Marzahn-Hellersdorf,Marzahn,Spielplatz,Bärensteinstraße,Bolzplatz,1985,1999,597.00,gewidmet,10100315,Bärenstein,597.13
00008100_001994a6,00008100:001994a6,00804,Marzahn-Hellersdorf,Marzahn,Spielplatz,"""Wiesenpark"" Landsberger Tor","Spielplatz ""Blauer Wuhl""",2000,-,341.00,gewidmet,10100316,Landsberger Tor,216.40
