district_id,street_name,median_net_rent,number_of_cases,mean_net_rent,year
1100101,Stülerstraße,22.81,20,22.33,2024
1100102,Großer Tiergarten,21.99,45,21.62,2024
1100103,Lützowstraße,21.56,57,21,2024
1100104,Körnerstraße,22.96,39,22.68,2024
1100205,Wilhelmstraße,24.24,84,23.83,2024
1100206,Unter den Linden,25.17,52,26.86,2024
1100207,Leipziger Straße,21,104,21.14,2024
1100308,Charitéviertel,20,99,20.42,2024
1100309,Oranienburger Straße,29.43,180,27.53,2024
1100310,Alexanderplatzviertel,18.85,103,18.31,2024
1100311,Karl-Marx-Allee,18.07,31,17.52,2024
1100312,Heine-Viertel West,24.12,125,24.01,2024
1100313,Heine-Viertel Ost,21.88,58,21.61,2024
1100414,Nordbahnhof,20.25,76,20.69,2024
1100415,Invalidenstraße,24.62,96,23.38,2024
1100416,Arkonaplatz,23.18,107,22.38,2024
1200517,Huttenkiez,17.77,36,17.36,2024
1200518,Beusselkiez,19.44,54,18.17,2024
1200519,Emdener Straße,15.79,51,17.18,2024
1200520,Bremer Straße,17.08,64,20.12,2024
1200521,Zwinglistraße,13.75,15,15.31,2024
1200522,Elberfelder Straße,17.65,45,18.16,2024
1200623,Stephankiez,17.19,74,19.72,2024
1200624,Heidestraße,23.5,265,23.28,2024
1200625,Lübecker Straße,12.38,25,14.85,2024
1200626,Thomasiusstraße,15,24,16.7,2024
1200627,Zillesiedlung,6.75,12,7.82,2024
1200628,Lüneburger Straße,21.74,26,20.33,2024
1200629,Hansaviertel,17.5,33,18.2,2024
1300730,Drontheimer Straße,15.43,33,15.05,2024
1300731,Koloniestraße,15.29,85,16.52,2024
1300732,Soldiner Straße,15.99,36,16.06,2024
1300733,Gesundbrunnen,12,47,13.04,2024
1300834,Brunnenstraße,8.6,49,13.46,2024
1300835,Humboldthain Süd,9.38,48,14.7,2024
1300836,Humboldthain Nordwest,21.69,98,21.28,2024
1400937,Afrikanische Straße,15,52,15.21,2024
1400938,Kameruner Straße,14.17,40,16.75,2024
1400939,Glasgower Straße,8.76,36,12.54,2024
1400940,Schillerpark,8.7,25,9.23,2024
1400941,Londoner Straße,17.67,20,17.1,2024
1400942,Westliche Müllerstraße,14.15,63,15.41,2024
1401043,Antonstraße,18,14,17.65,2024
1401044,Uferstraße,14.41,55,14.83,2024
1401045,Schwedenstraße,15.9,33,16.05,2024
1401046,Nordufer,16.9,32,17.69,2024
1401047,Sparrplatz,21.08,69,22.03,2024
1401048,Leopoldplatz,15,53,15.64,2024
1401049,Schulstraße,7.6,38,10.58,2024
2100101,Askanischer Platz,20.12,60,18.03,2024
2100102,Mehringplatz,9.34,73,13.64,2024
2100103,Am Berlin Museum,13.63,21,14.47,2024
2100104,Moritzplatz,15.25,9,14.33,2024
2100105,Prinzenstraße,15,46,15.6,2024
2100106,Wassertorplatz,7.09,6,8.1,2024
2200207,Gleisdreieck,20.13,34,22.16,2024
2200208,Rathaus Yorckstraße,18.46,17,17.51,2024
2200209,Viktoriapark,22,54,21.94,2024
2200210,Urbanstraße,19.99,56,20.62,2024
2200211,Chamissokiez,17.83,41,18.13,2024
2200212,Graefekiez Süd,19.01,15,19.79,2024
2200213,Graefekiez Nord,17.79,16,18.45,2024
2300314,Oranienplatz,15.8,22,16.14,2024
2300315,Lausitzer Platz,11.67,28,16.61,2024
2300316,Köpenicker Straße,10.42,5,15.83,2024
2300417,Reichenberger Straße West,15.93,46,17.59,2024
2300418,Reichenberger Straße Ost,20.06,34,19.33,2024
2300419,Wrangelkiez,18.75,31,18.67,2024
2400520,Barnimkiez,18.33,43,15.93,2024
2400521,Friedenstraße,20.83,99,20.22,2024
2400522,Richard-Sorge-Viertel,14,52,15.37,2024
2400623,Andreasviertel,22.68,150,20.47,2024
2400624,Weberwiese,18.29,47,18.92,2024
2400625,Wriezener Bahnhof,25.91,44,26.68,2024
2500726,Hausburgviertel,18.63,59,19.52,2024
2500727,Forckenbeckplatz,16.67,27,16.75,2024
2500728,Samariterviertel,18.82,82,20.66,2024
2500729,Pettenkofer Straße,21.13,28,20.95,2024
2500830,Niederbarnimstraße,18.26,22,18.65,2024
2500831,Wismarplatz,18,45,19.33,2024
2500832,Traveplatz,20,78,20.08,2024
2500833,Boxhagener Platz,18,54,19.31,2024
2500834,Revaler Straße,20,55,20.1,2024
2500835,Stralauer Kiez,21.68,89,21.2,2024
2500836,Stralauer Halbinsel,17,50,16.17,2024
3100101,Bucher Forst,15.5,45,14.14,2024
3100102,Klinikum Buch,12.59,41,14.15,2024
3100103,Karower Chaussee,7.68,44,7.78,2024
3200204,Blankenfelde,14.14,8,16.03,2024
3200205,Uhlandstraße,14.93,35,14.87,2024
3200206,Pastor-Niemöller-Platz,17,42,16.25,2024
3200207,Herthaplatz,14,64,15.17,2024
3200308,Nisbléstraße,13.51,32,13.75,2024
3200309,Eddastraße,13.38,11,15.48,2024
3200310,Krugpfuhl,13.11,52,12.97,2024
3300411,Karow Nord,10.52,90,11.68,2024
3300412,Karow Bahnhof,11.88,10,12.98,2024
3300413,Karow Ost,keine Daten,keine Daten,keine Daten,2024
3300514,Blankenburg,14.1,7,15.51,2024
3300515,Blankenburger Süden,keine Daten,keine Daten,keine Daten,2024
3300516,Heinersdorf,16.71,226,16.54,2024
3300517,Märchenland,keine Daten,keine Daten,keine Daten,2024
3400618,Rosenthal,14.89,51,14.56,2024
3400619,Wilhelmsruh,16,85,16.39,2024
3400620,Schönholz,13.69,8,14.2,2024
3400721,Florakiez,17.14,58,18.09,2024
3400722,Parkstraße,14.65,23,18.47,2024
3400723,Garbátyplatz,15.54,30,15.54,2024
3400724,Wolfshagener Straße,10.91,49,12.16,2024
3400725,Schlosspark,18.33,47,17.15,2024
3400826,Tiroler Viertel,23.64,25,20.89,2024
3400827,Trelleborger Viertel,16,44,17.49,2024
3400828,Spiekermann Straße,18.18,38,17.66,2024
3400829,Arnold-Zweig-Straße,10.31,34,11.78,2024
3400830,Kissingenviertel,12,22,13.61,2024
3400831,Pankower Tor,keine Daten,keine Daten,keine Daten,2024
3500932,Bühringstraße,17.59,27,17.7,2024
3500933,Weißer See,23.23,48,20.51,2024
3500934,Weißenseer Spitze,16.42,62,16.45,2024
3500935,Behaimstraße,16,28,17.4,2024
3500936,Komponistenviertel Weißensee,17.91,30,16.68,2024
3501037,Rathaus Weißensee,14.42,36,14.72,2024
3501038,Hansastraße,16.42,33,14.39,2024
3601139,Norweger Viertel,23.43,62,21.91,2024
3601140,Malmöer Straße,17.86,48,17.6,2024
3601141,Arnimplatz,24.96,106,22.82,2024
3601142,Falkplatz,18.75,80,19.57,2024
3601243,Rodenbergstraße,20.99,36,21.89,2024
3601244,Humannplatz,15.02,27,15.76,2024
3601245,Ostseestraße,17.38,48,17.84,2024
3601346,Gethsemanekirche,22.64,51,22.77,2024
3601347,Helmholtzplatz,19,38,19.34,2024
3601348,Senefelderstraße,19.56,43,20.65,2024
3601449,Michelangelostraße,7.5,7,9.37,2024
3601450,Volkspark Prenzlauer Berg,10.82,7,14.26,2024
3601451,Anton-Saefkow-Park,20,28,20.65,2024
3601452,Velodrom,23.78,53,22.44,2024
3601453,Alter Schlachthof,20.84,11,20.06,2024
3701554,Teutoburger Platz,22,63,22,2024
3701555,Sredzkistraße,19,40,19.39,2024
3701556,Kollwitzplatz,18.16,67,20.51,2024
3701657,Thälmannpark,19.15,42,17.72,2024
3701658,Christburger Straße,19.99,34,20,2024
3701659,Immanuelkirchstraße,19.88,57,19.43,2024
3701660,Bötzowstraße,15,44,17.54,2024
4100101,Jungfernheide/Plötzensee,9.78,51,12.64,2024
4100102,Paul-Hertz-Siedlung,7.22,46,7.41,2024
4200203,Olympiagelände,17.14,6,17.05,2024
4200204,Angerburger Allee,9.7,64,12.07,2024
4200205,Flatowallee,19.5,27,19.76,2024
4200206,Kranzallee,14.63,15,12.8,2024
4200207,Eichkamp,keine Daten,keine Daten,keine Daten,2024
4200308,Branitzer Platz,16.17,17,16.16,2024
4200309,Neu Westend,13.47,39,14.31,2024
4200310,Fürstenplatz,16,26,15.94,2024
4200311,Königin-Elisabeth-Straße,12.65,33,13.77,2024
4300412,Schlossgarten,21.72,61,20.04,2024
4300413,Klausenerplatz,11.13,36,12.53,2024
4300414,Schloß Charlottenburg,17.72,31,18.4,2024
4300415,Lietzensee,19.12,27,19.43,2024
4300416,Amtsgerichtsplatz,18.01,40,18.86,2024
4300517,Tegeler Weg,16.88,32,16.46,2024
4300518,Kaiserin-Augusta-Allee,17.81,29,17.49,2024
4300619,Alt-Lietzow,23.08,50,21.67,2024
4300620,Spreestadt,22.68,35,22.78,2024
4300621,Richard-Wagner-Straße,19.75,47,18.18,2024
4300622,Ernst-Reuter-Platz,19.56,49,19.01,2024
4300623,Karl-August-Platz,19.79,67,20.62,2024
4300624,Savignyplatz,20,73,21.29,2024
4400725,Güterbahnhof Grunewald,keine Daten,keine Daten,keine Daten,2024
4400726,Bismarckallee,20,27,19.61,2024
4400727,Flinsberger Platz,17,39,15.88,2024
4400728,Hagenplatz,20,23,19.47,2024
4400729,Hundekehle,17.89,10,19.12,2024
4400830,Forckenbeckstraße,20.96,66,20.86,2024
4400831,Messelpark,20.59,11,21.68,2024
4400832,Breite Straße,14.6,28,16.54,2024
4400833,Schlangenbader Straße,25,15,23.98,2024
4400834,Binger Straße,18.75,10,17.64,2024
4400835,Rüdesheimer Platz,15.22,19,16.56,2024
4500936,Droysenstraße,22,21,19.57,2024
4500937,Halensee,19.58,52,20.08,2024
4500938,Hochmeisterplatz,20,42,20.28,2024
4500939,Eisenzahnstraße,24.77,52,22.42,2024
4501040,Hindemithplatz,21.67,36,20.94,2024
4501041,George-Grosz-Platz,23,23,21.91,2024
4501042,Breitscheidplatz,24.88,35,24.09,2024
4501043,Preußenpark,21.02,71,21.71,2024
4501044,Ludwigkirchplatz,21.12,24,23.43,2024
4501045,Schaperstraße,20.03,39,21.58,2024
4501146,Barstraße,19.4,17,17.31,2024
4501147,Leon-Jessel-Platz,17.28,29,19.24,2024
4501148,Brabanter Platz,14.43,24,16.38,2024
4501149,Nikolsburger Platz,18.83,36,20.2,2024
4501150,Wilhelmsaue,16.22,16,18.72,2024
4501151,Hildegardstraße,17.56,29,17.06,2024
4501152,Prager Platz,23.74,60,21.52,2024
4501153,Babelsberger Straße,17.27,43,19.18,2024
5100101,Hakenfelde Nord,12.41,34,14.14,2024
5100102,Am Forstacker,12.05,43,11.15,2024
5100103,Mertensstraße,14.36,56,13.71,2024
5100104,Maselake,18.7,49,17.34,2024
5100105,Amorbacher Weg,10.13,14,12.2,2024
5100206,Griesingerstraße,6.74,20,7.05,2024
5100207,An der Tränke,9.97,8,12.36,2024
5100208,Im Spektefeld,7.9,93,8.4,2024
5100209,Westerwaldstraße,7.78,33,9.09,2024
5100210,Germersheimer Platz,10.16,51,10.93,2024
5100211,An der Kappe,10.86,20,12.14,2024
5100312,Eckschanze,9.58,21,11.66,2024
5100313,Eiswerder,21.43,85,20.76,2024
5100314,Kurstraße,12,49,12.89,2024
5100315,Ackerstraße,13.07,56,13.06,2024
5100316,Carl-Schurz-Straße,9.04,71,10.77,2024
5100317,Freiheit,12.22,8,11.5,2024
5200418,Isenburger Weg,keine Daten,keine Daten,keine Daten,2024
5200419,Am Heideberg,keine Daten,keine Daten,keine Daten,2024
5200420,Staakener Straße,16.05,9,15.27,2024
5200421,Spandauer Straße,10.36,7,11.31,2024
5200422,Werkstraße,13.1,20,14.17,2024
5200423,Magistratsweg,9.04,32,9.7,2024
5200524,Döberitzer Weg,10.54,10,11.3,2024
5200525,Pillnitzer Weg,10.9,27,12.13,2024
5200526,Rudolf-Wissell-Großsiedlung,7.03,58,7.34,2024
5200527,Maulbeerallee,7.62,96,8.06,2024
5200528,Weinmeisterhornweg,7.78,51,9.26,2024
5200629,Borkumer Straße,14.09,83,13.83,2024
5200630,Wilhelmstadt West,14.77,96,14.31,2024
5200631,Wilhelmstadt Ost,10.84,47,10.55,2024
5200632,Tiefwerder,7.28,34,9.02,2024
5200633,Graetschelsteig,7.33,25,7.19,2024
5200634,Börnicker Straße,18.82,19,17.98,2024
5300735,Haveleck,16.46,60,14.11,2024
5300736,Zitadellenweg,10.21,13,10.2,2024
5300737,Gartenfelder Straße,9.26,83,10.69,2024
5300838,Gartenfeld,9.93,5,10.05,2024
5300839,Rohrdamm,15.66,208,14.93,2024
5300840,Nonnendammallee,7.03,5,7.52,2024
5300841,Siemensdamm,11.56,23,14.17,2024
5400942,Alt-Gatow,16.46,26,15.91,2024
5400943,Jägerallee,16.67,21,16.03,2024
5400944,Kladower Damm,17.14,4,20.48,2024
5400945,Kafkastraße,14.01,4,16.43,2024
6100101,Fichtenberg,14.85,17,15.44,2024
6100102,Schloßstraße,16.22,45,16.74,2024
6100103,Markelstraße,16.32,12,14.54,2024
6100204,Munsterdamm,15,11,15.3,2024
6100205,Südende,17,48,16.88,2024
6100206,Stadtpark,14.34,28,15.77,2024
6100207,Mittelstraße,15.5,37,16.2,2024
6100208,Bergstraße,14.5,14,15.86,2024
6100209,Feuerbachstraße,11.7,19,12.72,2024
6100210,Bismarckstraße,14.29,9,15.96,2024
6200311,Alt-Lankwitz,11.83,24,12.65,2024
6200312,Komponistenviertel Lankwitz,14.5,8,15.75,2024
6200313,Lankwitz Kirche,9.52,25,11.33,2024
6200314,Kaiser-Wilhelm-Straße,8.82,52,10.18,2024
6200315,Gallwitzallee,11.63,24,12.69,2024
6200316,Belßstraße,10.97,27,11.02,2024
6200317,Lankwitz Süd,10.9,21,12.13,2024
6200418,Landweg,keine Daten,keine Daten,keine Daten,2024
6200419,Thermometersiedlung,9.86,41,10.79,2024
6200420,Lichterfelde Süd,11.98,26,13.05,2024
6200421,Königsberger Straße,14.38,29,15.46,2024
6200422,Oberhofer Platz,12.41,21,13.65,2024
6200423,Schütte-Lanz-Straße,10.04,52,12.29,2024
6300524,Berlepschstraße,11.06,10,13.98,2024
6300525,Zehlendorf Süd,8.76,48,9.81,2024
6300526,Zehlendorf Mitte,12.79,20,14.04,2024
6300527,Sundgauer Straße,14.35,34,14.79,2024
6300528,Teltower Damm,13.6,26,16.04,2024
6300629,Botanischer Garten,14.95,19,15.99,2024
6300630,Hindenburgdamm,16,54,16.08,2024
6300631,Goerzwerke,15.15,21,16.44,2024
6300632,Schweizer Viertel,15,46,16.43,2024
6300633,Augustaplatz,13.87,41,15.15,2024
6300634,Lichterfelde West,14.73,27,14.11,2024
6400735,Wannsee,15.03,78,16.86,2024
6400736,Düppel,13.3,11,14.82,2024
6400737,Nikolassee,12.93,35,12.44,2024
6400838,Krumme Lanke,17.98,9,17.74,2024
6400839,Fischerhüttenstraße,18,32,16.52,2024
6400840,Fischtal,10.29,4,18.32,2024
6400841,Zehlendorf Eiche,14.2,17,17.41,2024
6400842,Hüttenweg,17.65,23,17.58,2024
6400843,Thielallee,13.53,11,15.47,2024
6400844,Dahlem,19.9,40,18.94,2024
7100101,Wittenbergplatz,21.03,61,20.46,2024
7100102,Kalckreuthstraße,22.9,46,21.08,2024
7100103,Frobenstraße,16.1,39,16.67,2024
7100204,Barbarossaplatz,17.99,36,18.22,2024
7100205,Alvenslebenstraße,11.24,24,15.37,2024
7100206,Großgörschenstraße,16.44,13,15.77,2024
7200307,Bayerischer Platz,13.81,31,16.44,2024
7200308,Volkspark (Rudolph-Wilde-Park),16.39,40,17.3,2024
7200409,Belziger Straße,21.01,55,19.79,2024
7200410,Feurigstraße,13.11,5,13.44,2024
7200411,Julius-Leber-Brücke,22.77,5,19.59,2024
7200412,Schöneberger Linse,22.2,58,22.73,2024
7200413,Cheruskerstraße,16.25,26,17.63,2024
7200414,Hohenfriedbergstraße,25,7,25.04,2024
7300515,Taunusstraße,14.78,20,15.69,2024
7300516,Odenwaldstraße,16.08,19,16.95,2024
7300517,Perelsplatz,23.64,151,23.02,2024
7300618,Ceciliengärten,16.7,19,17.79,2024
7300619,Grazer Platz,11.39,25,14.58,2024
7400720,Gontermannstraße,18.46,21,16.81,2024
7400721,Paradestraße,11.78,11,14.3,2024
7400822,Lindenhofsiedlung,19.43,23,19.01,2024
7400823,Wittekindstraße,9.66,37,10.28,2024
7400824,Bosepark,16.43,19,18.43,2024
7400825,Friedrich-Karl-Straße,15.04,35,15.05,2024
7400826,Marienhöhe,10.67,6,14.85,2024
7400927,Rathaus Tempelhof,12.38,33,13.96,2024
7400928,Germaniagarten,13.24,13,13.4,2024
7501029,Ringstraße,11.6,42,12.81,2024
7501030,Machonstraße,12.36,29,13.08,2024
7501031,Eisenacher Straße,12.61,35,13.78,2024
7501032,Imbrosweg,13.05,42,15.28,2024
7501133,Fritz-Werner-Straße,15.28,31,15.31,2024
7501134,Hundsteinweg,10.16,24,10.84,2024
7501135,Birnhornweg,21.88,5,20.16,2024
7601236,Marienfelder Allee Nordwest,10.16,73,13.22,2024
7601237,Kirchstraße,12.57,13,15.6,2024
7601238,Marienfelde Nordost,12.98,6,13.77,2024
7601339,Tirschenreuther Ring West,7.9,68,8.11,2024
7601340,Tirschenreuther Ring Ost,8.64,55,9.97,2024
7601341,Diedersdorfer Weg,10.6,19,11.06,2024
7601442,Kettinger Straße,12.05,47,12.06,2024
7601443,Töpchiner Weg,10.16,41,11.07,2024
7601544,John-Locke-Straße,9.04,34,10.22,2024
7601545,Nahariyastraße,8.08,96,8.61,2024
7601546,Franziusweg,13.78,13,13.86,2024
7601547,Horstwalder Straße,9.8,14,10.16,2024
7601548,Wittelsbacherstraße,9.8,6,10.11,2024
8100101,Hasenheide,21.18,25,21.76,2024
8100102,Schillerpromenade Nord,16.13,30,17.69,2024
8100103,Schillerpromenade Süd,16.02,30,16.94,2024
8100104,Wartheplatz,20.63,22,21.8,2024
8100105,Silbersteinstraße,16.8,48,17.45,2024
8100206,Flughafenstraße,16.2,37,17.65,2024
8100207,Rollberg,9.37,13,12.14,2024
8100208,Körnerpark,15.8,43,16.72,2024
8100209,Glasower Straße,18.58,65,19.02,2024
8100310,Maybachufer,17.34,23,17.78,2024
8100311,Reuterplatz,22.01,44,22.03,2024
8100312,Weichselplatz,16.48,56,16.61,2024
8100313,Bouchéstraße,keine Daten,keine Daten,keine Daten,2024
8100314,Donaustraße,16.18,31,15.58,2024
8100415,Ganghoferstraße,17.86,28,16.72,2024
8100416,Alt-Rixdorf,22.47,27,21.45,2024
8100417,Braunschweiger Straße,16.93,53,16.94,2024
8100418,Hertzbergplatz,17.98,34,17.85,2024
8100419,Treptower Straße Nord,21.21,19,19.88,2024
8100520,Weiße Siedlung,7.83,66,8.18,2024
8100521,Schulenburgpark,7.45,29,8.17,2024
8200622,Jahnstraße,17.3,43,16.94,2024
8200623,Park am Buschkrug,11.09,13,13.08,2024
8200624,Tempelhofer Weg,10.02,42,12.03,2024
8200725,Mohriner Allee Nord,keine Daten,keine Daten,keine Daten,2024
8200726,Hufeisensiedlung,10,26,13.09,2024
8200727,Parchimer Allee Süd,7.73,8,9.81,2024
8200728,Ortolanweg,keine Daten,keine Daten,keine Daten,2024
8200729,Britzer Garten,keine Daten,keine Daten,keine Daten,2024
8200730,Handwerker-Siedlung,9.08,3,9.05,2024
8200831,Buckow West,11.06,19,12.54,2024
8200832,Buckow Mitte,10.63,98,11.22,2024
8200833,Buckow Ost,14.9,40,14.25,2024
8300934,Gropiusstadt Nord-West,7.92,65,10.24,2024
8300935,Gropiusstadt Süd-West,12.5,11,12.83,2024
8301036,Gropiusstadt Mitte,8.93,31,9.94,2024
8301037,Gropiusstadt Süd-Ost,7.95,58,9.28,2024
8401138,Goldhähnchenweg,14.49,19,11.71,2024
8401139,Vogelviertel Süd,9.09,15,13.29,2024
8401140,Vogelviertel Nord,16.9,3,15.44,2024
8401241,Blumenviertel,14.82,11,15.9,2024
8401242,Zittauer Straße,12.92,8,12.81,2024
8401243,Alt-Rudow,11.91,44,12.57,2024
8401244,Waßmannsdorfer Chaussee,14.56,7,14.42,2024
8401245,Frauenviertel,10.53,12,10.95,2024
8401246,Waltersdorfer Chaussee Ost,7.43,18,8.11,2024
9100101,Alt-Treptow,17.38,65,18.53,2024
9100202,Plänterwald West,20.31,5,18.87,2024
9100203,Plänterwald Ost,11.4,24,14.26,2024
9100304,Baumschulenweg West,13.75,49,13.87,2024
9100305,Baumschulenweg Ost,15,17,17.53,2024
9100306,Späthsfelde,keine Daten,keine Daten,keine Daten,2024
9100407,Johannisthal West,17,68,15.11,2024
9100408,Johannisthal Ost,12.18,90,12.95,2024
9100409,Landschaftspark Adlershof,12.2,23,11.5,2024
9200510,Helmholtz-Kiez,14,68,16.28,2024
9200511,Griechischer Park,9.49,117,10.55,2024
9200512,Wuhlheide,10,48,12.72,2024
9200613,Bahnhof Schöneweide,17.38,141,17.36,2024
9200614,Oberspree,16.5,46,14.14,2024
9200715,Wista,15,63,15.73,2024
9200716,Dörpfeldstraße West,15.71,58,16.91,2024
9200717,Dörpfeldstraße Ost,13.11,74,14.18,2024
9200818,Spindlersfeld,19,156,17.9,2024
9200819,Köllnische Vorstadt,12.06,81,12.97,2024
9300920,Dorf Altglienicke,17.51,81,16.42,2024
9300921,Preußen Siedlung,16,13,15.75,2024
9300922,Kosmos Viertel,6.9,8,7.21,2024
9300923,Kölner Viertel,12.61,31,11.41,2024
9301024,Falkenberg,17.04,13,15.86,2024
9301025,Alt-Bohnsdorf,13.23,32,13.95,2024
9301126,Grünau,17.19,177,16.95,2024
9301227,Karolinenhof,14,9,14.26,2024
9301228,Schmöckwitz/Rauchfangswerder,16.84,15,16.28,2024
9401329,Kietzer Feld/Nachtheide,12.5,126,12.8,2024
9401330,Wendenschloß,16.23,23,16.64,2024
9401431,Allende I,10.56,50,11.65,2024
9401432,Siedlung Kämmereiheide,10.75,19,10.51,2024
9401433,Allende II,7.34,28,7.96,2024
9401534,Altstadt Köpenick,8.49,89,10.77,2024
9401635,Müggelheim,13.64,25,13.41,2024
9501736,Hirschgarten,8.76,26,11.4,2024
9501737,Alt-Friedrichshagen,10.38,95,12.52,2024
9501838,Rahnsdorf,12.73,152,12.92,2024
9501939,Bahnhofstraße,15.01,92,16.6,2024
9501940,Güterbahnhof Köpenick,13.47,34,13.68,2024
9501941,Friedrichshagener Straße,16.3,60,16.2,2024
9502042,Mittelheide,14.09,45,13.84,2024
9502043,Dammheide,10.33,48,11.85,2024
10100101,Marzahn West,6.29,41,6.7,2024
10100102,Rosenbecker Straße,12.5,38,11.35,2024
10100103,Wittenberger Straße,8.64,78,9,2024
10100104,Golliner Straße,6.77,31,7.14,2024
10100205,Gewerbegebiet Bitterfelder Straße,keine Daten,keine Daten,keine Daten,2024
10100206,Wuhletalstraße,13,72,12.96,2024
10100207,Ahrensfelder Berge,7.78,58,9.26,2024
10100208,Bürgerpark,8.26,110,9.98,2024
10100209,Lea-Grundig-Straße,9.94,35,10.41,2024
10100210,Marzahner Promenade,6.7,97,7.09,2024
10100311,Marzahner Chaussee,28.67,21,24.54,2024
10100312,Springpfuhl,7.02,55,8.46,2024
10100313,Alt-Marzahn,8.26,19,9.11,2024
10100314,Auersbergstraße,9.25,25,8.78,2024
10100315,Bärenstein,16.67,22,15.66,2024
10100316,Landsberger Tor,10.32,23,11,2024
10200417,Zossener Straße,6.92,3,8.4,2024
10200418,Kyritzer Straße,15.74,31,14.96,2024
10200419,Havelländer Ring,13.49,96,13.45,2024
10200420,Gut Hellersdorf,11.45,26,10.89,2024
10200421,Helle Mitte,11.79,47,11.8,2024
10200422,Hellersdorfer Promenade,10.48,44,10.28,2024
10200423,Böhlener Straße,12.7,6,15.84,2024
10200524,Adele-Sandrock-Straße,13.63,91,11.81,2024
10200525,Schleipfuhl,6.76,9,6.95,2024
10200526,Boulevard Kastanienallee,keine Daten,keine Daten,keine Daten,2024
10200627,Am Kienberg,6.85,6,9.64,2024
10200628,Neue Grottkauer Straße,6.42,8,6.76,2024
10200629,Teterower Ring,9.25,21,11.33,2024
10200630,Cecilienplatz,9,33,9.99,2024
10300731,Oberfeldstraße,14.14,16,14.61,2024
10300732,Buckower Ring,8.5,39,10.34,2024
10300733,Alt-Biesdorf,18.06,20,17.15,2024
10300734,Biesdorf Süd,16.5,27,16.17,2024
10400835,Kaulsdorf Nord,14,18,13.82,2024
10400836,Alt-Kaulsdorf,13.16,6,14.48,2024
10400837,Kaulsdorf Süd,14.51,29,16.03,2024
10400938,Mahlsdorf Nord,14.48,28,15.95,2024
10400939,Alt-Mahlsdorf,14.4,19,14.88,2024
10400940,Elsensee,14.35,12,16.73,2024
10400941,Pilgramer Straße,12.81,24,12.98,2024
11100101,Dörfer Malchow-Wartenberg,12.12,4,13.24,2024
11100102,Dorf Falkenberg,9,25,12.35,2024
11100203,Falkenberg Ost,6.58,39,7.45,2024
11100204,Falkenberg West,8.64,25,9.88,2024
11100205,Wartenberg Süd,7.68,56,10.05,2024
11100206,Wartenberg Nord,7.5,73,7.47,2024
11100307,Zingster Straße Ost,10.96,63,10.55,2024
11100308,Zingster Straße West,7.16,59,7.4,2024
11100309,Mühlengrund,14.3,12,12.9,2024
11200410,Malchower Weg,10.55,39,10.7,2024
11200411,Hauptstraße,13.41,25,12.19,2024
11200512,Orankesee,17.82,32,16.59,2024
11200513,Große-Leege-Straße,14.04,100,13.84,2024
11200514,Landsberger Allee,8.86,106,10.76,2024
11200515,Weiße Taube,16,134,16.64,2024
11300616,Hohenschönhausener Straße,8.19,25,10.23,2024
11300617,Fennpfuhlpark,7.43,14,9.41,2024
11300618,Storkower Bogen,8.76,11,11.96,2024
11300619,Rudolf-Seiffert-Park,12.97,7,12.69,2024
11300620,Fennpfuhl Ost,9.15,16,11.96,2024
11300721,Herzbergstraße,23.91,63,21.33,2024
11300722,Rathaus Lichtenberg,14.42,57,14.43,2024
11300723,Bornitzstraße,keine Daten,keine Daten,keine Daten,2024
11300724,Roedeliusplatz,9.06,21,11.12,2024
11300725,Nibelungenviertel,12.7,65,13.56,2024
11300826,Frankfurter Allee Süd,7.78,21,11.19,2024
11400927,Victoriastadt,19.23,14,18.59,2024
11400928,Nöldnerplatz,21.54,40,20.03,2024
11400929,Weitlingkiez,14.43,137,14.96,2024
11400930,Zachertstraße,12.93,30,13.87,2024
11400931,Massower Straße,16.25,39,16.44,2024
11401032,Rosenfelder Ring,17.08,140,19.6,2024
11401033,Gensinger Straße,13.57,38,12.55,2024
11401034,Tierpark,18.2,40,16.93,2024
11401135,Dolgenseestraße,9.55,87,11.79,2024
11401136,Volkradstraße,9.25,34,10.66,2024
11401137,Erieseering,7.16,27,7.21,2024
11501238,Rummelsburg,18,26,18.85,2024
11501339,Karlshorst West,14.75,55,14.86,2024
11501340,Karlshorst Nord,15.44,60,14.59,2024
11501341,Karlshorst Süd,19.27,321,19.02,2024
12100101,Letteplatz,11.66,87,12.53,2024
12100102,Hausotterplatz,11.34,43,13.01,2024
12100103,Breitkopfbecken,12.34,38,13.16,2024
12100204,Schäfersee,18.95,63,18.05,2024
12100205,Teichstraße,10.41,75,13.28,2024
12100206,Humboldtstraße,11.05,16,12.98,2024
12200307,Reinickes Hof,16.61,10,16.57,2024
12200308,Mellerbogen,11.18,19,15.34,2024
12200309,Scharnweberstraße,11.68,50,13.24,2024
12200310,Klixstraße,11.18,71,12.87,2024
12200411,Schumacher-Quartier,keine Daten,keine Daten,keine Daten,2024
12200412,Waldidyll/Flughafensee,13.5,40,15.53,2024
12200413,Tegel Süd,9.26,126,11.45,2024
12200414,TXL,17.42,4,17.31,2024
12200515,Alt-Tegel,17.51,122,18,2024
12400616,Konradshöhe/Tegelort,14.15,25,14.44,2024
12400617,Alt-Heiligensee,13.5,6,13.3,2024
12400618,Heiligensee Nord,15.08,11,14.66,2024
12400619,Heiligensee,15.93,9,15.06,2024
12400720,Frohnau West,12.67,23,13.91,2024
