Bodenrichtwert-Nummer,district_name,standard_land_value,typical_land_use_type,typical_floor_space_ratio,reference_date
1840,Friedrichshain-Kreuzberg,400,W - Wohngebiet,2.5,2012-01-01 00:00:00
1252,Reinickendorf,550,M2 - Mischgebiet,2,2012-01-01 00:00:00
1071,Friedrichshain-Kreuzberg,650,M2 - Mischgebiet,3,2012-01-01 00:00:00
1195,Tempelhof-Schöneberg,1300,M2 - Mischgebiet,3,2012-01-01 00:00:00
2279,Spandau,180,G - Gewerbe,-,2012-01-01 00:00:00
2313,Pankow,30,G - Gewerbe,-,2012-01-01 00:00:00
1346,Tempelhof-Schöneberg,550,M2 - Mischgebiet,1,2012-01-01 00:00:00
1166,Tempelhof-Schöneberg,900,M2 - Mischgebiet,3,2012-01-01 00:00:00
2174,Marzahn-Hellersdorf,160,W - Wohngebiet,1,2012-01-01 00:00:00
2321,Mitte,1800,M1 - Kerngebiet,4.5,2012-01-01 00:00:00
1331,Treptow-Köpenick,550,M2 - Mischgebiet,1.5,2012-01-01 00:00:00
1216,Charlottenburg-Wilmersdorf,3600,M1 - Kerngebiet,4.5,2012-01-01 00:00:00
1996,Reinickendorf,170,W - Wohngebiet,0.6,2012-01-01 00:00:00
1755,Marzahn-Hellersdorf,110,W - Wohngebiet,0.6,2012-01-01 00:00:00
1214,Charlottenburg-Wilmersdorf,1200,M2 - Mischgebiet,2.5,2012-01-01 00:00:00
2327,Neukölln,700,M2 - Mischgebiet,2.5,2012-01-01 00:00:00
1279,Spandau,190,W - Wohngebiet,0.6,2012-01-01 00:00:00
1028,Mitte,160,W - Wohngebiet,0.6,2012-01-01 00:00:00
2067,Neukölln,150,W - Wohngebiet,0.8,2012-01-01 00:00:00
2047,Reinickendorf,130,W - Wohngebiet,0.4,2012-01-01 00:00:00
1863,Reinickendorf,150,G - Gewerbe,-,2012-01-01 00:00:00
2318,Lichtenberg,200,G - Gewerbe,2,2012-01-01 00:00:00
1224,Treptow-Köpenick,90,G - Gewerbe,-,2012-01-01 00:00:00
1382,Spandau,130,W - Wohngebiet,0.3,2012-01-01 00:00:00
1403,Reinickendorf,1100,M1 - Kerngebiet,2,2012-01-01 00:00:00
2224,Friedrichshain-Kreuzberg,200,G - Gewerbe,2,2012-01-01 00:00:00
1750,Pankow,70,G - Gewerbe,-,2012-01-01 00:00:00
1981,Reinickendorf,190,W - Wohngebiet,0.4,2012-01-01 00:00:00
1217,Treptow-Köpenick,170,W - Wohngebiet,0.8,2012-01-01 00:00:00
1645,Pankow,120,W - Wohngebiet,0.4,2012-01-01 00:00:00
2086,Lichtenberg,360,W - Wohngebiet,2,2012-01-01 00:00:00
1999,Reinickendorf,170,W - Wohngebiet,0.4,2012-01-01 00:00:00
1649,Pankow,100,W - Wohngebiet,0.6,2012-01-01 00:00:00
2022,Reinickendorf,180,W - Wohngebiet,0.4,2012-01-01 00:00:00
2037,Reinickendorf,150,W - Wohngebiet,0.4,2012-01-01 00:00:00
2045,Reinickendorf,130,W - Wohngebiet,0.2,2012-01-01 00:00:00
1982,Reinickendorf,190,W - Wohngebiet,0.4,2012-01-01 00:00:00
2112,Reinickendorf,180,W - Wohngebiet,0.4,2012-01-01 00:00:00
1311,Spandau,160,W - Wohngebiet,0.3,2012-01-01 00:00:00
2303,Treptow-Köpenick,180,W - Wohngebiet,0.6,2012-01-01 00:00:00
2106,Steglitz-Zehlendorf,550,W - Wohngebiet,2,2012-01-01 00:00:00
1970,Reinickendorf,180,W - Wohngebiet,0.4,2012-01-01 00:00:00
1864,Reinickendorf,130,G - Gewerbe,-,2012-01-01 00:00:00
1985,Reinickendorf,200,W - Wohngebiet,0.4,2012-01-01 00:00:00
1181,Marzahn-Hellersdorf,140,W - Wohngebiet,0.8,2012-01-01 00:00:00
2042,Reinickendorf,140,W - Wohngebiet,0.2,2012-01-01 00:00:00
1444,Reinickendorf,230,W - Wohngebiet,1,2012-01-01 00:00:00
1987,Reinickendorf,200,W - Wohngebiet,0.4,2012-01-01 00:00:00
1399,Treptow-Köpenick,160,W - Wohngebiet,1,2012-01-01 00:00:00
1832,Mitte,340,W - Wohngebiet,2.5,2012-01-01 00:00:00
1828,Neukölln,340,W - Wohngebiet,2.5,2012-01-01 00:00:00
1898,Tempelhof-Schöneberg,190,W - Wohngebiet,0.4,2012-01-01 00:00:00
1465,Reinickendorf,250,W - Wohngebiet,1,2012-01-01 00:00:00
2113,Reinickendorf,180,W - Wohngebiet,0.4,2012-01-01 00:00:00
2111,Reinickendorf,210,W - Wohngebiet,0.3,2012-01-01 00:00:00
1705,Pankow,80,W - Wohngebiet,0.2,2012-01-01 00:00:00
1013,Pankow,30,G - Gewerbe,-,2012-01-01 00:00:00
1031,Pankow,40,G - Gewerbe,-,2012-01-01 00:00:00
2329,Pankow,1100,M1* - Einzelhandelszentrum,4,2012-01-01 00:00:00
2050,Reinickendorf,160,W - Wohngebiet,0.2,2012-01-01 00:00:00
1460,Spandau,130,W - Wohngebiet,0.4,2012-01-01 00:00:00
1669,Pankow,100,W - Wohngebiet,0.4,2012-01-01 00:00:00
1699,Pankow,80,W - Wohngebiet,0.4,2012-01-01 00:00:00
1967,Reinickendorf,270,W - Wohngebiet,0.3,2012-01-01 00:00:00
2000,Friedrichshain-Kreuzberg,200,G - Gewerbe,2,2012-01-01 00:00:00
1664,Pankow,100,W - Wohngebiet,0.4,2012-01-01 00:00:00
2221,Treptow-Köpenick,80,W - Wohngebiet,0.3,2012-01-01 00:00:00
2108,Pankow,100,W - Wohngebiet,0.4,2012-01-01 00:00:00
2210,Mitte,7300,M1 - Kerngebiet,4.5,2012-01-01 00:00:00
2322,Mitte,750,M2 - Mischgebiet,3,2012-01-01 00:00:00
2152,Reinickendorf,70,G - Gewerbe,-,2012-01-01 00:00:00
1693,Pankow,40,G - Gewerbe,-,2012-01-01 00:00:00
1159,Reinickendorf,50,G - Gewerbe,-,2012-01-01 00:00:00
1969,Reinickendorf,250,G - Gewerbe,1.5,2012-01-01 00:00:00
2020,Reinickendorf,170,W - Wohngebiet,0.4,2012-01-01 00:00:00
2179,Mitte,2000,W - Wohngebiet,2.5,2012-01-01 00:00:00
1763,Treptow-Köpenick,80,G - Gewerbe,-,2012-01-01 00:00:00
1309,Pankow,120,W - Wohngebiet,1,2012-01-01 00:00:00
1838,Steglitz-Zehlendorf,150,G - Gewerbe,-,2012-01-01 00:00:00
1977,Reinickendorf,180,W - Wohngebiet,0.6,2012-01-01 00:00:00
2017,Reinickendorf,170,W - Wohngebiet,0.4,2012-01-01 00:00:00
2055,Reinickendorf,150,G - Gewerbe,-,2012-01-01 00:00:00
2324,Mitte,500,M2 - Mischgebiet,2.5,2012-01-01 00:00:00
2031,Reinickendorf,150,W - Wohngebiet,0.2,2012-01-01 00:00:00
2283,Treptow-Köpenick,150,G - Gewerbe,2.4,2012-01-01 00:00:00
1504,Reinickendorf,360,W - Wohngebiet,1,2012-01-01 00:00:00
1430,Reinickendorf,70,G - Gewerbe,-,2012-01-01 00:00:00
2285,Treptow-Köpenick,60,G - Gewerbe,-,2012-01-01 00:00:00
1080,Spandau,30,G - Gewerbe,-,2012-01-01 00:00:00
2006,Reinickendorf,170,W - Wohngebiet,0.4,2012-01-01 00:00:00
2333,Spandau,230,W - Wohngebiet,2,2012-01-01 00:00:00
1990,Reinickendorf,180,W - Wohngebiet,0.4,2012-01-01 00:00:00
1110,Mitte,150,W - Wohngebiet,1,2012-01-01 00:00:00
2010,Reinickendorf,170,W - Wohngebiet,0.2,2012-01-01 00:00:00
1710,Pankow,80,W - Wohngebiet,0.2,2012-01-01 00:00:00
1432,Reinickendorf,230,W - Wohngebiet,1,2012-01-01 00:00:00
2107,Mitte,280,W - Wohngebiet,2,2012-01-01 00:00:00
1852,Friedrichshain-Kreuzberg,460,W - Wohngebiet,2.5,2012-01-01 00:00:00
2335,Spandau,230,W - Wohngebiet,2,2012-01-01 00:00:00
1696,Pankow,40,G - Gewerbe,-,2012-01-01 00:00:00
1210,Reinickendorf,200,W - Wohngebiet,1,2012-01-01 00:00:00
1835,Reinickendorf,100,G - Gewerbe,-,2012-01-01 00:00:00
1326,Reinickendorf,70,G - Gewerbe,-,2012-01-01 00:00:00
1448,Reinickendorf,230,W - Wohngebiet,1,2012-01-01 00:00:00
1320,Mitte,7300,M1 - Kerngebiet,4.5,2012-01-01 00:00:00
1756,Mitte,260,W - Wohngebiet,2,2012-01-01 00:00:00
1256,Mitte,5200,M1 - Kerngebiet,4.5,2012-01-01 00:00:00
1866,Tempelhof-Schöneberg,460,W - Wohngebiet,2.5,2012-01-01 00:00:00
1992,Reinickendorf,170,W - Wohngebiet,0.6,2012-01-01 00:00:00
1599,Pankow,140,W - Wohngebiet,0.6,2012-01-01 00:00:00
1586,Pankow,260,W - Wohngebiet,0.4,2012-01-01 00:00:00
2029,Reinickendorf,160,W - Wohngebiet,0.4,2012-01-01 00:00:00
1441,Reinickendorf,230,W - Wohngebiet,1,2012-01-01 00:00:00
2215,Spandau,130,W - Wohngebiet,0.4,2012-01-01 00:00:00
2027,Reinickendorf,160,W - Wohngebiet,0.4,2012-01-01 00:00:00
2026,Reinickendorf,160,W - Wohngebiet,0.4,2012-01-01 00:00:00
1024,Pankow,950,M2 - Mischgebiet,3,2012-01-01 00:00:00
1168,Pankow,60,G - Gewerbe,-,2012-01-01 00:00:00
1973,Reinickendorf,180,W - Wohngebiet,0.4,2012-01-01 00:00:00
2163,Steglitz-Zehlendorf,80,G - Gewerbe,-,2012-01-01 00:00:00
2052,Reinickendorf,100,W - Wohngebiet,0.1,2012-01-01 00:00:00
1237,Lichtenberg,340,M2 - Mischgebiet,2,2012-01-01 00:00:00
1337,Steglitz-Zehlendorf,210,M2 - Mischgebiet,1,2012-01-01 00:00:00
1014,Neukölln,150,W - Wohngebiet,0.8,2012-01-01 00:00:00
1697,Pankow,80,W - Wohngebiet,0.2,2012-01-01 00:00:00
1717,Pankow,80,W - Wohngebiet,0.2,2012-01-01 00:00:00
1997,Reinickendorf,170,W - Wohngebiet,0.4,2012-01-01 00:00:00
1492,Lichtenberg,100,W - Wohngebiet,0.4,2012-01-01 00:00:00
1531,Marzahn-Hellersdorf,70,G - Gewerbe,-,2012-01-01 00:00:00
1668,Lichtenberg,250,W - Wohngebiet,1.5,2012-01-01 00:00:00
1380,Lichtenberg,120,W - Wohngebiet,1,2012-01-01 00:00:00
1426,Lichtenberg,140,W - Wohngebiet,1,2012-01-01 00:00:00
1797,Lichtenberg,60,G - Gewerbe,-,2012-01-01 00:00:00
2336,Treptow-Köpenick,200,W - Wohngebiet,1.5,2012-01-01 00:00:00
2005,Mitte,350,G - Gewerbe,2,2012-01-01 00:00:00
1035,Lichtenberg,200,W - Wohngebiet,1.3,2012-01-01 00:00:00
2097,Lichtenberg,1500,M1* - Einzelhandelszentrum,4,2012-01-01 00:00:00
2288,Lichtenberg,200,W - Wohngebiet,1.5,2012-01-01 00:00:00
1860,Reinickendorf,140,G - Gewerbe,1.2,2012-01-01 00:00:00
1660,Spandau,220,W - Wohngebiet,1.3,2012-01-01 00:00:00
1269,Spandau,190,W - Wohngebiet,0.6,2012-01-01 00:00:00
1776,Friedrichshain-Kreuzberg,440,W - Wohngebiet,2,2012-01-01 00:00:00
2232,Spandau,190,W - Wohngebiet,0.6,2012-01-01 00:00:00
2241,Pankow,900,M2 - Mischgebiet,2.5,2012-01-01 00:00:00
1516,Lichtenberg,210,W - Wohngebiet,1,2012-01-01 00:00:00
1619,Lichtenberg,180,W - Wohngebiet,1.5,2012-01-01 00:00:00
1447,Lichtenberg,170,W - Wohngebiet,1,2012-01-01 00:00:00
1947,Lichtenberg,120,G - Gewerbe,-,2012-01-01 00:00:00
1722,Pankow,230,W - Wohngebiet,0.6,2012-01-01 00:00:00
1560,Pankow,180,W - Wohngebiet,1.2,2012-01-01 00:00:00
2142,Friedrichshain-Kreuzberg,420,W - Wohngebiet,2.5,2012-01-01 00:00:00
1979,Pankow,170,G - Gewerbe,2,2012-01-01 00:00:00
1587,Pankow,220,W - Wohngebiet,1.2,2012-01-01 00:00:00
1550,Spandau,100,W - Wohngebiet,0.2,2012-01-01 00:00:00
1688,Pankow,270,W - Wohngebiet,1.5,2012-01-01 00:00:00
2094,Friedrichshain-Kreuzberg,330,G - Gewerbe,-,2012-01-01 00:00:00
2184,Friedrichshain-Kreuzberg,420,W - Wohngebiet,2.5,2012-01-01 00:00:00
1022,Friedrichshain-Kreuzberg,1200,M1 - Kerngebiet,4.5,2012-01-01 00:00:00
2092,Marzahn-Hellersdorf,50,G - Gewerbe,-,2012-01-01 00:00:00
1610,Spandau,200,W - Wohngebiet,1.2,2012-01-01 00:00:00
2149,Marzahn-Hellersdorf,70,G - Gewerbe,-,2012-01-01 00:00:00
1779,Marzahn-Hellersdorf,100,W - Wohngebiet,0.4,2012-01-01 00:00:00
2190,Mitte,900,W - Wohngebiet,2.5,2012-01-01 00:00:00
1650,Mitte,800,W - Wohngebiet,1.2,2012-01-01 00:00:00
1589,Pankow,280,W - Wohngebiet,0.4,2012-01-01 00:00:00
1692,Pankow,290,W - Wohngebiet,1.5,2012-01-01 00:00:00
2246,Spandau,60,GB - Gemeinbedarf,-,2012-01-01 00:00:00
1814,Marzahn-Hellersdorf,110,W - Wohngebiet,0.3,2012-01-01 00:00:00
2061,Spandau,360,W - Wohngebiet,2.7,2012-01-01 00:00:00
1907,Friedrichshain-Kreuzberg,190,G - Gewerbe,-,2012-01-01 00:00:00
2175,Marzahn-Hellersdorf,130,W - Wohngebiet,0.6,2012-01-01 00:00:00
1470,Spandau,130,W - Wohngebiet,0.4,2012-01-01 00:00:00
1505,Pankow,190,W - Wohngebiet,1,2012-01-01 00:00:00
2240,Lichtenberg,140,W - Wohngebiet,1,2012-01-01 00:00:00
1103,Mitte,2300,M1 - Kerngebiet,4.5,2012-01-01 00:00:00
1501,Lichtenberg,180,W - Wohngebiet,1,2012-01-01 00:00:00
1680,Lichtenberg,60,G - Gewerbe,-,2012-01-01 00:00:00
1563,Spandau,100,W - Wohngebiet,0.2,2012-01-01 00:00:00
2004,Reinickendorf,280,G - Gewerbe,2,2012-01-01 00:00:00
2028,Lichtenberg,300,G - Gewerbe,4,2012-01-01 00:00:00
1179,Friedrichshain-Kreuzberg,90,G - Gewerbe,-,2012-01-01 00:00:00
1268,Lichtenberg,170,W - Wohngebiet,1.3,2012-01-01 00:00:00
1541,Pankow,230,W - Wohngebiet,1,2012-01-01 00:00:00
1988,Mitte,200,G - Gewerbe,2,2012-01-01 00:00:00
1847,Spandau,140,G - Gewerbe,-,2012-01-01 00:00:00
1545,Spandau,110,W - Wohngebiet,0.4,2012-01-01 00:00:00
2007,Charlottenburg-Wilmersdorf,200,G - Gewerbe,2.5,2012-01-01 00:00:00
1800,Marzahn-Hellersdorf,85,W - Wohngebiet,0.2,2012-01-01 00:00:00
1742,Marzahn-Hellersdorf,100,W - Wohngebiet,0.4,2012-01-01 00:00:00
1933,Reinickendorf,170,G - Gewerbe,-,2012-01-01 00:00:00
2019,Reinickendorf,300,G - Gewerbe,2.5,2012-01-01 00:00:00
1935,Reinickendorf,170,G - Gewerbe,-,2012-01-01 00:00:00
2141,Reinickendorf,1500,M1* - Einzelhandelszentrum,4,2012-01-01 00:00:00
1473,Reinickendorf,250,W - Wohngebiet,1,2012-01-01 00:00:00
2219,Tempelhof-Schöneberg,200,W - Wohngebiet,0.4,2012-01-01 00:00:00
1464,Reinickendorf,250,W - Wohngebiet,1,2012-01-01 00:00:00
2015,Reinickendorf,170,W - Wohngebiet,0.4,2012-01-01 00:00:00
2194,Lichtenberg,90,G - Gewerbe,-,2012-01-01 00:00:00
2200,Marzahn-Hellersdorf,150,W - Wohngebiet,1,2012-01-01 00:00:00
1105,Friedrichshain-Kreuzberg,850,M2 - Mischgebiet,3,2012-01-01 00:00:00
2098,Pankow,1500,M1* - Einzelhandelszentrum,4,2012-01-01 00:00:00
2230,Charlottenburg-Wilmersdorf,90,G - Gewerbe,-,2012-01-01 00:00:00
2239,Friedrichshain-Kreuzberg,280,W - Wohngebiet,1.2,2012-01-01 00:00:00
2236,Mitte,1300,W - Wohngebiet,0.8,2012-01-01 00:00:00
2237,Treptow-Köpenick,160,W - Wohngebiet,1,2012-01-01 00:00:00
2307,Pankow,400,W - Wohngebiet,2,2012-01-01 00:00:00
2308,Pankow,500,W - Wohngebiet,2.5,2012-01-01 00:00:00
2317,Lichtenberg,200,W - Wohngebiet,1.5,2012-01-01 00:00:00
1637,Mitte,90,G - Gewerbe,-,2012-01-01 00:00:00
1557,Pankow,110,W - Wohngebiet,0.3,2012-01-01 00:00:00
2281,Treptow-Köpenick,60,G - Gewerbe,-,2012-01-01 00:00:00
1801,Marzahn-Hellersdorf,120,W - Wohngebiet,0.4,2012-01-01 00:00:00
1554,Marzahn-Hellersdorf,150,W - Wohngebiet,1.2,2012-01-01 00:00:00
1781,Marzahn-Hellersdorf,100,W - Wohngebiet,0.2,2012-01-01 00:00:00
1527,Pankow,110,W - Wohngebiet,0.4,2012-01-01 00:00:00
1733,Marzahn-Hellersdorf,100,W - Wohngebiet,0.4,2012-01-01 00:00:00
1789,Marzahn-Hellersdorf,100,W - Wohngebiet,0.2,2012-01-01 00:00:00
1535,Marzahn-Hellersdorf,40,G - Gewerbe,-,2012-01-01 00:00:00
1597,Spandau,150,W - Wohngebiet,1.2,2012-01-01 00:00:00
1281,Spandau,210,W - Wohngebiet,1,2012-01-01 00:00:00
1466,Spandau,130,W - Wohngebiet,0.4,2012-01-01 00:00:00
1160,Spandau,200,W - Wohngebiet,1,2012-01-01 00:00:00
1518,Spandau,130,W - Wohngebiet,0.2,2012-01-01 00:00:00
1244,Pankow,190,W - Wohngebiet,0.8,2012-01-01 00:00:00
1719,Spandau,230,W - Wohngebiet,2,2012-01-01 00:00:00
1450,Spandau,130,W - Wohngebiet,0.4,2012-01-01 00:00:00
1300,Pankow,60,G - Gewerbe,-,2012-01-01 00:00:00
1512,Spandau,130,W - Wohngebiet,0.3,2012-01-01 00:00:00
1744,Pankow,70,G - Gewerbe,-,2012-01-01 00:00:00
1682,Pankow,110,W - Wohngebiet,0.4,2012-01-01 00:00:00
1690,Pankow,110,W - Wohngebiet,0.4,2012-01-01 00:00:00
1748,Pankow,70,G - Gewerbe,-,2012-01-01 00:00:00
1618,Pankow,150,W - Wohngebiet,0.4,2012-01-01 00:00:00
1611,Pankow,140,W - Wohngebiet,0.4,2012-01-01 00:00:00
1651,Pankow,110,W - Wohngebiet,0.4,2012-01-01 00:00:00
1736,Pankow,60,G - Gewerbe,-,2012-01-01 00:00:00
1639,Pankow,110,W - Wohngebiet,0.4,2012-01-01 00:00:00
1595,Pankow,190,W - Wohngebiet,0.4,2012-01-01 00:00:00
1431,Spandau,130,W - Wohngebiet,0.4,2012-01-01 00:00:00
1577,Pankow,75,W - Wohngebiet,0.2,2012-01-01 00:00:00
2314,Charlottenburg-Wilmersdorf,570,W - Wohngebiet,0.5,2012-01-01 00:00:00
2331,Spandau,170,W - Wohngebiet,0.6,2012-01-01 00:00:00
1128,Mitte,4000,M1 - Kerngebiet,4.5,2012-01-01 00:00:00
2134,Pankow,120,W - Wohngebiet,1,2012-01-01 00:00:00
2083,Pankow,110,W - Wohngebiet,0.6,2012-01-01 00:00:00
1548,Pankow,100,W - Wohngebiet,0.3,2012-01-01 00:00:00
1339,Spandau,210,W - Wohngebiet,1,2012-01-01 00:00:00
1371,Spandau,1500,M1* - Einzelhandelszentrum,4,2012-01-01 00:00:00
1025,Lichtenberg,130,G - Gewerbe,-,2012-01-01 00:00:00
2235,Mitte,950,W - Wohngebiet,2.5,2012-01-01 00:00:00
1449,Charlottenburg-Wilmersdorf,80,G - Gewerbe,-,2012-01-01 00:00:00
2116,Treptow-Köpenick,80,G - Gewerbe,-,2012-01-01 00:00:00
1502,Spandau,130,W - Wohngebiet,0.2,2012-01-01 00:00:00
2167,Spandau,200,W - Wohngebiet,1,2012-01-01 00:00:00
1695,Pankow,290,W - Wohngebiet,1.5,2012-01-01 00:00:00
1312,Spandau,200,W - Wohngebiet,1,2012-01-01 00:00:00
1407,Pankow,160,W - Wohngebiet,1,2012-01-01 00:00:00
1937,Reinickendorf,160,G - Gewerbe,1.2,2012-01-01 00:00:00
1941,Pankow,140,G - Gewerbe,1.5,2012-01-01 00:00:00
1576,Spandau,100,W - Wohngebiet,0.2,2012-01-01 00:00:00
1580,Pankow,80,W - Wohngebiet,0.3,2012-01-01 00:00:00
1575,Pankow,230,W - Wohngebiet,1.2,2012-01-01 00:00:00
1251,Marzahn-Hellersdorf,350,M2 - Mischgebiet,2,2012-01-01 00:00:00
2147,Lichtenberg,60,G - Gewerbe,-,2012-01-01 00:00:00
1635,Spandau,250,W - Wohngebiet,1.2,2012-01-01 00:00:00
1379,Spandau,50,G - Gewerbe,-,2012-01-01 00:00:00
1429,Lichtenberg,190,W - Wohngebiet,0.4,2012-01-01 00:00:00
1555,Spandau,100,W - Wohngebiet,0.2,2012-01-01 00:00:00
1558,Treptow-Köpenick,140,W - Wohngebiet,1.2,2012-01-01 00:00:00
1002,Spandau,170,W - Wohngebiet,0.7,2012-01-01 00:00:00
1037,Treptow-Köpenick,30,G - Gewerbe,-,2012-01-01 00:00:00
2198,Pankow,170,G - Gewerbe,-,2012-01-01 00:00:00
1322,Marzahn-Hellersdorf,120,W - Wohngebiet,1,2012-01-01 00:00:00
2234,Mitte,4000,M1 - Kerngebiet,4.5,2012-01-01 00:00:00
2178,Marzahn-Hellersdorf,150,G - Gewerbe,-,2012-01-01 00:00:00
1427,Spandau,130,W - Wohngebiet,0.4,2012-01-01 00:00:00
1513,Lichtenberg,85,W - Wohngebiet,0.4,2012-01-01 00:00:00
1971,Spandau,200,G - Gewerbe,1.5,2012-01-01 00:00:00
1394,Spandau,130,W - Wohngebiet,0.4,2012-01-01 00:00:00
1437,Reinickendorf,230,W - Wohngebiet,1,2012-01-01 00:00:00
1270,Spandau,210,W - Wohngebiet,1,2012-01-01 00:00:00
2060,Spandau,260,W - Wohngebiet,1.5,2012-01-01 00:00:00
2054,Reinickendorf,90,W - Wohngebiet,0.2,2012-01-01 00:00:00
1453,Spandau,130,W - Wohngebiet,0.4,2012-01-01 00:00:00
2051,Reinickendorf,120,W - Wohngebiet,0.2,2012-01-01 00:00:00
1266,Spandau,210,W - Wohngebiet,1,2012-01-01 00:00:00
1239,Spandau,300,W - Wohngebiet,0.6,2012-01-01 00:00:00
1471,Pankow,190,W - Wohngebiet,1,2012-01-01 00:00:00
2062,Spandau,550,M2 - Mischgebiet,3.5,2012-01-01 00:00:00
1377,Spandau,60,G - Gewerbe,-,2012-01-01 00:00:00
1076,Spandau,190,W - Wohngebiet,0.9,2012-01-01 00:00:00
1362,Reinickendorf,70,G - Gewerbe,-,2012-01-01 00:00:00
1041,Treptow-Köpenick,100,W - Wohngebiet,0.6,2012-01-01 00:00:00
1442,Spandau,130,W - Wohngebiet,0.4,2012-01-01 00:00:00
1435,Spandau,140,W - Wohngebiet,0.4,2012-01-01 00:00:00
1485,Spandau,130,W - Wohngebiet,0.3,2012-01-01 00:00:00
1536,Pankow,210,W - Wohngebiet,1,2012-01-01 00:00:00
1665,Spandau,200,W - Wohngebiet,1.3,2012-01-01 00:00:00
1298,Spandau,200,W - Wohngebiet,1,2012-01-01 00:00:00
1902,Spandau,150,G - Gewerbe,-,2012-01-01 00:00:00
1526,Spandau,100,W - Wohngebiet,0.2,2012-01-01 00:00:00
1419,Reinickendorf,70,G - Gewerbe,-,2012-01-01 00:00:00
1284,Spandau,200,W - Wohngebiet,1,2012-01-01 00:00:00
1494,Spandau,140,W - Wohngebiet,0.3,2012-01-01 00:00:00
1773,Reinickendorf,330,W - Wohngebiet,2,2012-01-01 00:00:00
1424,Reinickendorf,80,G - Gewerbe,-,2012-01-01 00:00:00
2018,Reinickendorf,300,G - Gewerbe,2,2012-01-01 00:00:00
2003,Reinickendorf,180,W - Wohngebiet,0.4,2012-01-01 00:00:00
2035,Reinickendorf,150,W - Wohngebiet,0.4,2012-01-01 00:00:00
2033,Reinickendorf,150,W - Wohngebiet,0.4,2012-01-01 00:00:00
1428,Reinickendorf,210,W - Wohngebiet,1,2012-01-01 00:00:00
2043,Reinickendorf,140,W - Wohngebiet,0.6,2012-01-01 00:00:00
1034,Mitte,130,W - Wohngebiet,0.4,2012-01-01 00:00:00
1700,Reinickendorf,70,G - Gewerbe,-,2012-01-01 00:00:00
1116,Reinickendorf,150,W - Wohngebiet,1,2012-01-01 00:00:00
2023,Reinickendorf,170,W - Wohngebiet,0.6,2012-01-01 00:00:00
2143,Reinickendorf,1500,M1* - Einzelhandelszentrum,4,2012-01-01 00:00:00
1018,Mitte,180,W - Wohngebiet,0.4,2012-01-01 00:00:00
1606,Spandau,210,W - Wohngebiet,1.2,2012-01-01 00:00:00
1345,Spandau,170,W - Wohngebiet,0.6,2012-01-01 00:00:00
1325,Spandau,210,W - Wohngebiet,1,2012-01-01 00:00:00
1352,Spandau,170,W - Wohngebiet,0.6,2012-01-01 00:00:00
2053,Reinickendorf,100,W - Wohngebiet,0.1,2012-01-01 00:00:00
2001,Reinickendorf,170,W - Wohngebiet,0.4,2012-01-01 00:00:00
1704,Reinickendorf,70,G - Gewerbe,-,2012-01-01 00:00:00
1918,Charlottenburg-Wilmersdorf,220,G - Gewerbe,1.2,2012-01-01 00:00:00
1579,Pankow,370,W - Wohngebiet,2,2012-01-01 00:00:00
2278,Mitte,200,W - Wohngebiet,1,2012-01-01 00:00:00
1089,Mitte,150,W - Wohngebiet,1,2012-01-01 00:00:00
1961,Charlottenburg-Wilmersdorf,220,G - Gewerbe,1.5,2012-01-01 00:00:00
2024,Charlottenburg-Wilmersdorf,220,G - Gewerbe,2,2012-01-01 00:00:00
1959,Reinickendorf,160,G - Gewerbe,1.2,2012-01-01 00:00:00
1495,Pankow,190,W - Wohngebiet,1,2012-01-01 00:00:00
1439,Reinickendorf,70,G - Gewerbe,-,2012-01-01 00:00:00
1523,Pankow,200,W - Wohngebiet,1,2012-01-01 00:00:00
1302,Spandau,200,W - Wohngebiet,1,2012-01-01 00:00:00
2247,Spandau,80,GB - Gemeinbedarf,-,2012-01-01 00:00:00
2226,Spandau,120,G - Gewerbe,1.6,2012-01-01 00:00:00
1075,Charlottenburg-Wilmersdorf,500,W - Wohngebiet,0.4,2012-01-01 00:00:00
2228,Spandau,100,G - Gewerbe,1.5,2012-01-01 00:00:00
2229,Spandau,60,Gp - Gewerbe produzierend,-,2012-01-01 00:00:00
1500,Charlottenburg-Wilmersdorf,90,G - Gewerbe,-,2012-01-01 00:00:00
1837,Spandau,370,W - Wohngebiet,2.5,2012-01-01 00:00:00
1862,Charlottenburg-Wilmersdorf,450,W - Wohngebiet,2.5,2012-01-01 00:00:00
1846,Mitte,380,W - Wohngebiet,2.5,2012-01-01 00:00:00
1578,Charlottenburg-Wilmersdorf,570,W - Wohngebiet,1,2012-01-01 00:00:00
2334,Spandau,230,W - Wohngebiet,2,2012-01-01 00:00:00
1083,Charlottenburg-Wilmersdorf,500,W - Wohngebiet,0.4,2012-01-01 00:00:00
2277,Mitte,300,G - Gewerbe,2.5,2012-01-01 00:00:00
1856,Mitte,500,W - Wohngebiet,2.5,2012-01-01 00:00:00
1091,Charlottenburg-Wilmersdorf,500,W - Wohngebiet,0.4,2012-01-01 00:00:00
1766,Spandau,70,G - Gewerbe,-,2012-01-01 00:00:00
1109,Charlottenburg-Wilmersdorf,500,W - Wohngebiet,0.6,2012-01-01 00:00:00
1124,Charlottenburg-Wilmersdorf,300,W - Wohngebiet,0.4,2012-01-01 00:00:00
1062,Charlottenburg-Wilmersdorf,530,W - Wohngebiet,0.4,2012-01-01 00:00:00
