original_id,name,address,postal_code,district,latitude,longitude,operator,capacity,source,created_at,updated_at
1997,Kita Spatzentrio,"Stechlinstraße 26, 10318 Berlin",10318.0,Karlshorst,Unknown,Unknown,Kindergärten NordOst,38.0,openstreetmap,2025-08-18 07:49:16,2025-08-18 07:49:16
1998,Kita Spatzentrio,"Wildensteiner Straße 3, 10318 Berlin",10318.0,Karlshorst,Unknown,Unknown,Kindergärten NordOst,45.0,openstreetmap,2025-08-18 07:49:16,2025-08-18 07:49:16
1999,Kindertagesstätte Heilig Geist,"Preußenallee 25, 14052 Berlin",14052.0,Westend,Unknown,Unknown,Katholische Kirchengemeinde Heilig Geist,54.0,openstreetmap,2025-08-18 07:49:16,2025-08-18 07:49:16
2000,Kindertagesstätte Buntstift,Unknown,Unknown,Nan,Unknown,Unknown,Unknown,Unknown,openstreetmap,2025-08-18 07:49:16,2025-08-18 07:49:16
2001,Kita Agarta,"Ernst-Grube-Straße 30, 12555 Berlin",12555.0,Spindlersfeld,Unknown,Unknown,AS Kids & Pets Service UG,160.0,openstreetmap,2025-08-18 07:49:16,2025-08-18 07:49:16
2002,Kita Firlefanz,"Drontheimer Straße 23A, 13359 Berlin",13359.0,Gesundbrunnen,Unknown,Unknown,Kinder in Bewegung gGmbH,130.0,openstreetmap,2025-08-18 07:49:16,2025-08-18 07:49:16
2003,Kita Hohenzollernstraße,"Hohenzollernstraße 9, 14163 Berlin",14163.0,Zehlendorf,Unknown,Unknown,ASB Kinder- u. Jugendhilfe gGmbH,90.0,openstreetmap,2025-08-18 07:49:16,2025-08-18 07:49:16
2004,Kinderladen Villa Römer,Unknown,Unknown,Nan,Unknown,Unknown,Villa Römer e.V.,Unknown,openstreetmap,2025-08-18 07:49:16,2025-08-18 07:49:16
2005,Kita Wunderwelt,"Peter-Huchel-Straße 43, 12619 Berlin",12619.0,Hellersdorf,Unknown,Unknown,Jugendwerk Aufbau Ost JAO gGmbH,Unknown,openstreetmap,2025-08-18 07:49:16,2025-08-18 07:49:16
2006,Kita Fregestraße,"Fregestraße 21-22, 12159 Berlin",12159.0,Nan,Unknown,Unknown,Orte für Kinder GmbH,Unknown,openstreetmap,2025-08-18 07:49:16,2025-08-18 07:49:16
2007,Kita Märchenland,"Carola-Neher-Straße 13, 12619 Berlin",12619.0,Hellersdorf,Unknown,Unknown,Spatzennest Sprachlicher Förderverein e.V.,Unknown,openstreetmap,2025-08-18 07:49:16,2025-08-18 07:49:16
2008,Kindergarten Tausendfüßer,Unknown,Unknown,Nan,Unknown,Unknown,Unknown,Unknown,openstreetmap,2025-08-18 07:49:16,2025-08-18 07:49:16
2009,Kindergarten Kochstraße,"Kochstraße 8, 10969 Berlin",10969.0,Nan,Unknown,Unknown,Kindergärten City,Unknown,openstreetmap,2025-08-18 07:49:16,2025-08-18 07:49:16
2010,Kita NEO,Unknown,Unknown,Nan,Unknown,Unknown,Unknown,Unknown,openstreetmap,2025-08-18 07:49:16,2025-08-18 07:49:16
2011,Kita Siegburger Straße,"Siegburger Straße 1, 14197 Berlin",14197.0,Wilmersdorf,Unknown,Unknown,Kindertagesstätten Nordwest,Unknown,openstreetmap,2025-08-18 07:49:16,2025-08-18 07:49:16
2012,Kath. Kita Bruder Klaus,"Bruno-Taut-Ring 9g, 12359 Berlin",12359.0,Britz,Unknown,Unknown,Katholische Pfarrgemeinde Bruder Klaus,Unknown,openstreetmap,2025-08-18 07:49:16,2025-08-18 07:49:16
2013,Kath. Kita Heiliger Schutzengel,"Alt-Britz 41D, 12359 Berlin",12359.0,Britz,Unknown,Unknown,Katholische Pfarrgemeinde Bruder Klaus,Unknown,openstreetmap,2025-08-18 07:49:16,2025-08-18 07:49:16
2014,Montessori-Kinderhaus Friedenau,Unknown,Unknown,Nan,Unknown,Unknown,Montessori & Friends Education gGmbH,Unknown,openstreetmap,2025-08-18 07:49:16,2025-08-18 07:49:16
2015,Evangelische Kita Auferstehung,"Diestelmeyerstraße 7, 10249 Berlin",10249.0,Nan,Unknown,Unknown,Evangelischer Kirchenkreisverband für Kindertageseinrichtungen Berlin Mitte-Nord,Unknown,openstreetmap,2025-08-18 07:49:16,2025-08-18 07:49:16
2016,Stadtteil-Kita High-Deck,"Michael-Bohnen-Ring 18, 12057 Berlin",12057.0,Neukölln,Unknown,Unknown,Juwo-Kita gGmbH,120.0,openstreetmap,2025-08-18 07:49:16,2025-08-18 07:49:16
2017,Kita Drachen Kids,"Cottbusser Platz 12, 12627 Berlin",12627.0,Hellersdorf,Unknown,Unknown,Unknown,Unknown,openstreetmap,2025-08-18 07:49:16,2025-08-18 07:49:16
2018,Waldorf-Kindergarten Mansfelder Straße e.V.,"Mansfelder Straße 37, 10709 Berlin",10709.0,Wilmersdorf,Unknown,Unknown,Unknown,Unknown,openstreetmap,2025-08-18 07:49:16,2025-08-18 07:49:16
2019,Freche Früchtchen,"Matenzeile 2-4, 13053 Berlin",13053.0,Nan,Unknown,Unknown,Kindergärten NordOst,Unknown,openstreetmap,2025-08-18 07:49:16,2025-08-18 07:49:16
