area_id,area_name,Straftaten -insgesamt-,Raub,"Straßenraub, Handtaschen-raub",Körper-verletzungen -insgesamt-,Gefährl. und schwere Körper-verletzung,"Freiheits-beraubung, Nötigung, Bedrohung, Nachstellung",Diebstahl -insgesamt-,Diebstahl von Kraftwagen,Diebstahl an/aus Kfz,Fahrrad- diebstahl,Wohnraum- einbruch,Branddelikte -insgesamt-,Brand- stiftung,Sach-beschädigung -insgesamt-,Sach-beschädigung durch Graffiti,Rauschgift-delikte,Kieztaten,year,data_type
45011,Volkspark Wilmersdorf,11007.289862660598,110.75758185992186,74.50964597849288,833.7025252728664,203.39119577912925,545.7328124370696,5543.920415642998,185.26722783841475,1101.5344959523138,934.3912360546135,298.03858391397154,50.344355390873574,18.123967940714486,942.4463329171533,140.964195094446,163.11571146643038,2921.986386886302,2024,frequency
49900,"Bezirk (Ch-Wi), nicht zuzuordnen",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2024,frequency
50000,Spandau,10027.966751072578,105.02117927115302,65.34651154649521,1247.0292620122837,290.9475633141572,602.5103951519112,4156.504895153856,218.59963981625182,840.9473688304919,281.61234737894364,188.64915535744151,83.23900875565461,29.172549797542505,913.6842596590312,92.18525736023432,192.92779599441442,3038.2238195813934,2024,frequency
51001,Hakenfelde,7328.928901516449,51.347003046588846,20.53880121863554,828.3983158183,167.73354328552358,451.85362680998185,3282.785061445247,256.73501523294425,688.0498408242905,212.23427925923392,140.3484749940095,68.46267072878513,20.53880121863554,804.4363810632253,27.385068291514052,112.96340670249546,2512.580015746414,2024,frequency
51002,Falkenhagener Feld,6583.006169377453,53.7483641802206,32.71639558796036,1070.293512806132,243.0360815105627,537.483641802206,2507.478033277248,212.65657132174238,497.75659001682556,170.5926341372219,210.31968592260233,79.45410357076088,30.379510188820337,644.9803701626472,30.379510188820337,95.81230136474106,2628.996074032529,2024,frequency
51003,Spandau Mitte,14036.745145812098,218.78029982845635,146.68224647589687,1969.0226984561073,489.7695348432489,904.9548765631604,5365.089625338736,186.4604828083435,919.8717151878278,387.83780424135443,101.93173060189444,84.52875220644904,37.2920965616687,1297.7649603460707,129.2792680804515,537.0061904880292,4378.092136339905,2024,frequency
52004,Brunsbütteler Damm,6214.878805669714,71.29078252117756,58.71005619391093,796.7793340602198,163.54944225446616,377.42178981799884,2633.5653778411474,171.9365931393106,675.1656462299757,142.58156504235512,289.3567055271324,83.87150884844418,25.161452654533257,670.9720707875534,50.32290530906651,58.71005619391093,1887.1089490899942,2024,frequency
52005,Heerstraße,7537.7535809190485,97.21952167995335,64.81301445330223,1143.9497051007843,239.80815347721824,563.8732257437293,2767.515717156005,187.95774191457645,884.6976472875754,97.21952167995335,197.67969408257179,93.97887095728822,25.92520578132089,742.1090154903105,12.962602890660445,68.05366517596734,2589.279927409424,2024,frequency
52006,Wilhelmstadt,16287.54387375077,144.68290330359295,72.34145165179648,1663.853387991319,439.4073359590601,667.148943011012,6901.910350186213,158.079468424296,841.3042895801517,463.5211531763256,227.7416070519519,83.05870374835892,29.472443265546715,1157.4632264287436,254.534737293358,265.2519893899204,4067.1971706454465,2024,frequency
53007,Haselhorst,10387.783805505325,85.39280691179425,45.20795660036166,1210.5686156319068,316.45569620253167,728.3504118947158,4882.45931283906,386.7791842475387,1311.0307414104882,321.4788024914607,256.17842073538276,55.25416917821981,25.11553144464537,783.6045810729355,35.16174402250352,170.7856138235885,3129.395218002813,2024,frequency
53008,Siemensstadt,13421.359223300971,77.66990291262135,54.368932038834956,1095.1456310679612,271.84466019417476,605.8252427184466,6866.019417475728,419.41747572815535,1646.601941747573,559.2233009708738,178.64077669902912,85.4368932038835,23.300970873786408,1219.4174757281553,178.64077669902912,178.64077669902912,3471.8446601941746,2024,frequency
54009,Gatow/Kladow,4139.031566349175,24.933925098489006,14.960355059093402,538.5727821273625,59.84142023637361,269.28639106368126,1461.1280107714556,49.86785019697801,224.40532588640104,159.57712063032963,119.68284047274722,84.77534533486262,19.947140078791204,548.5463521667581,84.77534533486262,39.89428015758241,1052.211639156236,2024,frequency
59900,"Bezirk (Sp), nicht zuzuordnen",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2024,frequency
60000,Steglitz-Zehlendorf,7476.984725201806,49.28393343769931,29.634783505021808,632.9603216018245,131.10170528852038,355.9395192722728,3453.740747183085,222.26087628766356,536.3251579984925,513.1327187336929,319.8623915270289,40.58676871339943,13.20680569245537,919.0004058676872,184.251045270353,96.95728081534308,1790.3274643577306,2024,frequency
61001,Schloßstraße,15807.746066098562,121.73677803327472,54.10523468145543,1091.1222327426844,243.47355606654943,500.4734208034628,9301.591595653546,198.38586049866993,644.7540466206773,1510.4378015239643,175.84201271473015,36.07015645430362,13.526308670363857,883.7188331304387,180.3507822715181,144.28062581721449,2497.858334460526,2024,frequency
61002,Albrechtstraße,5472.76559553304,29.582516732611026,18.48907295788189,530.6363938912103,116.48115963465591,266.2426505934992,2457.197796102503,221.8688754945827,417.85304884813075,432.64430721443625,181.19291498724255,24.035794845246457,5.546721887364567,611.9883149058905,88.74755019783308,53.61831157785748,1645.5274932514883,2024,frequency
62003,Lankwitz,5816.962577915794,33.75413488152299,27.003307905218385,758.3428970048831,155.26902045500572,427.5523751659578,2196.269042957762,243.0297711469655,393.7982402844348,195.7739823128333,254.28114944080647,29.253583563986584,6.750826976304596,585.0716712797317,58.50716712797317,87.76075069195976,1734.9625329102814,2024,frequency
62004,Ostpreußendamm,5657.126979716588,38.89969435954431,22.228396776882466,564.0455682133926,100.0277854959711,283.41205890525146,2522.92303417616,255.62656293414835,372.3256460127813,311.1975548763545,369.547096415671,61.12809113642678,13.89274798555154,705.7515976660183,186.16282300639065,52.79244234509586,1364.2678521811613,2024,frequency
63005,Teltower Damm,7124.7781689116455,61.094463677886715,29.092601751374623,546.9409129258429,90.18706542926134,389.84086346841997,3531.8418526168794,229.83155383585952,549.8501731009804,546.9409129258429,384.02234311814505,32.001861926512085,8.727780525412388,712.7687429086783,90.18706542926134,81.45928490384895,1704.8264626305531,2024,frequency
