area_id,area_name,Straftaten -insgesamt-,Raub,"Straßenraub, Handtaschen-raub",Körper-verletzungen -insgesamt-,Gefährl. und schwere Körper-verletzung,"Freiheits-beraubung, Nötigung, Bedrohung, Nachstellung",Diebstahl -insgesamt-,Diebstahl von Kraftwagen,Diebstahl an/aus Kfz,Fahrrad- diebstahl,Wohnraum- einbruch,Branddelikte -insgesamt-,Brand- stiftung,Sach-beschädigung -insgesamt-,Sach-beschädigung durch Graffiti,Rauschgift-delikte,Kieztaten,year,data_type
10000,Mitte,84145,927,546,8885,2646,3700,39391,543,5397,4372,780,473,150,6492,1142,2705,20743,2024,cases
11001,Tiergarten Süd,5368,77,53,508,118,237,2569,34,324,331,29,19,5,374,76,112,1630,2024,cases
11002,Regierungsviertel,7099,66,32,638,189,258,2992,10,232,295,32,18,4,564,135,140,1447,2024,cases
11003,Alexanderplatz,20197,186,110,2123,682,674,10609,69,826,998,154,88,25,1405,245,563,4241,2024,cases
11004,Brunnenstraße Süd,3703,25,15,299,85,169,1803,21,187,456,86,17,5,444,74,57,901,2024,cases
12005,Moabit West,5881,59,30,603,173,276,2131,64,373,329,77,42,17,491,81,164,1400,2024,cases
12006,Moabit Ost,10677,77,43,1089,249,398,4588,38,282,421,65,69,32,686,111,513,2299,2024,cases
13007,Osloer Straße,6298,90,56,805,228,346,3062,65,463,268,60,34,10,501,75,92,1797,2024,cases
13008,Brunnenstraße Nord,6915,82,46,828,302,426,2788,63,442,326,110,69,22,710,191,303,1903,2024,cases
14009,Parkviertel,6279,59,25,701,198,275,3389,83,998,361,87,49,11,463,29,104,1814,2024,cases
14010,Wedding Zentrum,8976,156,96,1075,343,455,4145,66,1010,482,78,48,13,676,103,539,2668,2024,cases
19900,"Bezirk (Mi), nicht zuzuordnen",2752,50,40,216,79,186,1315,30,260,105,2,20,6,178,22,118,643,2024,cases
20000,Friedrichshain-Kreuzberg,56923,1007,636,5895,2120,2036,26441,315,4395,3879,567,343,97,5372,843,3850,13709,2024,cases
