stop_id,stop_name,stop_lat,stop_lon
de:11000:900040101,S Halensee (Berlin),52.496698,13.290151
de:11000:900044101,S Hohenzollerndamm (Berlin),52.488337,13.300714
de:11000:900044202,S+U Bundesplatz (Berlin),52.477667,13.328626
de:11000:900045102,S+U Heidelberger Platz (Berlin),52.480124,13.31229
de:11000:900048101,S Grunewald (Berlin),52.48868,13.261944
de:11000:900049201,S Zehlendorf (Berlin),52.431209,13.259227
de:11000:900049202,S Sundgauer Str. (Berlin),52.436187,13.273501
de:11000:900050301,S Mexikoplatz (Berlin),52.437166,13.23206
de:11000:900050355,S Schlachtensee (Berlin),52.439806,13.213986
de:11000:900052201,S Nikolassee (Berlin),52.43121,13.193298
de:11000:900053301,S Wannsee Bhf (Berlin),52.421725,13.178932
de:11000:900054104,S Schöneberg (Berlin),52.479811,13.352848
de:11000:900054105,S+U Innsbrucker Platz (Berlin),52.4781,13.342875
de:11000:900057102,S+U Yorckstr. (Großgörschenstr.) (Berlin),52.492345,13.367986
de:11000:900058101,S Südkreuz Bhf (Berlin),52.475502,13.365552
de:11000:900058102,S Priesterweg (Berlin),52.459239,13.356028
de:11000:900058103,S+U Yorckstr. (Berlin),52.492358,13.372212
de:11000:900060101,S Friedenau (Berlin),52.470002,13.340598
de:11000:900062202,S+U Rathaus Steglitz (Berlin),52.455066,13.322152
de:11000:900063101,S Feuerbachstr. (Berlin),52.463578,13.332412
de:11000:900063452,S Südende (Berlin),52.448899,13.354077
de:11000:900064201,S Lichterfelde Süd (Berlin),52.409956,13.308662
de:11000:900064256,S Osdorfer Str. (Berlin),52.418373,13.313865
de:11000:900064301,S Lichterfelde Ost Bhf (Berlin),52.429294,13.327749
de:11000:900066101,S Lichterfelde West (Berlin),52.443512,13.294141
de:11000:900066102,S Botanischer Garten (Berlin),52.447552,13.306041
de:11000:900067221,S Lankwitz (Berlin),52.439034,13.34276
de:11000:900068201,S+U Tempelhof (Berlin),52.470574,13.3859
de:11000:900068301,S Attilastr. (Berlin),52.447298,13.361177
de:11000:900072101,S Buckower Chaussee (Berlin),52.411035,13.38247
de:11000:900073101,S Marienfelde (Berlin),52.423816,13.375022
de:11000:900074201,S Lichtenrade (Berlin),52.38668,13.396642
de:11000:900074202,S Schichauweg (Berlin),52.39856,13.389437
de:11000:900077106,S Sonnenallee (Berlin),52.473843,13.455986
de:11000:900077155,S Köllnische Heide (Berlin),52.469168,13.467529
de:11000:900078201,S+U Neukölln (Berlin),52.469282,13.443692
de:11000:900079221,S+U Hermannstr. (Berlin),52.467181,13.431704
de:11000:900084101,S Wilhelmsruh (Berlin),52.581389,13.362938
de:11000:900085105,S Alt-Reinickendorf (Berlin),52.577876,13.350736
de:11000:900085201,S Schönholz (Berlin),52.571901,13.380242
de:11000:900089303,S Tegel (Berlin),52.588805,13.288695
de:11000:900091203,S Heiligensee (Berlin),52.625148,13.228667
de:11000:900091205,S Schulzendorf (Berlin),52.613513,13.24563
de:11000:900092201,S Frohnau (Berlin),52.632958,13.289564
de:11000:900093201,S Hermsdorf (Berlin),52.618165,13.306804
de:11000:900094101,S Waidmannslust (Berlin),52.606814,13.320549
de:11000:900096101,S+U Wittenau (Berlin),52.596392,13.335481
de:11000:900096405,S Eichborndamm (Berlin),52.577545,13.315583
de:11000:900096458,S+U Karl-Bonhoeffer-Nervenklinik (Berlin),52.578169,13.332921
de:11000:900100001,S+U Friedrichstr. Bhf (Berlin),52.520304,13.387253
de:11000:900100002,S Hackescher Markt (Berlin),52.522607,13.402358
de:11000:900100003,S+U Alexanderplatz Bhf (Berlin),52.521512,13.411267
de:11000:900100004,S+U Jannowitzbrücke (Berlin),52.5155,13.418027
de:11000:900100007,S Oranienburger Str. (Berlin),52.525161,13.393068
de:11000:900100020,S+U Potsdamer Platz Bhf (Berlin),52.509358,13.376547
de:11000:900100025,S+U Brandenburger Tor (Berlin),52.516511,13.381937
de:11000:900100515,Spandauer Str./Marienkirche (Berlin),52.520025,13.404825
de:11000:900110001,S+U Schönhauser Allee (Berlin),52.549336,13.415138
de:11000:900110002,S Prenzlauer Allee (Berlin),52.544802,13.427419
de:11000:900110003,S Greifswalder Str. (Berlin),52.540724,13.438356
de:11000:900110004,S Landsberger Allee (Berlin),52.528772,13.455944
de:11000:900110008,Schönfließer Str. (Berlin),52.55404,13.408728
de:11000:900110011,S Bornholmer Str. (Berlin),52.554763,13.397841
de:11000:900110012,S Storkower Str. (Berlin),52.523868,13.464704
de:11000:900110015,Stahlheimer Str./Wisbyer Str. (Berlin),52.552668,13.424239
de:11000:900120001,S+U Frankfurter Allee (Berlin),52.51358,13.475848
de:11000:900120003,S Ostkreuz Bhf (Berlin),52.503113,13.469221
de:11000:900120004,S+U Warschauer Str. (Berlin),52.505765,13.449159
de:11000:900120005,S Ostbahnhof (Berlin),52.510331,13.435086
de:11000:900120515,Straßmannstr. (Berlin),52.522741,13.450145
de:11000:900130001,S Pankow-Heinersdorf (Berlin),52.577603,13.42909
de:11000:900130002,S+U Pankow (Berlin),52.567281,13.412279
de:11000:900130003,S Wollankstr. (Berlin),52.564974,13.39315
de:11000:900130502,Stiftsweg (Berlin),52.572406,13.415114
de:11000:900135001,S Buch (Berlin),52.636297,13.492369
de:11000:900140517,Stadion Buschallee/Hansastr. (Berlin),52.556906,13.485984
de:11000:900142001,S Blankenburg (Berlin),52.591069,13.442972
de:11000:900143001,S Karow Bhf (Berlin),52.615755,13.470081
de:11000:900150519,Sportforum (Berlin),52.538412,13.471445
de:11000:900151001,S Wartenberg (Berlin),52.573266,13.504238
de:11000:900152001,S Hohenschönhausen Bhf (Berlin),52.565637,13.51232
de:11000:900152002,S Gehrenseestr. (Berlin),52.555736,13.525653
de:11000:900160001,S Rummelsburg (Berlin),52.501213,13.478699
de:11000:900160002,S Betriebsbahnhof Rummelsburg (Berlin),52.493599,13.498152
de:11000:900160003,S Nöldnerplatz (Berlin),52.503444,13.484297
de:11000:900160516,Schalkauer Str. (Berlin),52.535144,13.50967
de:11000:900162001,S Karlshorst (Berlin),52.481111,13.525857
de:11000:900170001,S Marzahn (Berlin),52.543272,13.541524
de:11000:900170002,S Raoul-Wallenberg-Str. (Berlin),52.550749,13.548392
de:11000:900170003,S Mehrower Allee (Berlin),52.557816,13.554392
de:11000:900170004,S Ahrensfelde Bhf (Berlin),52.571339,13.565649
de:11000:900170005,S Poelchaustr. (Berlin),52.534751,13.536008
de:11000:900171001,S Biesdorf (Berlin),52.513059,13.555035
de:11000:900171002,S Friedrichsfelde Ost (Berlin),52.513531,13.519078
de:11000:900171003,S Springpfuhl (Berlin),52.526147,13.53687
