stop_id,stop_name,stop_lat,stop_lon
de:11000:900077106:1:50,S Sonnenallee (Berlin),52.47299,13.455632
de:11000:900077106:1:51,S Sonnenallee (Berlin),52.472954,13.455771
de:11000:900077155:1:50,S Köllnische Heide (Berlin),52.469676,13.46806
de:11000:900077155:1:51,S Köllnische Heide (Berlin),52.4696,13.468084
de:11000:900078201:1:50,S+U Neukölln (Berlin),52.469492,13.443156
de:11000:900078201:1:51,S+U Neukölln (Berlin),52.469373,13.443216
de:11000:900079221:1:50,S+U Hermannstr. (Berlin),52.46769,13.431204
de:11000:900079221:1:51,S+U Hermannstr. (Berlin),52.467578,13.431255
de:11000:900085105:1:50,S Alt-Reinickendorf (Berlin),52.577776,13.351235
de:11000:900085201:1:50,S Schönholz (Berlin),52.571473,13.381121
de:11000:900085201:1:51,S Schönholz (Berlin),52.571407,13.381026
de:11000:900089303:1:50,S Tegel (Berlin),52.588123,13.289879
de:11000:900089303:1:51,S Tegel (Berlin),52.588072,13.289675
de:11000:900091203:1:50,S Heiligensee (Berlin),52.624476,13.229361
de:11000:900091203:1:51,S Heiligensee (Berlin),52.62453,13.229471
de:11000:900091205:1:50,S Schulzendorf (Berlin),52.612931,13.246032
de:11000:900096405:1:50,S Eichborndamm (Berlin),52.577688,13.317219
de:11000:900096458:1:50,S+U Karl-Bonhoeffer-Nervenklinik (Berlin),52.578017,13.328994
de:11000:900100001:3:54,S+U Friedrichstr. Bhf (Berlin),52.520364,13.38716
de:11000:900100001:3:55,S+U Friedrichstr. Bhf (Berlin),52.520458,13.387211
de:11000:900100002:1:50,S Hackescher Markt (Berlin),52.522663,13.402462
de:11000:900100002:1:51,S Hackescher Markt (Berlin),52.522726,13.40243
de:11000:900100003:2:52,S+U Alexanderplatz Bhf (Berlin),52.52152,13.411226
de:11000:900100003:2:53,S+U Alexanderplatz Bhf (Berlin),52.521589,13.411357
de:11000:900100004:1:50,S+U Jannowitzbrücke (Berlin),52.514193,13.419471
de:11000:900100004:1:51,S+U Jannowitzbrücke (Berlin),52.51425,13.419526
de:11000:900110001:1:50,S+U Schönhauser Allee (Berlin),52.549274,13.415186
de:11000:900110001:1:51,S+U Schönhauser Allee (Berlin),52.549382,13.415241
de:11000:900110002:1:50,S Prenzlauer Allee (Berlin),52.544757,13.425865
de:11000:900110002:1:51,S Prenzlauer Allee (Berlin),52.54486,13.425975
de:11000:900110011:1:50,S Bornholmer Str. (Berlin),52.554619,13.397673
