station_id,station,line,latitude,longitude,district,district_id
55,S Wannsee Bhf (Berlin),"['S1', 'S7']",52.421604,13.180082,Steglitz-Zehlendorf,11006006
56,S Wannsee Bhf (Berlin),['S1'],52.421546,13.180177,Steglitz-Zehlendorf,11006006
57,S Wannsee Bhf (Berlin),"['S1', 'S7']",52.421479,13.180296,Steglitz-Zehlendorf,11006006
58,S+U Innsbrucker Platz (Berlin),"['S41', 'S45', 'S46']",52.478176,13.341468,Tempelhof-Schöneberg,11007007
59,S+U Innsbrucker Platz (Berlin),"['S42', 'S45', 'S46']",52.478047,13.341463,Tempelhof-Schöneberg,11007007
60,S Priesterweg (Berlin),['S2'],52.459921,13.356187,Tempelhof-Schöneberg,11007007
61,S Priesterweg (Berlin),['S2'],52.459905,13.356324,Tempelhof-Schöneberg,11007007
62,S Priesterweg (Berlin),"['S25', 'S26']",52.459934,13.356075,Tempelhof-Schöneberg,11007007
63,S Priesterweg (Berlin),"['S25', 'S26']",52.459892,13.356434,Tempelhof-Schöneberg,11007007
64,S Südende (Berlin),"['S25', 'S26']",52.448211,13.353647,Steglitz-Zehlendorf,11006006
65,S Südende (Berlin),"['S25', 'S26']",52.44818,13.353755,Steglitz-Zehlendorf,11006006
66,S Lichterfelde Süd (Berlin),"['S25', 'S26']",52.41025,13.308587,Steglitz-Zehlendorf,11006006
67,S Lichterfelde Süd (Berlin),"['S25', 'S26']",52.410219,13.308767,Steglitz-Zehlendorf,11006006
68,S Osdorfer Str. (Berlin),"['S25', 'S26']",52.418911,13.314214,Steglitz-Zehlendorf,11006006
69,S Osdorfer Str. (Berlin),"['S25', 'S26']",52.418882,13.314304,Steglitz-Zehlendorf,11006006
70,S Lichterfelde Ost Bhf (Berlin),"['S25', 'S26']",52.430002,13.32813,Steglitz-Zehlendorf,11006006
71,S Lichterfelde Ost Bhf (Berlin),"['S25', 'S26']",52.429919,13.328299,Steglitz-Zehlendorf,11006006
72,S Lankwitz (Berlin),"['S25', 'S26']",52.438757,13.342041,Steglitz-Zehlendorf,11006006
73,S+U Tempelhof (Berlin),"['S41', 'S45', 'S46']",52.471027,13.384476,Tempelhof-Schöneberg,11007007
74,S+U Tempelhof (Berlin),"['S42', 'S45', 'S46']",52.470922,13.384416,Tempelhof-Schöneberg,11007007
75,S Attilastr. (Berlin),['S2'],52.447898,13.360727,Tempelhof-Schöneberg,11007007
76,S Attilastr. (Berlin),['S2'],52.447931,13.360892,Tempelhof-Schöneberg,11007007
77,S Buckower Chaussee (Berlin),['S2'],52.410239,13.382877,Tempelhof-Schöneberg,11007007
78,S Buckower Chaussee (Berlin),['S2'],52.410252,13.382984,Tempelhof-Schöneberg,11007007
79,S Marienfelde (Berlin),['S2'],52.424278,13.374587,Tempelhof-Schöneberg,11007007
80,S Marienfelde (Berlin),['S2'],52.424296,13.374679,Tempelhof-Schöneberg,11007007
81,S Lichtenrade (Berlin),['S2'],52.387069,13.396301,Tempelhof-Schöneberg,11007007
82,S Schichauweg (Berlin),['S2'],52.399129,13.388959,Tempelhof-Schöneberg,11007007
83,S Schichauweg (Berlin),['S2'],52.399155,13.389089,Tempelhof-Schöneberg,11007007
84,S Sonnenallee (Berlin),['S41'],52.47299,13.455632,Neukölln,11008008
85,S Sonnenallee (Berlin),['S42'],52.472954,13.455771,Neukölln,11008008
86,S Köllnische Heide (Berlin),"['S41', 'S45', 'S46', 'S47']",52.469676,13.46806,Neukölln,11008008
87,S Köllnische Heide (Berlin),"['S42', 'S45', 'S46', 'S47']",52.4696,13.468084,Neukölln,11008008
88,S+U Neukölln (Berlin),"['S41', 'S45', 'S46', 'S47']",52.469492,13.443156,Neukölln,11008008
89,S+U Neukölln (Berlin),"['S42', 'S45', 'S46', 'S47']",52.469373,13.443216,Neukölln,11008008
90,S+U Hermannstr. (Berlin),"['S41', 'S45', 'S46', 'S47']",52.46769,13.431204,Neukölln,11008008
91,S+U Hermannstr. (Berlin),"['S42', 'S45', 'S46', 'S47']",52.467578,13.431255,Neukölln,11008008
92,S Alt-Reinickendorf (Berlin),['S25'],52.577776,13.351235,Reinickendorf,11012012
93,S Schönholz (Berlin),"['S1', 'S25', 'S26', 'S85']",52.571473,13.381121,Reinickendorf,11012012
