kindergarten_id,district_id,name,address,postal_code,phone_number,email,website,coordinates,latitude,longitude,neighborhood,district,operator,capacity,source,created_at,updated_at
24,01,EKG - Nassauische Straße 66,Unknown,0,,,,"52.4939543,13.3268807",52.4939543,13.3268807,Charlottenburg-Wilmersdorf,Charlottenburg-Wilmersdorf,Unknown,Unknown,openstreetmap,18/08/2025 11:28,18/08/2025 11:28
25,09,EKG - Schwanter Weg 3,Unknown,0,,,,"52.55894,13.1822088",52.55894,13.1822088,Spandau,Spandau,Unknown,Unknown,openstreetmap,18/08/2025 11:28,18/08/2025 11:28
26,09,EKG - Schuckertdamm 336-338,Unknown,0,,,,"52.5414858,13.267403",52.5414858,13.267403,Spandau,Spandau,Unknown,Unknown,openstreetmap,18/08/2025 11:28,18/08/2025 11:28
27,10,Eltern-Kind-Gruppe Matthäus,"Schloßstraße 44C, 12165 Berlin",12165,,,,"52.4561079,13.3186112",52.4561079,13.3186112,Steglitz-Zehlendorf,Steglitz-Zehlendorf,Unknown,Unknown,openstreetmap,18/08/2025 11:28,18/08/2025 11:28
28,11,EKG - Rackebüller Weg 64,Rackebüller Weg 64,0,,,,"52.4053643,13.4022689",52.4053643,13.4022689,Tempelhof-Schöneberg,Tempelhof-Schöneberg,Unknown,Unknown,openstreetmap,18/08/2025 11:28,18/08/2025 11:28
29,09,Kita der Evangelischen Kirchengemeinde Am Groß-Glienicker See,"Waldallee 3, 14089 Berlin",14089,,,,"52.4653362,13.1275935",52.4653362,13.1275935,Spandau,Spandau,Evangelische Kirchengemeinde Am Groß-Glienicker See,Unknown,openstreetmap,18/08/2025 11:28,18/08/2025 11:28
30,11,EKT - Abrakadabra e.V.,"Motzstraße 63, 10777 Berlin",10777,,,,"52.4947329,13.3392604",52.4947329,13.3392604,Tempelhof-Schöneberg,Tempelhof-Schöneberg,Unknown,Unknown,openstreetmap,18/08/2025 11:28,18/08/2025 11:28
31,05,Kinderladen Ali Baba,"Waldstraße 15, 10551 Berlin",10551,,,,"52.5299838,13.3315829",52.5299838,13.3315829,Mitte,Mitte,Kinderladen Ali Baba e.V.,Unknown,openstreetmap,18/08/2025 11:28,18/08/2025 11:28
32,06,"Ali Baba und seine Räuber ""Löwenzahn""","Kranoldstraße 1, 12051 Berlin",12051,,,,"52.4663348,13.4363771",52.4663348,13.4363771,Neukölln,Neukölln,Kinderladen Ali Baba und seine Räuber e.V.,Unknown,openstreetmap,18/08/2025 11:28,18/08/2025 11:28
33,10,EKT - Ahörnchen e.V.,Unknown,0,,,,"52.4603819,13.3204746",52.4603819,13.3204746,Steglitz-Zehlendorf,Steglitz-Zehlendorf,Unknown,Unknown,openstreetmap,18/08/2025 11:28,18/08/2025 11:28
