id,name,address,postal_code,district,latitude,longitude,operator,capacity,source,created_at,updated_at,neighborhood
1992,Kita am Schlosspark,Unknown,00000,Nan,,,ASB Kinder- und Jugendhilfe Berlin gGmbH,Unknown,openstreetmap,2025-08-18 11:28:11,2025-08-18 11:28:11,Unknown
1993,KITA Eichkater,"Fürstenwalder Allee 178, 12589 Berlin",12589,Nan,,,Käpt'n Browser gGmbH,Unknown,openstreetmap,2025-08-18 11:28:11,2025-08-18 11:28:11,Unknown
1994,Kita Bergfalke,"Falkenberger Straße 138, 13088 Berlin",13088,Nan,,,Trägerwerk Soziale Dienste  in Berlin und Brandenburg,Unknown,openstreetmap,2025-08-18 11:28:11,2025-08-18 11:28:11,Unknown
1995,Kita Seeburger Weg,"Seeburger Weg 35, 13581 Berlin",13581,Nan,,,Unknown,Unknown,openstreetmap,2025-08-18 11:28:11,2025-08-18 11:28:11,Unknown
1996,Kita Spatzentrio,"Heiligenberger Straße 19, 10318 Berlin",10318,Karlshorst,,,Kindergärten NordOst,51.0,openstreetmap,2025-08-18 11:28:11,2025-08-18 11:28:11,Unknown
1997,Kita Spatzentrio,"Stechlinstraße 26, 10318 Berlin",10318,Karlshorst,,,Kindergärten NordOst,38.0,openstreetmap,2025-08-18 11:28:11,2025-08-18 11:28:11,Unknown
1998,Kita Spatzentrio,"Wildensteiner Straße 3, 10318 Berlin",10318,Karlshorst,,,Kindergärten NordOst,45.0,openstreetmap,2025-08-18 11:28:11,2025-08-18 11:28:11,Unknown
1999,Kindertagesstätte Heilig Geist,"Preußenallee 25, 14052 Berlin",14052,Westend,,,Katholische Kirchengemeinde Heilig Geist,54.0,openstreetmap,2025-08-18 11:28:11,2025-08-18 11:28:11,Unknown
2000,Kindertagesstätte Buntstift,Unknown,00000,Nan,,,Unknown,Unknown,openstreetmap,2025-08-18 11:28:11,2025-08-18 11:28:11,Unknown
2001,Kita Agarta,"Ernst-Grube-Straße 30, 12555 Berlin",12555,Spindlersfeld,,,AS Kids & Pets Service UG,160.0,openstreetmap,2025-08-18 11:28:11,2025-08-18 11:28:11,Unknown
2002,Kita Firlefanz,"Drontheimer Straße 23A, 13359 Berlin",13359,Gesundbrunnen,,,Kinder in Bewegung gGmbH,130.0,openstreetmap,2025-08-18 11:28:11,2025-08-18 11:28:11,Unknown
2003,Kita Hohenzollernstraße,"Hohenzollernstraße 9, 14163 Berlin",14163,Zehlendorf,,,ASB Kinder- u. Jugendhilfe gGmbH,90.0,openstreetmap,2025-08-18 11:28:11,2025-08-18 11:28:11,Unknown
2004,Kinderladen Villa Römer,Unknown,00000,Nan,,,Villa Römer e.V.,Unknown,openstreetmap,2025-08-18 11:28:11,2025-08-18 11:28:11,Unknown
2005,Kita Wunderwelt,"Peter-Huchel-Straße 43, 12619 Berlin",12619,Hellersdorf,,,Jugendwerk Aufbau Ost JAO gGmbH,Unknown,openstreetmap,2025-08-18 11:28:11,2025-08-18 11:28:11,Unknown
2006,Kita Fregestraße,"Fregestraße 21-22, 12159 Berlin",12159,Nan,,,Orte für Kinder GmbH,Unknown,openstreetmap,2025-08-18 11:28:11,2025-08-18 11:28:11,Unknown
2007,Kita Märchenland,"Carola-Neher-Straße 13, 12619 Berlin",12619,Hellersdorf,,,Spatzennest Sprachlicher Förderverein e.V.,Unknown,openstreetmap,2025-08-18 11:28:11,2025-08-18 11:28:11,Unknown
2008,Kindergarten Tausendfüßer,Unknown,00000,Nan,,,Unknown,Unknown,openstreetmap,2025-08-18 11:28:11,2025-08-18 11:28:11,Unknown
2009,Kindergarten Kochstraße,"Kochstraße 8, 10969 Berlin",10969,Nan,,,Kindergärten City,Unknown,openstreetmap,2025-08-18 11:28:11,2025-08-18 11:28:11,Unknown
2010,Kita NEO,Unknown,00000,Nan,,,Unknown,Unknown,openstreetmap,2025-08-18 11:28:11,2025-08-18 11:28:11,Unknown
2011,Kita Siegburger Straße,"Siegburger Straße 1, 14197 Berlin",14197,Wilmersdorf,,,Kindertagesstätten Nordwest,Unknown,openstreetmap,2025-08-18 11:28:11,2025-08-18 11:28:11,Unknown
