Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
Einrichtungsbezirk,Einrichtungsbezirk Name,Einrichtungsnummer,Einrichtungsname,Straße,Hausnummer,PLZ,Telefon,Einrichtungstyp,Trägernummer,Trägername,ETRS_YKOORDINATE,ETRS_XKOORDINATE,Erlaubte Plätze (BE)
06,Steglitz-Zehlendorf,06120870,Kita Fregestraße,Fregestr.,053,12161,030 85 98 66 20,Reguläre Einrichtung,1249,Nachbarschaftsheim Schöneberg e.V.,5814286.9,0386963.5,40
06,Steglitz-Zehlendorf,06120890,Kita Schlosskobolde,Hindenburgdamm,28,12203,030 84411043,Reguläre Einrichtung,1280,Stadtteilzentrum Steglitz - Verein für soziale Arbeit e.V.,5811199.3,0385559.3,71
06,Steglitz-Zehlendorf,06120900,Kita Cooperative Mensch eG,Prettauer Pfad,023,12207,030 22 500 360,Reguläre Einrichtung,1207,Cooperative Mensch eG,5809038.2,0384326.8,140
06,Steglitz-Zehlendorf,06120920,EKT Ja Ja He und Co.,Breite Str.,038,12167,030 793 22 65,Reguläre Einrichtung,0689,Ja Ja He und Co. e.V.,5812806.8,0386369.3,22
06,Steglitz-Zehlendorf,06120930,Kita Filandastr. 27/Kitas Süd-West,Filandastr.,027,12169,030 290276190,Reguläre Einrichtung,0123,Kindertagesstätten Berlin Süd-West,5813013.2,0386667.6,50
06,Steglitz-Zehlendorf,06120950,Kita Die Kobolde (Wohneinheit rechts),Beethovenstr.,034,12247,030 834 14 77,Reguläre Einrichtung,1247,Mittelhof e.V.,5811078.6,0386548.6,37
06,Steglitz-Zehlendorf,06120970,Kita Frobenstraße/Kitas Süd-West,Frobenstr.,075,12249,030 290276520,Reguläre Einrichtung,0123,Kindertagesstätten Berlin Süd-West,5810147.4,0387432.6,195
06,Steglitz-Zehlendorf,06120990,EKT - Ringelbande,Schmidt-Ott-Str.,004,12165,030 7920895,Reguläre Einrichtung,0924,Ringelbande e.V.,5813328.3,0385365.4,18
06,Steglitz-Zehlendorf,06121000,Kita John F.Kennedy Friendship Center,Am Fichtenberg,016,12165,030 8049 6270,Reguläre Einrichtung,0688,John F. Kennedy Friendship Center e.V.,5812946.0,0385163.8,117
06,Steglitz-Zehlendorf,06121090,Erste Freunde,Sondershauser Str.,50,12249,030 70721475,Reguläre Einrichtung,0435,Ev. Kirchengemeinde Dietrich-Bonhoeffer,5809143.9,0387309.6,45
06,Steglitz-Zehlendorf,06121100,Kita der Johann-Sebastian-Bach Kirchengemeinde,Luzerner Str.,010,12205,030 28833413,Reguläre Einrichtung,0479,Ev. Kirchengemeinde Johann-Sebastian-Bach,5809587.4,0384233.0,45
06,Steglitz-Zehlendorf,06121120,EKT - Rotz und Trotz,Sophienstr.,009,12203,030 8431 6789,Reguläre Einrichtung,0932,Rotz und Trotz e. V.,5811643.4,0384643.9,30
06,Steglitz-Zehlendorf,06121130,Kita Happy Kids (1. Einrichtung),Gritznerstr.,033,12163,030 7565 0016,Reguläre Einrichtung,1132,Happy Kids GmbH gemeinnützige Gesellschaft,5813911.2,0385583.4,45
06,Steglitz-Zehlendorf,06121140,Kita Lilienthal,Schütte-Lanz-Str.,043,12209,030 7565 4971,Reguläre Einrichtung,1247,Mittelhof e.V.,5808319.8,0386283.0,104
06,Steglitz-Zehlendorf,06121200,Kita Lichterfelder Strolche,Scheelestr.,145,12209,030 72024981,Reguläre Einrichtung,1280,Stadtteilzentrum Steglitz - Verein für soziale Arbeit e.V.,5808170.1,0385814.2,67
06,Steglitz-Zehlendorf,06121240,EKT Die Maulwürfe,Lorenzstr.,057,12209,030 772 69 27,Reguläre Einrichtung,0502,"""Die Maulwürfe"" Kinderladen e.V.",5809736.2,0386586.7,45
06,Steglitz-Zehlendorf,06121250,Humanistische Kita Lichterfelder Sonnengarten,Holtheimer Weg,006,12207,7124930,Reguläre Einrichtung,1230,"Humanistischer Verband Deutschlands, Landesverband Berlin-Brandenburg KdöR",5808093.2,0384885.9,135
06,Steglitz-Zehlendorf,06121270,Kita Starke Kinder,Kaulbachstr.,059,12247,030 7688 2711,Reguläre Einrichtung,1296,Jugend- und Sozialwerk gGmbH,5811048.2,0387146.3,166
06,Steglitz-Zehlendorf,06121280,Kita am Fliegeberg,Scheelestr.,45,12209,030 711 70 84,Reguläre Einrichtung,1247,Mittelhof e.V.,5808531.0,0386480.1,115
06,Steglitz-Zehlendorf,06121340,Kita Zaubermäuse,Lepsiusstr.,053,12163,030 / 793 14 62,Reguläre Einrichtung,7499,Infantarius Kindergärten gGmbH,5813680.0,0385736.7,40
06,Steglitz-Zehlendorf,06121350,Kita Baseler Strasse,Baseler Str.,161,12205,030 8472 8050,Reguläre Einrichtung,0437,Diakonisches Werk Steglitz und Teltow-Zehlendorf e. V.,5809843.3,0384056.6,100
06,Steglitz-Zehlendorf,06121360,Kita Berliner Sterne,Dürerstr.,020,12203,030 51059280,Reguläre Einrichtung,8711,Berliner Sterne gemeinnützige Unternehmergesellschaft (haftungsbeschränkt),5811044.6,0384797.9,35
06,Steglitz-Zehlendorf,06121380,Klax Krippe Spatzennest und Klax Kindergarten Tinkerbell,Hindenburgdamm,022,12203,030 280 36127-90,Reguläre Einrichtung,1214,KLAX Berlin gGmbH,5810947.5,0385479.7,136
06,Steglitz-Zehlendorf,06121390,Kita Mary Poppinz I,Beethovenstr.,038,12247,030 78082746,Reguläre Einrichtung,8218,Mary Poppinz gemeinnützige Unternehmergesellschaft (haftungsbeschränkt),5811107.0,0386537.8,28
06,Steglitz-Zehlendorf,06121400,Kita Happy Kids,Forststr.,010,12163,030 79 302 664,Reguläre Einrichtung,1132,Happy Kids GmbH gemeinnützige Gesellschaft,5813936.8,0385615.5,26
06,Steglitz-Zehlendorf,06121440,Kita Zaubersterne,Gallwitzallee,035,12249,030 / 76 88 23 22,Reguläre Einrichtung,7499,Infantarius Kindergärten gGmbH,5810486.1,0387592.3,41
06,Steglitz-Zehlendorf,06121450,Kita Spatzenhaus,Birkbuschstr.,014,12167,030 58799990,Reguläre Einrichtung,7891,FdM gemeinnützige UG (haftungsbeschränkt) Förderung der Mehrsprachigkeit,5812488.1,0385962.7,25
06,Steglitz-Zehlendorf,06121510,Kita Milchbartpiraten,Ursulastr.,012,12249,030 81001834,Reguläre Einrichtung,7909,J. KERSTEN Betriebs-gGmbH,5810430.5,0387357.9,125
06,Steglitz-Zehlendorf,06121520,Montessori Kinderhaus Steglitz,Plantagenstr.,001,12169,030 233264030,Reguläre Einrichtung,8066,Montessori und Friends Education gGmbH,5812894.1,0386482.3,30
06,Steglitz-Zehlendorf,06121540,Kita Mary Poppinz II,Finckensteinallee,42A,12205,030 70086047,Reguläre Einrichtung,8218,Mary Poppinz gemeinnützige Unternehmergesellschaft (haftungsbeschränkt),5810527.1,0384618.3,41
06,Steglitz-Zehlendorf,06121550,Kita -Happy Kids,Gritznerstr.,001,12163,030 79016839,Reguläre Einrichtung,1132,Happy Kids GmbH gemeinnützige Gesellschaft,5814290.1,0385812.1,27
06,Steglitz-Zehlendorf,06121560,Kita - Bibbi Bär,Immenweg,013,12169,030 22150784,Reguläre Einrichtung,8312,Die Kuschelburg gemeinnützige UG (haftungsbeschränkt),5812547.6,0387514.0,28
06,Steglitz-Zehlendorf,06121590,Kita Blumenstadt,Selerweg,019,12169,030 92259310,Reguläre Einrichtung,8368,MITRA bilinguale Kindergärten gemeinnützige GmbH,5812939.2,0386755.1,114
06,Steglitz-Zehlendorf,06121600,Happy Kids Kreuznacher Straße,Kreuznacher Str.,009,14197,030 79742847,Reguläre Einrichtung,1132,Happy Kids GmbH gemeinnützige Gesellschaft,5814297.0,0385829.5,20
06,Steglitz-Zehlendorf,06121610,Kita Sonnenstrahl,Murtener Str.,010,12205,030 84 11 90 80,Reguläre Einrichtung,1247,Mittelhof e.V.,5810387.4,0383707.3,60
06,Steglitz-Zehlendorf,06121630,Kita Beselerstraße,Beselerstr.,001,12249,030 76804767,Reguläre Einrichtung,1398,Verein zur Förderung der Mehrsprachigkeit e.V.,5810074.8,0387941.2,30
