Bad-ID,Name,Badtyp,Straße,Postleitzahl,Ort,Breitengrad,Längengrad,eu_badegewaesser,Öffnungsstunden pro Jahr,Baujahr,Ganzjährig geöffnet,Name des Eigentümers,Ermäßigung Kind,Ermäßigung Familie,Ermäßigung Behinderte
1051,Sommerbad Kreuzberg - Prinzenbad,Freibad,Prinzenstraße 113-119,10969,Berlin,52.49774,13.40577,nein,,1970.0,nein,Berliner Bäder-Betrieb AöR,ja,ja,ja
1052,Hallenbad Spandau Nord,Hallenbad,Radelandstraße 1,13589,Berlin,52.55498,13.19472,nein,,,ja,Berliner Bäder-Betrieb AöR,ja,ja,ja
1053,Sommerbad Mariendorf,Freibad,Rixdorfer Straße 130,12109,Berlin-Mariendorf,52.44363,13.39817,nein,,1950.0,nein,Berliner Bäder-Betrieb AöR,ja,ja,ja
1054,Paracelsus-Bad,Hallenbad,Roedernallee 200,13407,Berlin,52.57545,13.34721,nein,,1960.0,ja,Berliner Bäder-Betrieb AöR,ja,ja,ja
1055,Kombibad Seestraße,Kombibad,Seestraße 80,13347,Berlin-Wedding,52.5569,13.36323,nein,,1980.0,ja,Berliner Bäder-Betrieb AöR,ja,ja,ja
1056,Schwimmhalle Sewanstraße,Schulbad,Sewanstraße 229,10319,Berlin,52.49584,13.51619,nein,,1979.0,ja,Berliner Bäder-Betrieb AöR,ja,ja,ja
1057,Stadtbad Tiergarten,Hallenbad,Seydlitzstraße 7,10557,Berlin- Tiergarten,52.52745,13.36027,nein,,1983.0,ja,Berliner Bäder-Betrieb AöR,ja,ja,ja
1058,Strandbad Grünau,Naturbad,Sportpromenade 5,12527,Berlin-Grünau,52.40912,13.60418,,,1908.0,nein,Stadt.Land.Bad.GmbH,ja,nein,ja
1063,FEZ Schwimmbad Berlin,Hallenbad,Straße zum FEZ 2,12459,Berlin,52.46091,13.5489,nein,,1950.0,ja,KJfz-L-GmbH,ja,ja,ja
1064,Sommerbad Wuhlheide,Freibad,Treskowallee 211,12459,Berlin- Oberschöneweide,52.4699,13.5183,nein,,1980.0,nein,Berliner Bäder-Betrieb AöR,ja,ja,ja
1088,Freibad Wannsee,Naturbad,Wannseebadweg 25,14129,Berlin,52.43811,13.17952,,,,nein,,ja,ja,ja
1089,Wellenbad am Spreewaldplatz,Hallenbad,Wiener Straße 59h,10999,Berlin,52.49766,13.43206,nein,,,ja,Berliner Bäder-Betrieb AöR,nein,nein,nein
1090,Sommerbad Humboldthain,Freibad,Wiesenstraße 1,13357,Berlin-Wedding,52.5453478,13.3817041,nein,,1953.0,nein,Berliner Bäder-Betrieb AöR,ja,ja,ja
1092,Stadtbad Märkisches Viertel,Hallenbad,Wilhelmsruher Damm 142D,13439,Berlin-Wittenau,52.59821,13.35319,nein,,1970.0,nein,Berliner Bäder-Betrieb AöR,ja,ja,ja
1094,Schwimmhalle Buch,Hallenbad,Wolfgang-Heinz-Straße 41,13125,Berlin,52.62868,13.49203,nein,,1991.0,ja,Berliner Bäder-Betrieb AöR,ja,ja,ja
1095,Sommerbad Pankow,Freibad,Wolfshagener Straße 91-93,13187,Berlin- Pankow,52.57358,13.41314,nein,,1960.0,nein,Berliner Bäder-Betrieb AöR,ja,ja,ja
1096,Schwimmhalle Zingster Straße,Hallenbad,Zingster Straße 16,13051,Berlin-Malchow,52.56625,13.5029,nein,,1950.0,ja,Berliner Bäder-Betrieb AöR,ja,ja,ja
1947,Schwimmhalle Forumbad Olympiastadion,Hallenbad,Hanns-Braun-Straße,14053,Berlin,52.51642,13.23951,nein,,,ja,Berlin,ja,,
1948,Freizeitforum Marzahn,Hallenbad,Marzahner Promenade 55,12679,Berlin,52.54693,13.55615,nein,,,ja,GSE gGmbH - Gesellschaft für StadtEntwicklung,ja,ja,ja
1949,Sport- und Lehrschwimmhalle Schöneberg,Hallenbad,Sachsendamm 11,10829,Berlin,52.47655,13.35547,nein,,,ja,Berlin,ja,ja,ja
1950,Stadtbad Oderberger Straße,Hallenbad,Oderberger Str. 57,10435,Berlin,52.53801,13.41059,nein,,1902.0,nein,Hotel Oderberger,ja,nein,nein
