type,first_tenant,price,rooms,surface_m2,floor,availability,address,bezirk,city,postal_code
Wohnung,,2750.0,3.0,90.0,,01.10.2025,10787,,,10787
Wohnung,,1209.0,2.0,50.0,,01.09.2025,13189,,,13189
Wohnung,,1200.0,3.0,68.0,EG,15.08.2025,10551,,,10551
Wohnung,,1200.0,2.0,45.0,,15.08.2025,10589,,,10589
Wohnung,,1050.0,2.0,81.0,EG,sofort,12627,,,12627
,,1675.0,4.0,116.0,2. Geschoss,sofort,12489,,,12489
Wohnung,,2502.0,2.0,74.7,1. Geschoss,,10115,,,10115
,Erstbezug,2100.0,5.0,154.0,,sofort,14621,,,14621
Wohnung,,1831.0,2.0,55.5,1. Geschoss,,10115,,,10115
Wohnung,,1677.0,1.0,46.6,2. Geschoss,,10115,,,10115
Wohnung,,780.0,1.0,16.2,1. Geschoss,,10319,,,10319
Wohnung,,551.0,1.5,50.3,5. Geschoss,sofort,10439,,,10439
Wohnung,,2035.0,4.0,115.3,4. Geschoss,,10247,,,10247
,,1949.0,3.0,78.0,3. Geschoss,sofort,12249,,,12249
,,2099.0,5.0,141.9,,,12589,,,12589
Wohnung,,1042.0,2.0,63.9,1. Geschoss,,10315,,,10315
Wohnung,,1111.0,2.0,67.3,,,14167,,,14167
Wohnung,,745.0,2.0,56.0,EG,01.09.2025,12557,,,12557
Wohnung,,1584.0,2.0,64.4,EG,,10719,,,10719
Wohnung,,1460.0,3.0,99.7,5. Geschoss,,12161,,,12161
Wohnung,,2150.0,1.0,60.0,3. Geschoss,sofort,10117,,,10117
,,1799.0,3.0,76.0,EG,sofort,12157,,,12157
Wohnung,,1252.0,3.5,73.0,EG,01.10.2025,12439,,,12439
Wohnung,Erstbezug,1660.0,3.0,83.1,1. Geschoss,01.09.2025,12105,,,12105
Wohnung,,1285.0,2.0,66.0,1. Geschoss,,10829,,,10829
,Erstbezug,2100.0,5.0,154.0,,sofort,14621,,,14621
Wohnung,Erstbezug,1310.0,3.0,52.4,6. Geschoss,,12619,,,12619
Wohnung,Erstbezug,1179.0,3.0,52.4,4. Geschoss,,12619,,,12619
Wohnung,Erstbezug,1179.0,3.0,52.4,4. Geschoss,,12619,,,12619
Wohnung,Erstbezug,1167.0,2.0,48.6,5. Geschoss,,12619,,,12619
Wohnung,Erstbezug,1467.0,3.0,61.1,5. Geschoss,,12619,,,12619
Wohnung,Erstbezug,1188.0,2.0,48.5,5. Geschoss,,12619,,,12619
Wohnung,Erstbezug,1167.0,2.0,48.6,5. Geschoss,,12619,,,12619
Wohnung,Erstbezug,1437.0,3.0,61.1,5. Geschoss,,12619,,,12619
Wohnung,Erstbezug,1149.0,3.0,52.2,4. Geschoss,,12619,,,12619
Wohnung,Erstbezug,1284.0,2.0,52.4,6. Geschoss,,12619,,,12619
Wohnung,Erstbezug,1279.0,2.0,52.2,6. Geschoss,,12619,,,12619
Wohnung,Erstbezug,1130.0,2.0,52.6,4. Geschoss,,12619,,,12619
Wohnung,Erstbezug,1149.0,2.0,52.2,4. Geschoss,,12619,,,12619
Haus,Erstbezug,2165.0,5.0,159.0,,sofort,14621,,,14621
Wohnung,Erstbezug,1153.0,2.0,52.4,4. Geschoss,,12619,,,12619
Wohnung,Erstbezug,1434.0,3.0,61.0,3. Geschoss,,12619,,,12619
Wohnung,Erstbezug,1434.0,3.0,61.0,3. Geschoss,,12619,,,12619
Wohnung,Erstbezug,1236.0,2.0,53.7,2. Geschoss,,12619,,,12619
Wohnung,Erstbezug,1261.0,2.0,54.8,2. Geschoss,,12619,,,12619
,Erstbezug,1868.0,3.0,91.1,1. Geschoss,,12619,,,12619
,Erstbezug,2290.0,6.0,114.5,1. Geschoss,,12619,,,12619
,Erstbezug,2290.0,6.0,114.5,1. Geschoss,,12619,,,12619
,Erstbezug,2075.0,4.0,103.8,1. Geschoss,,12619,,,12619
Wohnung,,2305.0,2.0,68.8,1. Geschoss,,10115,,,10115
Wohnung,,1671.0,1.0,52.2,1. Geschoss,,10115,,,10115
Wohnung,Erstbezug,1335.0,2.0,56.8,6. Geschoss,,12619,,,12619
Wohnung,Erstbezug,1279.0,2.0,52.2,6. Geschoss,,12619,,,12619
Wohnung,Erstbezug,1168.0,1.0,55.6,1. Geschoss,,12619,,,12619
Wohnung,Erstbezug,1157.0,3.0,52.6,4. Geschoss,,12619,,,12619
Wohnung,Erstbezug,1345.0,3.0,61.1,3. Geschoss,,12619,,,12619
,Erstbezug,1868.0,3.0,91.1,1. Geschoss,,12619,,,12619
Wohnung,Erstbezug,2100.0,5.0,154.0,3. Geschoss,sofort,14621,,,14621
Wohnung,,1850.0,3.0,83.6,EG,,10585,,,10585
Wohnung,,2100.0,4.5,135.5,1. Geschoss,sofort,12169,,,12169
Wohnung,,2147.0,2.0,64.1,1. Geschoss,,10115,,,10115
Wohnung,,1760.0,2.0,61.0,2. Geschoss,sofort,10777,,,10777
Wohnung,,2095.0,2.0,50.0,1. Geschoss,,10997,,,10997
,,2799.0,3.0,124.6,4. Geschoss,,10435,,,10435
Wohnung,,2075.0,4.0,103.8,1. Geschoss,,12619,,,12619
Wohnung,,1345.0,3.0,61.1,3. Geschoss,,12619,,,12619
Wohnung,,1115.0,2.0,48.5,3. Geschoss,,12619,,,12619
Wohnung,,1373.0,3.0,61.0,3. Geschoss,,12619,,,12619
Wohnung,,1094.0,2.0,48.6,3. Geschoss,,12619,,,12619
Wohnung,,1115.0,2.0,48.5,3. Geschoss,,12619,,,12619
Wohnung,,1330.0,2.0,60.5,3. Geschoss,sofort,12527,,,12527
Haus,Erstbezug,2100.0,5.0,154.0,,sofort,14621,,,14621
Wohnung,,1103.0,2.0,49.0,3. Geschoss,,12619,,,12619
Wohnung,,2024.0,3.5,98.7,1. Geschoss,,12619,,,12619
Wohnung,,2024.0,3.5,98.7,1. Geschoss,,12619,,,12619
,,2007.0,3.5,97.9,1. Geschoss,,12619,,,12619
Wohnung,,2290.0,6.0,114.5,1. Geschoss,,13053,,,13053
Wohnung,Erstbezug,2075.0,4.0,103.8,1. Geschoss,,12619,,,12619
Wohnung,,2007.0,3.5,97.9,1. Geschoss,,12619,,,12619
,,1868.0,3.0,91.1,1. Geschoss,,12619,,,12619
Wohnung,,756.0,1.5,48.4,4. Geschoss,sofort,13581,,,13581
,Erstbezug,1480.0,2.0,67.8,5. Geschoss,sofort,10365,,,10365
Wohnung,Erstbezug,2535.0,3.0,108.0,1. Geschoss,sofort,12247,,,12247
Wohnung,,1630.0,2.0,59.0,2. Geschoss,sofort,13347,,,13347
Wohnung,,2117.0,2.0,67.0,2. Geschoss,,10559,,,10559
Studio,,3075.0,3.0,95.0,1. Geschoss,,10179,,,10179
Studio,,1980.0,2.0,64.0,4. Geschoss,,12101,,,12101
Studio,,3250.0,4.0,150.0,1. Geschoss,,10997,,,10997
Studio,,1855.0,2.0,69.0,4. Geschoss,,10553,,,10553
Wohnung,,849.0,2.0,53.1,1. Geschoss,,12529,,,12529
Studio,,1750.0,1.0,45.0,1. Geschoss,,10439,,,10439
Studio,,2190.0,3.0,60.0,6. Geschoss,,10783,,,10783
Studio,,2370.0,2.0,63.0,2. Geschoss,,10245,,,10245
Studio,,2250.0,2.0,75.0,4. Geschoss,,10439,,,10439
Studio,,2115.0,3.0,75.0,3. Geschoss,,10965,,,10965
Studio,,2580.0,2.0,85.0,1. Geschoss,,10713,,,10713
Wohnung,,2200.0,2.0,56.0,2. Geschoss,,10711,,,10711
Studio,,2990.0,3.0,86.0,4. Geschoss,,10117,,,10117
Studio,,1950.0,2.0,38.0,1. Geschoss,,10777,,,10777
Studio,,2440.0,3.0,74.0,3. Geschoss,,10437,,,10437
Haus,,2497.0,5.0,146.9,,sofort,13059,,,13059
Wohnung,,1500.0,3.5,100.4,3. Geschoss,sofort,13088,,,13088
Wohnung,,923.0,2.0,48.6,5. Geschoss,sofort,13409,,,13409
Wohnung,,949.0,2.0,62.6,2. Geschoss,,16761,,,16761
Wohnung,,2200.0,4.0,110.0,1. Geschoss,,13187,,,13187
Studio,,1550.0,2.0,69.0,3. Geschoss,sofort,10249,,,10249
Wohnung,,1500.0,1.0,33.0,EG,sofort,10437,,,10437
Wohnung,,1514.0,3.0,78.0,4. Geschoss,sofort,13409,,,13409
Wohnung,,1226.0,3.0,70.8,2. Geschoss,sofort,12439,,,12439
Wohnung,,1729.0,3.0,91.0,EG,,12527,,,12527
Wohnung,,1536.0,2.0,73.0,EG,,12527,,,12527
Wohnung,,2100.0,2.0,71.0,,,10585,,,10585
Wohnung,,1599.0,3.0,75.6,,,13587,,,13587
Studio,,2725.0,1.0,76.0,,,10245,,,10245
Studio,,625.0,1.0,20.5,4. Geschoss,01.09.2025,13355,,,13355
,,1928.0,5.0,124.4,,sofort,13057,,,13057
Wohnung,Erstbezug,2249.0,3.0,88.9,16. Geschoss,,12099,,,12099
Wohnung,,2795.0,4.0,130.0,,,13507,,,13507
Wohnung,Erstbezug,2589.0,3.0,86.3,6. Geschoss,sofort,10965,,,10965
Wohnung,Erstbezug,2299.0,3.0,98.3,2. Geschoss,sofort,10965,,,10965
Wohnung,Erstbezug,2199.0,3.0,96.2,1. Geschoss,sofort,10965,,,10965
,Erstbezug,2100.0,5.0,154.0,,sofort,14621,,,14621
Wohnung,Erstbezug,2299.0,3.0,108.5,EG,sofort,10965,,,10965
Studio,,1015.0,2.0,61.5,,sofort,12489,,,12489
Wohnung,Erstbezug,1000.0,1.0,36.0,3. Geschoss,,10827,,,10827
Wohnung,,1050.0,2.0,50.0,,15.08.2025,13595,,,13595
Wohnung,,1400.0,2.5,59.0,,sofort,10247,,,10247
Wohnung,,2200.0,4.0,95.0,1. Geschoss,sofort,13403,,,13403
Wohnung,,737.0,2.0,51.2,EG,sofort,10437,,,10437
,,2498.0,5.0,119.4,,sofort,13127,,,13127
Wohnung,,4100.0,5.0,200.0,EG,sofort,14195,,,14195
Wohnung,,1107.0,1.0,47.0,,sofort,13189,,,13189
,,1215.0,2.0,79.0,EG,sofort,12209,,,12209
,,1600.0,3.0,97.7,,15.09.2025,14089,,,14089
Wohnung,,1100.0,2.0,52.2,2. Geschoss,sofort,10247,,,10247
,Erstbezug,2100.0,5.0,154.0,,sofort,14621,,,14621
Haus,,2100.0,5.0,140.0,,,12623,,,12623
Studio,,920.0,2.0,62.0,EG,sofort,13127,,,13127
Studio,,399.0,2.0,53.1,,sofort,13585,,,13585
Wohnung,,749.0,1.0,20.0,,sofort,13187,,,13187
Wohnung,,1900.0,3.0,45.0,,sofort,10439,,,10439
Wohnung,,1590.0,3.0,108.0,EG,sofort,13503,,,13503
Studio,,500.0,1.0,47.7,,sofort,13589,,,13589
Wohnung,,795.0,1.0,56.8,EG,sofort,12621,,,12621
,,2346.0,4.0,138.0,,sofort,12249,,,12249
,,1229.0,2.0,51.0,EG,sofort,12249,,,12249
Wohnung,Erstbezug,1133.0,2.0,48.2,6. Geschoss,,12619,,,12619
Wohnung,Erstbezug,1111.0,2.0,47.3,6. Geschoss,,12619,,,12619
Wohnung,Erstbezug,1040.0,2.0,47.3,4. Geschoss,,12619,,,12619
Wohnung,Erstbezug,1056.0,2.0,48.0,4. Geschoss,,12619,,,12619
Wohnung,Erstbezug,1094.0,2.0,48.6,3. Geschoss,,12619,,,12619
Wohnung,,1053.0,1.0,31.0,2. Geschoss,,10115,,,10115
Wohnung,,1580.0,2.0,70.0,4. Geschoss,15.09.2025,10435,,,10435
Wohnung,,949.0,2.0,62.6,2. Geschoss,,16761,,,16761
Wohnung,,1179.0,1.0,35.7,1. Geschoss,,10115,,,10115
Wohnung,,1174.0,2.0,68.7,4. Geschoss,,10247,,,10247
Wohnung,,670.0,2.0,41.8,EG,sofort,13088,,,13088
Wohnung,,747.0,1.0,38.8,4. Geschoss,,10247,,,10247
Wohnung,,1150.0,3.0,98.5,1. Geschoss,sofort,12307,,,12307
Haus,,2200.0,6.0,150.0,,sofort,13467,,,13467
Wohnung,,2512.0,4.0,131.9,5. Geschoss,,10967,,,10967
Wohnung,Erstbezug,2200.0,3.0,87.8,6. Geschoss,,10557,,,10557
Wohnung,Erstbezug,2050.0,3.0,88.8,4. Geschoss,,10557,,,10557
Wohnung,Erstbezug,2110.0,2.0,109.2,1. Geschoss,,10557,,,10557
Studio,,2500.0,3.0,127.5,2. Geschoss,01.09.2025,10823,,,10823
Wohnung,Erstbezug,1850.0,2.0,85.7,9. Geschoss,,10557,,,10557
Wohnung,Erstbezug,1900.0,3.0,86.0,3. Geschoss,,10557,,,10557
Wohnung,Erstbezug,2100.0,5.0,154.0,3. Geschoss,sofort,14621,,,14621
Wohnung,Erstbezug,2170.0,3.0,110.8,4. Geschoss,,10557,,,10557
Wohnung,Erstbezug,2220.0,3.0,88.6,6. Geschoss,,10557,,,10557
Wohnung,,564.0,2.0,48.5,2. Geschoss,,13347,,,13347
Wohnung,,775.0,1.0,38.7,2. Geschoss,,14193,,,14193
Wohnung,,2385.0,3.0,98.3,4. Geschoss,,10785,,,10785
Wohnung,,1564.0,2.0,62.1,3. Geschoss,,10785,,,10785
Wohnung,,1742.0,2.0,67.7,6. Geschoss,,10785,,,10785
,,4056.0,2.0,104.0,6. Geschoss,,10117,,,10117
Wohnung,,1785.0,2.0,51.0,6. Geschoss,,10117,,,10117
,,8610.0,3.0,205.0,6. Geschoss,,10117,,,10117
Wohnung,,1750.0,2.0,70.7,3. Geschoss,,10713,,,10713
Wohnung,,2950.0,3.0,96.0,4. Geschoss,,10709,,,10709
Wohnung,,1750.0,2.0,41.8,4. Geschoss,sofort,10117,,,10117
Wohnung,,3140.0,4.0,119.4,3. Geschoss,sofort,10117,,,10117
Wohnung,,1235.0,2.0,67.0,1. Geschoss,,13086,,,13086
Wohnung,,2305.0,3.0,96.7,7. Geschoss,01.09.2025,10437,,,10437
Studio,Erstbezug,2164.0,4.0,104.8,1. Geschoss,01.10.2025,13088,,,13088
Haus,Erstbezug,2100.0,5.0,154.0,,sofort,14621,,,14621
Wohnung,,2500.0,5.0,124.0,1. Geschoss,sofort,13086,,,13086
Wohnung,,1344.0,2.0,57.2,2. Geschoss,,14199,,,14199
Wohnung,,2400.0,4.0,109.8,1. Geschoss,,10437,,,10437
,,2950.0,4.5,190.0,3. Geschoss,,13156,,,13156
Wohnung,,2113.0,4.0,126.5,4. Geschoss,,10179,,,10179
Wohnung,,2435.0,4.0,103.3,6. Geschoss,,10785,,,10785
