type,first_tenant,price,rooms,surface_m2,floor,availability,address,bezirk,city,postal_code
Wohnung,,1581.0,5.0,93.6,4. Geschoss,16.09.2025,13086,,,13086
Wohnung,,983.0,2.0,58.2,4. Geschoss,16.09.2025,13086,,,13086
Wohnung,,1040.0,2.0,57.0,2. Geschoss,,13509,,,13509
Wohnung,,1980.0,3.0,96.0,8. Geschoss,,10965,,,10965
Wohnung,,3467.0,2.0,28.0,,sofort,10119,,,10119
Wohnung,,2506.0,2.0,,,sofort,10969,,,10969
Wohnung,,2064.0,3.0,87.8,1. Geschoss,01.09.2025,10249,,,10249
Wohnung,,385.0,1.0,40.5,15. Geschoss,13.09.2025,13589,,,13589
Wohnung,,790.0,1.0,47.0,EG,,12555,,,12555
Wohnung,Erstbezug,2165.0,5.0,159.0,3. Geschoss,sofort,14621,,,14621
Wohnung,,2950.0,4.0,137.0,2. Geschoss,,10711,,,10711
Wohnung,,2056.0,4.0,103.7,3. Geschoss,,13156,,,13156
Wohnung,,1995.0,3.0,87.0,3. Geschoss,,12459,,,12459
Wohnung,,1252.0,2.0,63.2,5. Geschoss,,10249,,,10249
Wohnung,Erstbezug,517.0,1.0,30.0,6. Geschoss,,12619,,,12619
Wohnung,,3990.0,4.0,190.0,5. Geschoss,sofort,14057,,,14057
Studio,,915.0,2.0,74.0,1. Geschoss,01.09.2025,12623,,,12623
Wohnung,,1493.0,2.0,65.0,3. Geschoss,01.11.2025,10435,,,10435
Wohnung,Erstbezug,1150.0,1.0,37.0,1. Geschoss,,13357,,,13357
Wohnung,,1610.0,3.0,96.0,4. Geschoss,01.10.2025,13581,,,13581
Wohnung,,1300.0,2.0,59.8,EG,01.10.2025,14199,,,14199
Wohnung,,958.0,2.0,64.3,5. Geschoss,,12629,,,12629
Wohnung,,2535.0,6.0,181.1,1. Geschoss,16.08.2025,12207,,,12207
Wohnung,Erstbezug,2100.0,5.0,154.0,3. Geschoss,sofort,14621,,,14621
Studio,,1099.0,2.0,54.5,1. Geschoss,01.11.2025,13055,,,13055
Wohnung,,1690.0,3.0,95.0,4. Geschoss,,13053,,,13053
Studio,,1357.0,3.0,75.4,2. Geschoss,01.10.2025,13055,,,13055
Wohnung,,1500.0,2.0,54.5,2. Geschoss,15.08.2025,10779,,,10779
Wohnung,,1515.0,3.0,81.9,3. Geschoss,,12555,,,12555
Wohnung,Erstbezug,1935.0,3.0,73.5,4. Geschoss,01.09.2025,12159,,,12159
,,2553.0,3.0,127.7,4. Geschoss,,12555,,,12555
Studio,,1679.0,3.0,99.3,6. Geschoss,01.09.2025,13055,,,13055
Wohnung,Erstbezug,732.0,2.0,40.7,2. Geschoss,,12619,,,12619
Wohnung,,1967.0,4.0,116.9,4. Geschoss,,12557,,,12557
Wohnung,,1695.0,4.5,103.8,3. Geschoss,,12557,,,12557
Wohnung,,1320.0,2.0,46.5,1. Geschoss,01.10.2025,10249,,,10249
,Erstbezug,2199.0,4.0,100.0,,,13407,,,13407
Wohnung,,1200.0,3.0,64.0,2. Geschoss,sofort,10407,,,10407
Wohnung,,992.0,2.0,47.2,6. Geschoss,01.10.2025,10963,,,10963
Wohnung,,1256.0,3.0,74.7,,,12557,,,12557
Wohnung,,2400.0,3.0,100.0,,,10179,,,10179
Wohnung,Erstbezug,2165.0,5.0,159.0,3. Geschoss,sofort,14621,,,14621
Wohnung,,1419.0,2.0,81.1,5. Geschoss,01.11.2025,13055,,,13055
Wohnung,,997.0,1.0,36.0,6. Geschoss,01.10.2025,10179,,,10179
,,600.0,1.0,22.0,EG,,13585,,,13585
Wohnung,,1169.0,2.0,51.2,1. Geschoss,,13587,,,13587
Wohnung,Erstbezug,1949.0,3.0,88.8,11. Geschoss,,12099,,,12099
,Erstbezug,1185.0,2.0,65.0,EG,,12527,,,12527
Wohnung,,839.0,1.0,26.6,EG,,12103,,,12103
Wohnung,,1379.0,3.5,81.9,2. Geschoss,,12557,,,12557
Wohnung,,614.0,1.5,48.1,EG,01.09.2025,12555,,,12555
Wohnung,,2670.0,1.0,29.0,,sofort,10969,,,10969
Studio,,2490.0,5.0,150.0,EG,01.09.2025,13589,,,13589
Wohnung,,2400.0,3.0,116.7,6. Geschoss,sofort,10117,,,10117
Wohnung,,1405.0,3.0,81.6,1. Geschoss,,10315,,,10315
Wohnung,Erstbezug,2100.0,5.0,154.0,3. Geschoss,sofort,14621,,,14621
Wohnung,,753.0,1.0,46.4,3. Geschoss,,10315,,,10315
Wohnung,,2278.0,3.0,99.0,1. Geschoss,01.09.2025,13507,,,13507
Wohnung,,1714.0,3.0,81.6,6. Geschoss,01.12.2025,10963,,,10963
Wohnung,,1615.0,3.0,107.4,1. Geschoss,01.09.2025,12163,,,12163
Wohnung,,869.0,1.0,28.6,EG,,12103,,,12103
Wohnung,,1325.0,2.0,62.7,EG,01.10.2025,14199,,,14199
Wohnung,,1090.0,2.0,45.0,2. Geschoss,15.08.2025,10409,,,10409
Wohnung,Erstbezug,2380.0,4.0,125.3,6. Geschoss,01.09.2025,13347,,,13347
Wohnung,,1735.0,2.0,72.0,4. Geschoss,sofort,10243,,,10243
,,1243.0,2.0,60.0,4. Geschoss,,12555,,,12555
Wohnung,,1765.0,2.0,74.0,3. Geschoss,01.09.2025,10243,,,10243
Wohnung,,1763.0,4.0,106.2,4. Geschoss,,10315,,,10315
,,2750.0,5.0,154.0,EG,,13585,,,13585
Wohnung,Erstbezug,1250.0,2.0,45.0,,,12157,,,12157
Wohnung,,2186.0,4.0,131.2,4. Geschoss,01.03.2026,12557,,,12557
Wohnung,,1073.0,1.0,37.0,4. Geschoss,,10437,,,10437
Wohnung,,1066.0,2.0,64.3,,,12557,,,12557
,Erstbezug,2100.0,5.0,154.0,,sofort,14621,,,14621
,,899.0,1.0,36.0,4. Geschoss,01.09.2025,10439,,,10439
Wohnung,,870.0,1.0,47.0,2. Geschoss,sofort,12059,,,12059
Wohnung,,870.0,1.0,47.0,1. Geschoss,sofort,12059,,,12059
Wohnung,,1052.0,2.0,63.5,2. Geschoss,,12557,,,12557
Wohnung,Erstbezug,1550.0,3.0,70.6,3. Geschoss,,13357,,,13357
Wohnung,,1762.0,3.0,96.6,EG,,13158,,,13158
Wohnung,,740.0,1.0,40.0,3. Geschoss,sofort,12059,,,12059
Wohnung,,1724.0,4.0,127.7,EG,,13467,,,13467
Wohnung,,1501.0,3.0,84.0,3. Geschoss,sofort,10589,,,10589
WG,,450.0,,10.0,3. Geschoss,,10117,,,10117
Wohnung,,1086.0,2.0,59.0,3. Geschoss,,13158,,,13158
Wohnung,Erstbezug,2040.0,3.0,88.6,4. Geschoss,,10557,,,10557
Studio,Erstbezug,1299.0,2.0,67.5,5. Geschoss,sofort,13055,,,13055
,Erstbezug,2100.0,5.0,154.0,,sofort,14621,,,14621
Wohnung,,582.0,2.0,68.6,4. Geschoss,16.08.2025,12309,,,12309
Wohnung,,1600.0,4.0,100.0,1. Geschoss,,12277,,,12277
Wohnung,,1400.0,2.0,50.7,4. Geschoss,sofort,10243,,,10243
Wohnung,,1260.0,2.0,64.0,,,13351,,,13351
WG,,676.0,,75.0,2. Geschoss,sofort,10557,,,10557
Wohnung,,1000.0,2.0,55.5,1. Geschoss,sofort,13591,,,13591
Wohnung,,1994.0,4.0,129.9,1. Geschoss,,12161,,,12161
Wohnung,,1810.0,3.0,88.9,1. Geschoss,sofort,12277,,,12277
Wohnung,,579.0,2.0,70.2,5. Geschoss,01.09.2025,13587,,,13587
Wohnung,,529.0,2.0,65.7,2. Geschoss,01.09.2025,12309,,,12309
Wohnung,,684.0,3.0,80.6,4. Geschoss,16.08.2025,12309,,,12309
Wohnung,,394.0,1.0,47.8,1. Geschoss,16.08.2025,12309,,,12309
Wohnung,,653.0,2.0,71.1,8. Geschoss,01.09.2025,14055,,,14055
,,1449.0,4.0,125.0,13. Geschoss,01.09.2025,14055,,,14055
,,2190.0,2.0,148.7,7. Geschoss,,10117,,,10117
Wohnung,,369.0,1.0,42.8,3. Geschoss,01.09.2025,12309,,,12309
Wohnung,,2095.0,3.0,86.7,EG,sofort,10249,,,10249
Wohnung,,849.0,2.0,53.1,1. Geschoss,,12529,,,12529
Wohnung,,1600.0,3.0,75.0,2. Geschoss,01.09.2025,12159,,,12159
Haus,,2489.0,5.0,138.3,,sofort,13059,,,13059
Wohnung,,3700.0,3.0,169.0,,,10179,,,10179
Studio,,2050.0,3.0,88.0,EG,,12205,,,12205
Wohnung,Erstbezug,1623.0,2.0,71.4,EG,01.10.2025,13088,,,13088
Wohnung,,709.0,1.0,36.9,5. Geschoss,,13435,,,13435
Wohnung,,2250.0,2.0,91.0,6. Geschoss,,10557,,,10557
Studio,,421.0,1.0,18.5,5. Geschoss,14.08.2025,12459,,,12459
Studio,,854.0,1.0,29.7,4. Geschoss,14.08.2025,10315,,,10315
Studio,,859.0,1.0,22.4,15. Geschoss,01.09.2025,10557,,,10557
Studio,,963.0,1.0,27.6,4. Geschoss,01.11.2025,12435,,,12435
Studio,,1134.0,1.0,37.2,4. Geschoss,01.11.2025,12435,,,12435
Studio,,1108.0,1.0,39.3,4. Geschoss,01.11.2025,10315,,,10315
Wohnung,,949.0,2.0,62.6,2. Geschoss,,16761,,,16761
Studio,,2027.0,2.0,56.1,1. Geschoss,01.11.2025,10557,,,10557
Studio,,535.0,1.0,12.1,1. Geschoss,16.10.2025,12459,,,12459
Studio,,315.0,1.0,11.9,5. Geschoss,14.08.2025,12459,,,12459
Studio,,550.0,1.0,11.0,2. Geschoss,01.10.2025,12459,,,12459
Studio,,700.0,1.0,29.7,4. Geschoss,14.08.2025,10315,,,10315
Studio,,1295.0,2.0,67.2,1. Geschoss,14.08.2025,10119,,,10119
Studio,,1795.0,4.0,89.8,2. Geschoss,14.08.2025,10437,,,10437
Studio,,1795.0,4.0,89.8,2. Geschoss,14.08.2025,10243,,,10243
Studio,,1795.0,4.0,89.8,2. Geschoss,14.08.2025,10999,,,10999
Studio,,1645.0,3.0,85.8,4. Geschoss,14.08.2025,10437,,,10437
Studio,,1645.0,3.0,85.8,4. Geschoss,14.08.2025,10119,,,10119
Studio,,1645.0,3.0,85.8,4. Geschoss,14.08.2025,10243,,,10243
Studio,,1645.0,3.0,85.8,4. Geschoss,14.08.2025,10999,,,10999
Studio,,1295.0,2.0,67.2,1. Geschoss,14.08.2025,10437,,,10437
Studio,,1795.0,4.0,89.8,2. Geschoss,14.08.2025,10119,,,10119
Studio,,1295.0,2.0,67.2,1. Geschoss,14.08.2025,10243,,,10243
Studio,,1295.0,2.0,67.2,1. Geschoss,14.08.2025,10999,,,10999
Haus,Erstbezug,2100.0,5.0,154.0,,sofort,14621,,,14621
Studio,,547.0,1.0,16.9,2. Geschoss,01.10.2025,12459,,,12459
Studio,,330.0,1.0,11.0,2. Geschoss,14.08.2025,12459,,,12459
Studio,,541.0,1.0,18.5,3. Geschoss,01.10.2025,12459,,,12459
Studio,,305.0,1.0,10.0,5. Geschoss,14.08.2025,12459,,,12459
Studio,,553.0,1.0,19.2,2. Geschoss,01.10.2025,12459,,,12459
Studio,,531.0,1.0,18.4,2. Geschoss,01.10.2025,12459,,,12459
Studio,,857.0,1.0,33.6,5. Geschoss,01.10.2025,10315,,,10315
Studio,,540.0,1.0,10.0,5. Geschoss,01.10.2025,12459,,,12459
Studio,,1030.0,2.0,46.8,6. Geschoss,14.08.2025,10557,,,10557
Studio,,741.0,1.0,18.6,3. Geschoss,01.10.2025,12459,,,12459
Studio,,1270.0,2.0,47.5,4. Geschoss,01.10.2025,10557,,,10557
Studio,,1427.0,2.0,47.2,1. Geschoss,01.10.2025,10179,,,10179
Studio,,537.0,1.0,17.0,4. Geschoss,01.09.2025,12459,,,12459
,Erstbezug,2100.0,5.0,154.0,,sofort,14621,,,14621
Studio,,924.0,1.0,22.4,11. Geschoss,01.10.2025,10557,,,10557
Studio,,733.0,1.0,29.2,5. Geschoss,14.08.2025,10315,,,10315
Studio,,580.0,1.0,11.0,2. Geschoss,01.10.2025,12459,,,12459
Studio,,534.0,1.0,12.0,2. Geschoss,01.10.2025,12459,,,12459
Studio,,558.0,1.0,20.4,4. Geschoss,01.09.2025,12459,,,12459
Studio,,775.0,1.0,32.0,4. Geschoss,01.10.2025,12555,,,12555
Studio,,733.0,1.0,29.7,8. Geschoss,14.08.2025,10315,,,10315
Studio,,875.0,1.0,29.7,8. Geschoss,01.10.2025,10315,,,10315
Studio,,875.0,1.0,29.7,8. Geschoss,01.10.2025,10315,,,10315
Studio,,932.0,1.0,39.3,3. Geschoss,01.09.2025,10315,,,10315
Studio,,733.0,1.0,29.7,8. Geschoss,01.09.2025,10315,,,10315
Studio,,534.0,1.0,17.7,1. Geschoss,01.09.2025,12459,,,12459
Studio,,1309.0,2.0,53.6,3. Geschoss,14.08.2025,10439,,,10439
Studio,,1284.0,2.0,53.6,3. Geschoss,14.08.2025,10439,,,10439
Studio,,509.0,1.0,21.5,4. Geschoss,14.08.2025,12459,,,12459
Studio,,1117.0,1.0,36.7,3. Geschoss,01.10.2025,10439,,,10439
Studio,,336.0,1.0,17.3,4. Geschoss,14.08.2025,12459,,,12459
,Erstbezug,2100.0,5.0,154.0,,sofort,14621,,,14621
Studio,,570.0,1.0,11.8,2. Geschoss,01.09.2025,12459,,,12459
Studio,,575.0,1.0,25.2,1. Geschoss,14.08.2025,10315,,,10315
Studio,,711.0,1.0,25.2,2. Geschoss,01.09.2025,10315,,,10315
Studio,,679.0,1.0,33.0,1. Geschoss,14.08.2025,13129,,,13129
Wohnung,,837.0,2.0,61.6,,01.09.2025,14163,,,14163
Wohnung,,2099.0,5.0,141.9,EG,,12589,,,12589
Studio,Erstbezug,1549.0,3.0,69.6,1. Geschoss,01.10.2025,13088,,,13088
Wohnung,,1490.0,2.0,67.7,1. Geschoss,01.10.2025,12555,,,12555
Wohnung,,1174.0,2.0,66.8,2. Geschoss,,12557,,,12557
Wohnung,Erstbezug,1560.0,3.0,76.1,2. Geschoss,01.09.2025,12105,,,12105
Wohnung,Erstbezug,1995.0,4.0,93.5,1. Geschoss,,10779,,,10779
Studio,Erstbezug,1755.0,3.0,81.1,1. Geschoss,01.10.2025,13088,,,13088
Studio,Erstbezug,1771.0,3.0,81.8,1. Geschoss,01.10.2025,13088,,,13088
Haus,Erstbezug,2165.0,5.0,159.0,,sofort,14621,,,14621
Wohnung,,1390.0,2.0,65.0,1. Geschoss,,12589,,,12589
Wohnung,,1600.0,3.0,100.0,1. Geschoss,,12489,,,12489
Wohnung,,1778.0,3.0,89.5,2. Geschoss,01.10.2025,12587,,,12587
Wohnung,Erstbezug,3238.0,4.0,102.4,,sofort,10439,,,10439
Wohnung,Erstbezug,1295.0,2.0,58.0,1. Geschoss,sofort,10779,,,10779
,,3500.0,7.0,200.0,,01.09.2025,14089,,,14089
Wohnung,,1840.0,3.0,97.0,1. Geschoss,,13629,,,13629
Wohnung,,1830.0,3.0,96.0,3. Geschoss,,13629,,,13629
Wohnung,Erstbezug,1280.0,2.0,63.6,EG,,12527,,,12527
Wohnung,,821.0,2.0,64.9,1. Geschoss,sofort,13127,,,13127
Wohnung,,800.0,2.0,52.3,EG,sofort,13591,,,13591
Wohnung,Erstbezug,1360.0,3.0,63.3,3. Geschoss,01.11.2025,12439,,,12439
Wohnung,,1350.0,2.0,64.0,,01.09.2025,10247,,,10247
Wohnung,Erstbezug,999.0,1.0,46.0,3. Geschoss,,10827,,,10827
Studio,,752.0,1.0,16.9,EG,01.10.2025,12459,,,12459
Studio,,1800.0,3.0,71.0,EG,15.08.2025,12047,,,12047
Studio,,1200.0,2.0,52.0,EG,01.10.2025,13187,,,13187
Wohnung,Erstbezug,2165.0,5.0,159.0,3. Geschoss,sofort,14621,,,14621
Studio,,550.0,1.0,10.5,EG,01.10.2025,12459,,,12459
Studio,,550.0,1.0,12.0,EG,01.11.2025,12459,,,12459
Studio,,545.0,1.0,11.9,EG,01.10.2025,12459,,,12459
Studio,,1391.0,2.0,60.0,EG,15.08.2025,12435,,,12435
Studio,,528.0,1.0,19.3,EG,01.09.2025,12459,,,12459
Studio,,1907.0,2.0,72.6,EG,01.09.2025,10245,,,10245
Studio,,1333.0,2.0,47.0,EG,01.09.2025,10179,,,10179
Studio,,315.0,1.0,13.8,EG,14.08.2025,12459,,,12459
Wohnung,,1233.0,2.0,61.7,2. Geschoss,sofort,12203,,,12203
Wohnung,,900.0,1.0,32.0,,,10559,,,10559
WG,,1200.0,,24.0,,01.09.2025,10557,,,10557
Wohnung,,1390.0,2.0,61.0,2. Geschoss,sofort,12489,,,12489
Wohnung,,720.0,1.0,36.0,2. Geschoss,01.09.2025,12524,,,12524
Wohnung,Erstbezug,2100.0,5.0,154.0,3. Geschoss,sofort,14621,,,14621
,,1600.0,4.0,122.0,Souterrain,sofort,12277,,,12277
,Erstbezug,1785.0,3.0,89.2,EG,sofort,12527,,,12527
Wohnung,,1880.0,3.0,81.0,3. Geschoss,,10787,,,10787
Wohnung,,5000.0,4.0,146.0,,,10405,,,10405
Wohnung,,360.0,1.5,47.9,4. Geschoss,13.09.2025,13599,,,13599
Wohnung,,1263.0,3.0,66.3,3. Geschoss,,12555,,,12555
Wohnung,,1150.0,1.0,30.0,5. Geschoss,,10625,,,10625
Wohnung,,3149.0,3.0,149.7,1. Geschoss,,10405,,,10405
Wohnung,Erstbezug,2145.0,4.0,102.2,1. Geschoss,sofort,12527,,,12527
Wohnung,,3385.0,3.0,104.5,3. Geschoss,,10115,,,10115
,,1909.0,4.0,118.9,,01.12.2025,13127,,,13127
Wohnung,,1600.0,2.0,60.0,3. Geschoss,sofort,10243,,,10243
Wohnung,,959.0,2.5,44.6,2. Geschoss,,13357,,,13357
Wohnung,,808.0,1.5,57.6,4. Geschoss,sofort,12353,,,12353
Wohnung,Erstbezug,1200.0,2.0,49.7,EG,,12557,,,12557
Wohnung,,1761.0,3.0,130.5,,,13587,,,13587
Wohnung,Erstbezug,1714.0,3.0,85.7,EG,sofort,12527,,,12527
Wohnung,,1349.0,4.0,96.4,3. Geschoss,,12529,,,12529
Wohnung,,1270.0,1.0,39.7,EG,,10115,,,10115
Wohnung,,1188.0,4.0,91.4,3. Geschoss,,13089,,,13089
WG,,650.0,,65.0,2. Geschoss,,12355,,,12355
Wohnung,,3541.0,4.0,190.2,4. Geschoss,,10178,,,10178
Wohnung,,2120.0,4.0,111.0,2. Geschoss,,13629,,,13629
Wohnung,,1780.0,4.0,94.0,2. Geschoss,,13629,,,13629
,,2110.0,3.0,100.5,3. Geschoss,sofort,13156,,,13156
Wohnung,Erstbezug,2831.0,3.0,91.7,6. Geschoss,sofort,10249,,,10249
Wohnung,,3000.0,3.0,117.0,EG,,14195,,,14195
Wohnung,,599.0,3.0,75.9,5. Geschoss,31.08.2025,13593,,,13593
Wohnung,,599.0,3.0,75.9,1. Geschoss,01.09.2025,13593,,,13593
Wohnung,,592.0,3.0,75.0,1. Geschoss,01.09.2025,13593,,,13593
Wohnung,,599.0,3.0,75.9,3. Geschoss,31.08.2025,13593,,,13593
Wohnung,,849.0,2.0,53.1,1. Geschoss,,12529,,,12529
Wohnung,,959.0,2.0,66.8,,,13587,,,13587
Wohnung,,1395.0,2.0,62.0,5. Geschoss,,10717,,,10717
Wohnung,,3006.0,5.0,103.0,,sofort,10439,,,10439
Wohnung,,1740.0,4.0,91.0,1. Geschoss,,13629,,,13629
Wohnung,,1050.0,1.0,43.8,5. Geschoss,sofort,10827,,,10827
WG,,549.0,,25.0,,,14193,,,14193
,,1695.0,4.0,102.0,,,13503,,,13503
Wohnung,,489.0,2.0,51.8,2. Geschoss,01.09.2025,13593,,,13593
