trip_id,arrival_time,departure_time,route_id,service_id,direction_id,agency_id,route_short_name,route_type,agency_name,agency_url,stop_lat,stop_lon,zone_id
262718848,13:39:00,13:39:00,15068_3,274,0,32,848,bus,oberhavel_verkehrsgesellschaft_mbh,https://www.ovg-online.de,53.194556,13.043504,"4051_steinförde,_großmenow"
262718851,15:20:00,15:20:00,15068_3,1132,0,32,848,bus,oberhavel_verkehrsgesellschaft_mbh,https://www.ovg-online.de,53.186056,13.140349,"4052_fürstenberg_(havel),_bahnhof"
262718851,15:21:00,15:21:00,15068_3,1132,0,32,848,bus,oberhavel_verkehrsgesellschaft_mbh,https://www.ovg-online.de,53.18523,13.144512,"4052_fürstenberg_(havel),_markt"
262718851,15:23:00,15:23:00,15068_3,1132,0,32,848,bus,oberhavel_verkehrsgesellschaft_mbh,https://www.ovg-online.de,53.191016,13.141724,"4052_fürstenberg_(havel),_tunnel"
262718851,15:24:00,15:24:00,15068_3,1132,0,32,848,bus,oberhavel_verkehrsgesellschaft_mbh,https://www.ovg-online.de,53.190993,13.128139,"4052_fürstenberg_(havel),_röblinsee_nord"
262718851,15:26:00,15:26:00,15068_3,1132,0,32,848,bus,oberhavel_verkehrsgesellschaft_mbh,https://www.ovg-online.de,53.193811,13.106253,"4051_fürstenberg_(havel),_steinhavelmühle"
262718851,15:28:00,15:28:00,15068_3,1132,0,32,848,bus,oberhavel_verkehrsgesellschaft_mbh,https://www.ovg-online.de,53.199697,13.082898,"4051_steinförde,_kleinmenow"
262718851,15:31:00,15:31:00,15068_3,1132,0,32,848,bus,oberhavel_verkehrsgesellschaft_mbh,https://www.ovg-online.de,53.187947,13.090547,"4051_steinförde,_brücke"
262718851,15:36:00,15:36:00,15068_3,1132,0,32,848,bus,oberhavel_verkehrsgesellschaft_mbh,https://www.ovg-online.de,53.194556,13.043504,"4051_steinförde,_großmenow"
262718854,15:22:00,15:22:00,15068_3,274,0,32,848,bus,oberhavel_verkehrsgesellschaft_mbh,https://www.ovg-online.de,53.186056,13.140349,"4052_fürstenberg_(havel),_bahnhof"
262718854,15:23:00,15:23:00,15068_3,274,0,32,848,bus,oberhavel_verkehrsgesellschaft_mbh,https://www.ovg-online.de,53.18523,13.144512,"4052_fürstenberg_(havel),_markt"
262718854,15:25:00,15:25:00,15068_3,274,0,32,848,bus,oberhavel_verkehrsgesellschaft_mbh,https://www.ovg-online.de,53.191016,13.141724,"4052_fürstenberg_(havel),_tunnel"
262718854,15:26:00,15:26:00,15068_3,274,0,32,848,bus,oberhavel_verkehrsgesellschaft_mbh,https://www.ovg-online.de,53.190993,13.128139,"4052_fürstenberg_(havel),_röblinsee_nord"
262718854,15:28:00,15:28:00,15068_3,274,0,32,848,bus,oberhavel_verkehrsgesellschaft_mbh,https://www.ovg-online.de,53.193811,13.106253,"4051_fürstenberg_(havel),_steinhavelmühle"
262718854,15:30:00,15:30:00,15068_3,274,0,32,848,bus,oberhavel_verkehrsgesellschaft_mbh,https://www.ovg-online.de,53.199697,13.082898,"4051_steinförde,_kleinmenow"
262718854,15:33:00,15:33:00,15068_3,274,0,32,848,bus,oberhavel_verkehrsgesellschaft_mbh,https://www.ovg-online.de,53.187947,13.090547,"4051_steinförde,_brücke"
262718854,15:38:00,15:38:00,15068_3,274,0,32,848,bus,oberhavel_verkehrsgesellschaft_mbh,https://www.ovg-online.de,53.194556,13.043504,"4051_steinförde,_großmenow"
262718853,16:00:00,16:00:00,15068_3,274,0,32,848,bus,oberhavel_verkehrsgesellschaft_mbh,https://www.ovg-online.de,53.186056,13.140349,"4052_fürstenberg_(havel),_bahnhof"
262718853,16:01:00,16:01:00,15068_3,274,0,32,848,bus,oberhavel_verkehrsgesellschaft_mbh,https://www.ovg-online.de,53.18523,13.144512,"4052_fürstenberg_(havel),_markt"
262718853,16:03:00,16:03:00,15068_3,274,0,32,848,bus,oberhavel_verkehrsgesellschaft_mbh,https://www.ovg-online.de,53.191016,13.141724,"4052_fürstenberg_(havel),_tunnel"
262718853,16:04:00,16:04:00,15068_3,274,0,32,848,bus,oberhavel_verkehrsgesellschaft_mbh,https://www.ovg-online.de,53.190993,13.128139,"4052_fürstenberg_(havel),_röblinsee_nord"
262718853,16:06:00,16:06:00,15068_3,274,0,32,848,bus,oberhavel_verkehrsgesellschaft_mbh,https://www.ovg-online.de,53.193811,13.106253,"4051_fürstenberg_(havel),_steinhavelmühle"
262718853,16:08:00,16:08:00,15068_3,274,0,32,848,bus,oberhavel_verkehrsgesellschaft_mbh,https://www.ovg-online.de,53.199697,13.082898,"4051_steinförde,_kleinmenow"
262718853,16:11:00,16:11:00,15068_3,274,0,32,848,bus,oberhavel_verkehrsgesellschaft_mbh,https://www.ovg-online.de,53.187947,13.090547,"4051_steinförde,_brücke"
