osm_type,osm_id,name,website,opening_hours,addr_street,addr_housenumber,addr_postcode,addr_city,lat,lon,wheelchair,operator,brand,start_date,level,source
way,32269730,Staaken-Center,,Mo - Fr 9:00 - 20:00; Sa 9:00 - 18:00,Obstallee,28-30,13593,Berlin,52.5220475,13.1642048,yes,,,,,OSM Overpass
way,32509599,RiZ,,,,,,,52.5701517,13.4957402,limited,,,,,OSM Overpass
way,32574854,Marktplatz-Center,,,,,,,52.5379642,13.6054811,yes,,,,,OSM Overpass
way,32651656,Kant Center,,,,,,,52.5062764,13.3074406,,,,,,OSM Overpass
way,34000362,Marzahner Promenade,,,,,,,52.5459511,13.5551681,yes,,,,,OSM Overpass
way,34113800,Marzahner Promenade,,,Marzahner Promenade,"41,42,43",,,52.5454448,13.5529516,yes,,,,,OSM Overpass
way,34146669,Fußgängerzone Marzahner Promenade,,24/7,,,,,52.5447834,13.5506173,,,,,,OSM Overpass
way,34348766,Marzahner Promenade,,,,,,,52.5427654,13.5443144,yes,,,,,OSM Overpass
way,35092463,Welsegalerie 1,,,,,,,52.5668795,13.5277286,,,,,,OSM Overpass
way,35160810,Kaiser-Wilhelm-Passage,,,,,,,52.4858474,13.3570245,yes,,,,,OSM Overpass
way,39674922,Hermann Quartier,,,Hermannstraße,158,12051,Berlin,52.4673083,13.4325301,yes,,,,,OSM Overpass
way,42500531,Forum Kienberg,,,,,,,52.5295065,13.5927133,limited,,,,,OSM Overpass
way,42738239,Zehlendorfer Welle,,,Clayallee,328-334,14169,Berlin,52.4377344,13.2632365,,,,,,OSM Overpass
way,47282874,Spree Center,https://spree-center-berlin.de/,Mo-Fr 09:00-19:30; Sa 09:00-16:00,Hellersdorfer Straße,77-83,12619,Berlin,52.5233607,13.5862763,limited,,,,,OSM Overpass
way,47282925,Spree Center,https://spree-center-berlin.de/,Mo-Sa 09:00-19:30; Su 09:00-16:00,Hellersdorfer Straße,77-83,12619,Berlin,52.5223853,13.5868785,yes,,,,,OSM Overpass
way,47283010,Spree Center,,Mo-Fr 09:00-19:00; Sa 09:00-16:00,,,,,52.5212158,13.5871897,limited,,,,,OSM Overpass
way,48395703,Nordmeile,http://www.nordmeile-berlin.de,Mo-Sa 08:00-20:00,Oraniendamm,6-10,13469,,52.6074351,13.3259022,limited,,,,,OSM Overpass
way,48990546,Markthalle Tempelhof,,,Tempelhofer Damm,198-200,12099,Berlin,52.4587641,13.3830395,yes,,,,,OSM Overpass
way,75405910,Cittipoint,,Mo-Sa 08:00-20:00,Müllerstraße,141,13353,Berlin,52.548852,13.3538334,yes,,,,,OSM Overpass
way,88716001,LIO,,,,,,,52.4294707,13.3295789,yes,,,,,OSM Overpass
way,105154993,Ackerhalle,,Mo-Sa 07:00-23:00,,,,,52.5320908,13.3970391,yes,,,1886..1888,,OSM Overpass
