osm_type,osm_id,name_left,website,opening_hours,addr_street,addr_housenumber,addr_postcode,addr_city,lat,lon,wheelchair,operator,brand,start_date,level,source,geometry,index__district,name__district,gem_left,namgem_left,namlan_left,lan_left,index__neigh,name,gem__neigh,namgem__neigh,namlan__neigh,lan__neigh
way,25945412,Quartier 206,,,Friedrichstraße,71,10117.0,Berlin,52.5134734,13.3900198,yes,,,,,OSM Overpass,POINT (13.3900198 52.5134734),,,,,,,,,,,,
way,26006285,Forum Zehlendorf,,,Teltower Damm,35,14169.0,Berlin,52.4315665,13.2597197,yes,,,,,OSM Overpass,POINT (13.2597197 52.4315665),,,,,,,,,,,,
way,26031057,Hansa-Center,,,Hansastraße,236,13051.0,Berlin,52.5606664,13.4991707,yes,,,,,OSM Overpass,POINT (13.4991707 52.5606664),,,,,,,,,,,,
way,26285059,Allende-Center,http://www.allende-center.com,Mo-Sa 07:00-22:00,Pablo-Neruda-Straße,2-4,12559.0,Berlin,52.4416816,13.5874125,yes,,,,,OSM Overpass,POINT (13.5874125 52.4416816),,,,,,,,,,,,
way,26495015,Ring-Center 3,https://www.ring-center.de/,Mo-Sa 10:00-21:00,Frankfurter Allee,113-117,10365.0,Berlin,52.5139121,13.4764056,limited,,,,,OSM Overpass,POINT (13.4764056 52.5139121),,,,,,,,,,,,
way,28504026,Schloss 110,,,Schloßstraße,109-110,12163.0,Berlin,52.4609543,13.325446,yes,,,,,OSM Overpass,POINT (13.325446 52.4609543),,,,,,,,,,,,
way,28504291,Das Schloss,https://www.dasschloss.de/,Mo-Sa 10:00-20:00,Schloßstraße,34,12163.0,Berlin,52.4578032,13.3202814,yes,,,,,OSM Overpass,POINT (13.3202814 52.4578032),,,,,,,,,,,,
way,28505596,Forum Steglitz,,Mo-Sa 10:00-20:00,Schloßstraße,1,12163.0,Berlin,52.4647526,13.3263683,yes,,,,,OSM Overpass,POINT (13.3263683 52.4647526),,,,,,,,,,,,
way,28505733,Schloss-Straßen-Center,https://www.schloss-strassen-center.de/,Mo-Sa 10:00-20:00,Walther-Schreiber-Platz,1,12161.0,Berlin,52.4654525,13.3275815,yes,,,,,OSM Overpass,POINT (13.3275815 52.4654525),,,,,,,,,,,,
way,28700227,Tal-Center,,Mo-Fr 07:30-19:00; Sa 07:30-14:00,Oberweißbacher Straße,7;9,12687.0,Berlin,52.5571877,13.5703651,yes,,,,,OSM Overpass,POINT (13.5703651 52.5571877),,,,,,,,,,,,
way,29406321,Welsegalerie 2,,,Vincent-van-Gogh-Straße,18A,13057.0,Berlin,52.5648336,13.5235325,,,,,,OSM Overpass,POINT (13.5235325 52.5648336),,,,,,,,,,,,
way,30452383,Wilma,https://www.wilmersdorfer-arcaden.de/,,Wilmersdorfer Straße,46,10627.0,Berlin,52.5090723,13.3050827,yes,,,,,OSM Overpass,POINT (13.3050827 52.5090723),,,,,,,,,,,,
way,30675878,Seddiner Passagen,,,Seddiner Straße,8,10315.0,Berlin,52.5136392,13.5216873,yes,,,,,OSM Overpass,POINT (13.5216873 52.5136392),,,,,,,,,,,,
