id,schluessel,bezirk,gebietsname,f_gvbl_dat,f_in_kraft,ae_gvbldat,ae_inkraft,fl_in_ha
erhaltgeb_es.ES0608,ES0608,Steglitz-Zehlendorf,B-Plan X-B 2e,2011-12-30,2011-12-31,,,45.8
erhaltgeb_es.ES0609,ES0609,Steglitz-Zehlendorf,B-Plan X-B 7,2006-07-07,2006-07-08,,,43.5
erhaltgeb_es.ES0610,ES0610,Steglitz-Zehlendorf,B-Plan X-B 8,2005-07-05,2005-07-06,,,36.8
erhaltgeb_es.ES0611,ES0611,Steglitz-Zehlendorf,B-Plan X-B 9,2005-12-02,2005-12-03,,,37.0
erhaltgeb_es.ES0612,ES0612,Steglitz-Zehlendorf,B-Plan X-B 10,2005-12-02,2005-12-03,,,47.1
erhaltgeb_es.ES0613,ES0613,Steglitz-Zehlendorf,B-Plan X-B 11,2006-07-07,2006-07-08,,,44.7
erhaltgeb_es.ES0614,ES0614,Steglitz-Zehlendorf,B-Plan X-B 12,2006-07-07,2006-07-08,,,54.3
erhaltgeb_es.ES0615,ES0615,Steglitz-Zehlendorf,B-Plan X-B 16,2012-03-10,2012-03-11,,,26.9
erhaltgeb_es.ES0616,ES0616,Steglitz-Zehlendorf,B-Plan X-B 18,2017-11-23,2017-11-24,,,48.5
erhaltgeb_es.ES0617,ES0617,Steglitz-Zehlendorf,B-Plan X-B 21,2003-10-30,2004-10-31,,,17.3
erhaltgeb_es.ES0618,ES0618,Steglitz-Zehlendorf,B-Plan 6-34 B,2020-01-30,2020-01-31,,,27.5
erhaltgeb_es.ES0701,ES0701,Tempelhof-Schöneberg,Friedenau,1986-07-24,1986-07-25,1988-10-06,1988-10-07,51.5
erhaltgeb_es.ES0702,ES0702,Tempelhof-Schöneberg,Neu-Tempelhof,1991-09-11,1991-09-12,,,99.1
erhaltgeb_es.ES0703,ES0703,Tempelhof-Schöneberg,Alt-Lichtenrade,1995-07-15,1995-07-16,,,1.4
erhaltgeb_es.ES0704,ES0704,Tempelhof-Schöneberg,Abendrotsiedlung,1996-11-13,1996-11-14,,,6.4
erhaltgeb_es.ES0705,ES0705,Tempelhof-Schöneberg,Wolframsiedlung,2000-09-16,2000-09-17,,,6.2
erhaltgeb_es.ES0706,ES0706,Tempelhof-Schöneberg,"Stadtrandsiedlung Marienfelde I, II und III",2001-06-16,2001-06-17,,,37.4
erhaltgeb_es.ES0707,ES0707,Tempelhof-Schöneberg,Maaßenstraße,2010-11-06,2010-11-07,,,3.0
erhaltgeb_es.ES0708,ES0708,Tempelhof-Schöneberg,Alt-Lichtenrade,1981-03-24,1981-03-25,,,3.5
erhaltgeb_es.ES0801,ES0801,Neukölln,Rixdorf,1986-11-29,1986-11-30,1989-06-15,1989-06-16,8.4
erhaltgeb_es.ES0802,ES0802,Neukölln,Schillerpromenade,1996-07-09,1996-07-10,2001-10-06,2001-10-07,42.6
erhaltgeb_es.ES0803,ES0803,Neukölln,Krugpfuhlsiedlung,2008-11-01,2008-11-02,,,15.6
erhaltgeb_es.ES0804,ES0804,Neukölln,Ortskern Rudow,2008-11-01,2008-11-02,,,15.8
erhaltgeb_es.ES0901,ES0901,Treptow-Köpenick,Altstadt Köpenick,1993-03-12,1993-03-13,,,18.7
erhaltgeb_es.ES0902,ES0902,Treptow-Köpenick,Kietz-Vorstadt,1993-03-12,1993-03-13,,,6.4
erhaltgeb_es.ES0903,ES0903,Treptow-Köpenick,Friedrichshagen,1993-03-12,1993-03-13,,,95.5
erhaltgeb_es.ES0904,ES0904,Treptow-Köpenick,Oberschöneweide,2004-12-22,2004-12-23,,,89.8
erhaltgeb_es.ES0905,ES0905,Treptow-Köpenick,Hirschgarten,1999-07-27,1999-07-28,,,14.6
erhaltgeb_es.ES0906,ES0906,Treptow-Köpenick,Alter Dorfkern Rahnsdorf,2001-01-25,2001-01-26,,,5.8
erhaltgeb_es.ES0907,ES0907,Treptow-Köpenick,Teilbereich Hessenwinkel,2001-04-21,2001-04-22,,,39.8
erhaltgeb_es.ES0908,ES0908,Treptow-Köpenick,Wilhelmshagen,2001-04-21,2001-04-22,,,40.8
erhaltgeb_es.ES0909,ES0909,Treptow-Köpenick,Pflanzgartensiedlung,2004-11-16,2004-11-17,,,14.7
erhaltgeb_es.ES0910,ES0910,Treptow-Köpenick,Wohnanlage Dammweg,2007-09-20,2007-09-21,,,1.5
erhaltgeb_es.ES0911,ES0911,Treptow-Köpenick,Dorfkern Alt-Müggelheim,2008-03-06,2008-03-07,,,7.0
erhaltgeb_es.ES0912,ES0912,Treptow-Köpenick,Mahlsdorfer Straße 54 bis 61 und Genovevastraße 2,2020-12-24,2020-12-25,,,0.9
erhaltgeb_es.ES1101,ES1101,Lichtenberg,Dorf Malchow,1993-11-09,1993-11-10,2018-11-06,2018-11-07,47.4
erhaltgeb_es.ES1102,ES1102,Lichtenberg,Dorf Wartenberg,1993-11-09,1993-11-10,,,26.7
erhaltgeb_es.ES1103,ES1103,Lichtenberg,Dorf Falkenberg,1993-11-09,1993-11-10,,,34.9
erhaltgeb_es.ES1104,ES1104,Lichtenberg,Kaskelstraße / Viktoriastadt,1997-11-04,1997-11-05,2004-12-22,2004-12-23,28.1
erhaltgeb_es.ES1105,ES1105,Lichtenberg,Seen- / Prinzenviertel,1999-03-26,1999-03-27,,,34.3
erhaltgeb_es.ES1106,ES1106,Lichtenberg,Siedlung Paul-Koenig-Straße / Titastraße,2001-06-01,2001-06-02,,,4.5
erhaltgeb_es.ES1201,ES1201,Reinickendorf,Frohnau,1997-05-17,1997-05-18,,,783.8
erhaltgeb_es.ES1202,ES1202,Reinickendorf,B-Plan XX-187,2000-11-04,2000-11-05,,,1.1
erhaltgeb_es.ES1203,ES1203,Reinickendorf,B-Plan XX-247,2001-03-31,2001-04-01,,,1.9
erhaltgeb_es.ES1204,ES1204,Reinickendorf,B-Plan XX-240a-g,2002-07-04,2002-07-05,,,26.8
