schluessel,bezirk,gebietsname,f_gvbl_dat,f_in_kraft,ae_gvbldat,ae_inkraft,fl_in_ha
ES0704,Tempelhof-Schöneberg,Abendrotsiedlung,13.11.1996,14.11.1996,,,6.4
ES0705,Tempelhof-Schöneberg,Wolframsiedlung,16.09.2000,17.09.2000,,,6.2
ES0706,Tempelhof-Schöneberg,"Stadtrandsiedlung Marienfelde I, II und III",16.06.2001,17.06.2001,,,37.4
ES0707,Tempelhof-Schöneberg,Maaßenstraße,06.11.2010,07.11.2010,,,3.0
ES0708,Tempelhof-Schöneberg,Alt-Lichtenrade,24.03.1981,25.03.1981,,,3.5
ES0801,Neukölln,Rixdorf,29.11.1986,30.11.1986,15.06.1989,16.06.1989,8.4
ES0802,Neukölln,Schillerpromenade,09.07.1996,10.07.1996,06.10.2001,07.10.2001,42.6
ES0803,Neukölln,Krugpfuhlsiedlung,01.11.2008,02.11.2008,,,15.6
ES0804,Neukölln,Ortskern Rudow,01.11.2008,02.11.2008,,,15.8
ES0901,Treptow-Köpenick,Altstadt Köpenick,12.03.1993,13.03.1993,,,18.7
ES0902,Treptow-Köpenick,Kietz-Vorstadt,12.03.1993,13.03.1993,,,6.4
ES0903,Treptow-Köpenick,Friedrichshagen,12.03.1993,13.03.1993,,,95.5
ES0904,Treptow-Köpenick,Oberschöneweide,22.12.2004,23.12.2004,,,89.8
ES0905,Treptow-Köpenick,Hirschgarten,27.07.1999,28.07.1999,,,14.6
ES0906,Treptow-Köpenick,Alter Dorfkern Rahnsdorf,25.01.2001,26.01.2001,,,5.8
ES0907,Treptow-Köpenick,Teilbereich Hessenwinkel,21.04.2001,22.04.2001,,,39.8
ES0908,Treptow-Köpenick,Wilhelmshagen,21.04.2001,22.04.2001,,,40.8
ES0909,Treptow-Köpenick,Pflanzgartensiedlung,16.11.2004,17.11.2004,,,14.7
ES0910,Treptow-Köpenick,Wohnanlage Dammweg,20.09.2007,21.09.2007,,,1.5
ES0911,Treptow-Köpenick,Dorfkern Alt-Müggelheim,06.03.2008,07.03.2008,,,7.0
ES0912,Treptow-Köpenick,Mahlsdorfer Straße 54 bis 61 und Genovevastraße 2,24.12.2020,25.12.2020,,,0.9
ES1101,Lichtenberg,Dorf Malchow,09.11.1993,10.11.1993,06.11.2018,07.11.2018,47.4
ES1102,Lichtenberg,Dorf Wartenberg,09.11.1993,10.11.1993,,,26.7
ES1103,Lichtenberg,Dorf Falkenberg,09.11.1993,10.11.1993,,,34.9
ES1104,Lichtenberg,Kaskelstraße / Viktoriastadt,04.11.1997,05.11.1997,22.12.2004,23.12.2004,28.1
ES1105,Lichtenberg,Seen- / Prinzenviertel,26.03.1999,27.03.1999,,,34.3
ES1106,Lichtenberg,Siedlung Paul-Koenig-Straße / Titastraße,01.06.2001,02.06.2001,,,4.5
ES1201,Reinickendorf,Frohnau,17.05.1997,18.05.1997,,,783.8
ES1202,Reinickendorf,B-Plan XX-187,04.11.2000,05.11.2000,,,1.1
ES1203,Reinickendorf,B-Plan XX-247,31.03.2001,01.04.2001,,,1.9
ES1204,Reinickendorf,B-Plan XX-240a-g,04.07.2002,05.07.2002,,,26.8
