,bank_id,name,brand,operator,street,housenumber,postcode,opening_hours,atm,wheelchair,latitude,longitude,district,district_id
33,282759670,santander,santander,nan,frankfurter allee,70,10247,"tu,th 09:00-13:00,14:00-18:00; mo,we 09:00-13:00,14:00-16:00; fr 09:00-14:00",unknown,unknown,52.5142273,13.4672334,Friedrichshain-Kreuzberg,11002002
34,282833032,sparkasse,nan,berliner sparkasse,hultschiner damm,83,12623,"mo,we,fr 09:30-15:00; tu,th 09:30-18:00; ph off",false,true,52.4827553,13.6012962,Marzahn-Hellersdorf,11010010
35,283287313,sparkasse,nan,berliner sparkasse,berliner straße,99,13507,mo-th 09:30-18:00; fr 09:30-16:00,true,false,52.5894424,13.2840835,Reinickendorf,11012012
36,283287364,sparkasse,nan,berliner sparkasse,oranienburger straße,194,13437,"mo-fr 06:00-23:00; sa,su 08:00-23:00",true,true,52.5956546,13.332671,Reinickendorf,11012012
37,283287402,sparkasse,nan,berliner sparkasse,müllerstraße,53,13349,"mo,we,fr 09:30-15:00; tu,th 09:30-18:00",true,true,52.5531369,13.347713,Mitte,11001001
38,283287488,sparkasse,nan,berliner sparkasse,friedrichstraße,148,10117,"tu,th 09:30-18:00; mo,we,fr 09:30-15:00; ph closed",true,true,52.5195079,13.3881322,Mitte,11001001
39,285082079,sparkasse,nan,berliner sparkasse,warschauer straße,55,10243,"mo,we,fr 09:30-15:00; tu,th 09:30-18:00",true,true,52.5086558,13.4513189,Friedrichshain-Kreuzberg,11002002
40,287444109,reisebank,reisebank,nan,nan,nan,nan,"mo-su,ph 08:00-21:00",true,true,52.5066412,13.3321498,Charlottenburg-Wilmersdorf,11004004
41,292051576,sparkasse,nan,berliner sparkasse,bölschestraße,81,12587,"mo,we,fr 09:30-15:00; tu,th 09:30-18:00",true,true,52.455179,13.6249313,Treptow-Köpenick,11009009
42,292700480,sparda-bank berlin,sparda-bank berlin,sparda-bank berlin eg,nan,nan,nan,"mo-th 09:00-13:00,14:00-18:00; we,fr 09:00-13:00",true,true,52.5893531,13.2835504,Reinickendorf,11012012
43,302949475,sparkasse,nan,berliner sparkasse,falkenseer chaussee,33,13583,"mo,we,fr 09:30-15:00; tu,th 09:30-18:00",true,true,52.5480048,13.1836134,Spandau,11005005
44,304791561,santander,santander,santander consumer bank,schönhauser allee,85,10439,"mo-th 09:00-13:00, mo,we 14:00-16:00, tu,th 14:00-18:00, fr 09:00-14:00",true,false,52.5515043,13.4144894,Pankow,11003003
45,310385704,deutsche bank,deutsche bank,nan,wexstraße,1,10825,"mo,tu 14:00-18:00; we,th 10:00-13:00; fr 10:00-14:00",true,false,52.4789708,13.3433052,Tempelhof-Schöneberg,11007007
46,311039022,deutsche bank,deutsche bank,nan,kurfürstendamm,28,10719,unknown,true,true,52.5031107,13.3268376,Charlottenburg-Wilmersdorf,11004004
47,313144189,sparkasse sb-center,nan,berliner sparkasse,nan,nan,nan,mo-fr 07:00-24:00; sa 07:00-23:30,true,true,52.52588,13.4471598,Friedrichshain-Kreuzberg,11002002
48,313162501,sparda-bank berlin,sparda-bank berlin,nan,schloßstraße,97,12163,"tu,th,fr 09:00-13:00, tu,th 14:00-18:00",unknown,true,52.4588324,13.3228843,Steglitz-Zehlendorf,11006006
49,313233252,commerzbank,commerzbank,commerzbank,nan,nan,nan,mo-fr 09:00-19:00,unknown,true,52.5041776,13.3349624,Charlottenburg-Wilmersdorf,11004004
50,315816388,sparkasse,nan,berliner sparkasse,hauptstraße,135,10827,"mo,we,fr 09:30-15:00; tu,th 09:30-18:00",true,false,52.4849159,13.3544351,Tempelhof-Schöneberg,11007007
51,316772344,berliner volksbank,berliner volksbank,berliner volksbank,nan,nan,nan,"mo-fr 10:00-13:00,14:00-18:00",true,false,52.5893241,13.2842965,Reinickendorf,11012012
52,319229036,commerzbank,commerzbank,commerzbank,nan,nan,nan,"mo-fr 09:00-13:00, th 14:00-18:00, tu 14:00-16:00",true,true,52.4322593,13.5357184,Treptow-Köpenick,11009009
53,322078516,postbank,postbank,nan,müllerstraße,156b,13353,mo-fr 09:00-18:30; sa 09:00-14:00,true,unknown,52.5452716,13.3606846,Mitte,11001001
54,323597687,deutsche bank,deutsche bank,deutsche bank,nan,nan,nan,"mo,tu,th 10:00-12:30, we,fr 10:00-14:00, mo,tu,th 14:00-18:00",true,true,52.4282677,13.3270905,Steglitz-Zehlendorf,11006006
55,323602520,berliner volksbank,berliner volksbank,berliner volksbank,kranoldplatz,2,12209,mo-fr 10:00-13:00,true,unknown,52.4278403,13.3276196,Steglitz-Zehlendorf,11006006
56,324365784,sparkasse,nan,berliner sparkasse,karl-marx-allee,91,10243,"mo,we,fr 09:30-15:00; tu,th 09:30-18:00",unknown,true,52.5177105,13.4401523,Friedrichshain-Kreuzberg,11002002
57,330140989,sparkasse,nan,berliner sparkasse,skalitzer straße,15,10999,"mo,we,fr 09:30-15:00; tu,th 09:30-18:00",true,true,52.4988786,13.420093,Friedrichshain-Kreuzberg,11002002
58,331515778,gls bank,nan,gls gemeinschaftsbank,schumannstraße,10,10117,"mo-th 10:00-12:30,14:00-16:00; fr 10:00-13:00",true,true,52.5241263,13.3828334,Mitte,11001001
59,332967732,santander,santander,nan,prinzenallee,89-90,13357,"mo,tu,th 09:00-13:00, tu,th 14:00-18:00, fr 09:00-14:00, we 09:00-13:00,14:00-16:00",unknown,unknown,52.5528208,13.3816626,Mitte,11001001
60,334727707,sparkasse,nan,berliner sparkasse,muskauer straße,48,10997,"mo,we,fr 09:30-15:00; tu,th 09:30-18:00",true,true,52.5013818,13.4312566,Friedrichshain-Kreuzberg,11002002
