element,id,name,brand,operator,street,housenumber,postcode,opening_hours,atm,wheelchair,latitude,longitude,district,district_id
node,2287986935,dz-bank,dz bank,"dz bank ag deutsche zentral-genossenschaftsbank, frankfurt am main",pariser platz,3,10117,mo-fr 09:00-18:00,unknown,true,52.5157252,13.3789891,Mitte,nan
node,2306458637,sparkasse,nan,berliner sparkasse,nazarethkirchstraße,51,13347,"mo,we,fr 09:30-15:00; tu,th 09:30-18:00",true,false,52.547597,13.3587744,Mitte,nan
node,2307254000,deutsche bank,deutsche bank,deutsche bank ag,nan,nan,nan,"mo,tu,th 10:00-12:30,14:00-18:00; we,fr 10:00-14:00",true,true,52.4862119,13.3221245,Charlottenburg-Wilmersdorf,nan
node,2334538121,sparkasse,nan,berliner sparkasse,kurfürstendamm,165-166,10707,"mo,we,fr 09:30-15:00; tu,th 09:30-18:00",true,true,52.4996981,13.3074715,Charlottenburg-Wilmersdorf,nan
node,2439759134,commerzbank,commerzbank,nan,theodor-heuss-platz,4,14052,mo-su 06:00-22:00,true,true,52.5100952,13.2730463,Charlottenburg-Wilmersdorf,nan
node,2439759285,sparkasse,nan,berliner sparkasse,theodor-heuss-platz,8,14052,"mo,we,fr 09:30-15:00; tu,th 09:30-18:00",true,true,52.5102719,13.2719203,Charlottenburg-Wilmersdorf,nan
node,2445456642,sparkasse,nan,berliner sparkasse,berliner straße,40-41,10715,"mo,we,fr 09:30-15:00; tu,th 09:30-18:00",true,false,52.486668,13.3206331,Charlottenburg-Wilmersdorf,nan
node,2470102842,sparkasse,nan,berliner sparkasse,goltzstraße,38,12307,"mo,we,fr 09:30-15:00; tu,th 09:30-18:00",true,true,52.3868513,13.4089,Tempelhof-Schöneberg,nan
node,2480681072,lbs,nan,lbs beratungszentrum berlin-schöneberg,hauptstraße,98-99,10827,mo-th 10:00-17:00; fr 10:00-15:00,true,false,52.4793307,13.3455025,Tempelhof-Schöneberg,nan
node,2496651178,sparkasse,nan,berliner sparkasse,gneisenaustraße,6,10961,"mo,we,fr 09:30-15:00; tu,th 09:30-18:00",true,true,52.4922683,13.3893067,Friedrichshain-Kreuzberg,nan
node,2499471193,santander,santander,nan,clayallee,328 - 334,14169,"mo,tu,th 09:00-13:00,14:00-18:00; we 09:00-13:00,14:00-16:00; fr 09:00-14:00",true,true,52.4381214,13.262619,Steglitz-Zehlendorf,nan
node,2507402476,berliner volksbank,berliner volksbank,berliner volksbank eg,wollankstraße,132,13187,"mo-fr 10:00-13:00, tu,th 14:00-18:00, mo 14:00-16:00",true,unknown,52.5687746,13.4002748,Pankow,nan
node,2820028497,unicredit bank,unicredit bank,nan,dörpfeldstraße,30,12489,24/7,true,true,52.4338086,13.5382031,Treptow-Köpenick,nan
node,2821286563,postbank,postbank,nan,gutschmidtstraße,29,12359,mo-fr 09:00-18:30; sa 09:00-13:00,true,true,52.4367159,13.4471093,Neukölln,nan
node,2836989101,commerzbank,commerzbank,nan,bölschestraße,74,12587,"mo-th 09:00-13:00, mo,we 14:00-16:00; tu,th 14:30-18:00; fr 09:00-14:00",unknown,false,52.4563301,13.6249484,Treptow-Köpenick,nan
node,3014055807,hypovereinsbank,hypovereinsbank,nan,nan,nan,nan,"mo-fr 10:00-13:00, tu,th 14:30-17:00",true,true,52.5107446,13.3900711,Mitte,nan
node,3079610524,sparkasse,nan,berliner sparkasse,wiltbergstraße,5,13125,mo-fr 09:30-15:00,unknown,true,52.635025,13.49581,Pankow,nan
node,3089158091,sparkasse,nan,berliner sparkasse,heinsestraße,38-40,13467,"mo,we,fr 09:30-15:00; tu,th 09:30-18:00; sa,su,ph off",true,true,52.617724,13.3062993,Reinickendorf,nan
node,3142792933,postbank,postbank,nan,nan,nan,nan,"mo-fr 09:30-18:30; sa 09:00-14:00 || mo-fr 08:00-18:30; sa 09:00-14:00 ""sb-bereich""",true,true,52.5197331,13.4115175,Mitte,nan
node,3167658080,santander,santander,santander consumer bank ag,hermannplatz,5-6,10967,"mo,we 09:00-13:00,14:00-16:00; tu,th 09:00-13:00,14:00-18:00; fr 09:00-14:00",true,unknown,52.4869924,13.4251445,Neukölln,nan
node,3229138227,deutsche bank,deutsche bank,deutsche bank,schloßstraße,114,12163,"mo,tu,th 10:00-18:00; we 10:00-16:00; fr 10:00-14:00; sa,su,ph off || ""by appointment""",true,unknown,52.4619862,13.3259071,Steglitz-Zehlendorf,nan
node,3229138230,commerzbank,commerzbank,commerzbank ag,schloßstraße,104,12163,"mo-fr 09:00-13:00, mo 14:00-16:00, tu,th 14:30-18:00",true,unknown,52.4601342,13.3241151,Steglitz-Zehlendorf,nan
node,3229138233,berliner volksbank,berliner volksbank,nan,schloßstraße,102,12163,"mo 10:00-13:00,14:00-16:00; tu,th 10:00-13:00,14:00-18:00; we,fr 10:00-13:00; sa-su off",true,unknown,52.4599197,13.3239486,Steglitz-Zehlendorf,nan
