date,Berlin,Mitte,"Friedrichs-
 hain-
 Kreuz-
 berg",Pankow,"Charlotten-
 burg-
 Wilmers-
 dorf",Spandau,"Steglitz-
 Zehlen-
 dorf","Tempel-
 hof-
 Schöne-
 berg",Neukölln,"Treptow-
 Köpenick","Marzahn-
 Hellers-
 dorf","Lichten-
 berg","Reinicken-
 dorf"
31-12-2013,42.9,39.1,37.5,40.8,45.8,44.4,46.2,44.1,41.2,45.5,43.3,43.2,45.1
31-12-2014,42.9,39.1,37.7,40.8,45.8,44.3,46.4,44.2,41.3,45.5,43.5,43.3,45.1
31-12-2015,42.8,39.0,37.7,40.7,45.6,44.0,46.3,44.0,41.2,45.3,43.5,43.0,45.0
31-12-2016,42.7,38.9,37.8,40.7,45.5,43.7,46.2,43.9,41.3,45.0,43.6,42.7,44.7
31-12-2017,42.7,38.9,37.9,40.7,45.6,43.7,46.2,44.0,41.4,44.8,43.5,42.6,44.7
31-12-2018,42.7,38.9,38.1,40.8,45.6,43.7,46.3,44.0,41.4,44.7,43.7,42.5,44.7
31-12-2019,42.8,39.0,38.2,40.9,45.7,43.6,46.3,44.0,41.6,44.5,43.8,42.4,44.7
31-12-2020,42.8,39.0,38.2,40.9,45.7,43.6,46.3,44.0,41.6,44.5,43.8,42.4,44.7
31-12-2021,42.9,39.2,38.7,41.2,45.5,43.6,46.5,44.2,41.8,44.3,43.7,42.3,44.8
31-12-2022,42.7,39.1,38.8,41.2,45.2,43.2,46.3,44.0,41.8,43.9,43.6,42.0,44.6
31-12-2023,42.7,39.3,39.1,41.4,45.1,43.1,46.4,44.0,41.9,43.7,43.4,41.9,44.6
31-12-2024,42.8,39.6,39.4,41.5,45.1,43.0,46.5,44.0,41.9,43.6,43.4,41.8,44.5
