,id,name,lat,lon,tram,bus,adress
48,900175555,Adolfstr. (Berlin),52.505094,13.585047,False,True,"Adolfstr., 12621 Berlin, Germany"
49,900040104,Agathe-Lasch-Platz (Berlin),52.498037,13.296349,False,True,"Ku'Damm / Joachim-Friedrich-Str., 10711 Berlin, Germany"
50,900064258,Ahlener Weg (Berlin),52.410518,13.30506,False,True,"Ahlener Weg, 12207 Berlin, Germany"
51,900073253,Ahrensdorfer Str. (Berlin),52.408981,13.359256,False,True,"Ahrensdorfer Str., 12279 Berlin, Germany"
52,900194525,Albert-Einstein-Str. (Berlin),52.431122,13.539445,False,True,"Albert-Einstein-Str., 12489 Berlin, Germany"
53,900054151,Albertstr. (Berlin),52.484509,13.352981,False,True,"Hauptstraße 35, 10827 Berlin, Germany"
54,900058107,Alboinplatz (Berlin),52.461191,13.369755,False,True,"Alboinplatz, 12103 Berlin, Germany"
55,900058151,Alboinstr./Arnulfstr. (Berlin),52.455743,13.369863,False,True,"Arnulfstraße 90, 12105 Berlin, Germany"
56,900068204,Albrechtstr./Manteuffelstr. (Berlin),52.461065,13.376713,False,True,"Albrechtstr./Manteuffelstr., 12103 Berlin, Germany"
57,900195009,Alemannenstr. (Berlin),52.414806,13.552075,False,True,"Germanenstraße 60, 12524 Berlin, Germany"
58,900092205,Alemannenstr./Maximiliankorso (Berlin),52.634143,13.281167,False,True,"Alemannenstr./Maximiliankorso, 13465 Berlin, Germany"
59,900196515,Alexander-Meißner-Str. (Berlin),52.396486,13.540442,False,True,"Alexander-Meißner-Straße 1, 12526 Berlin, Germany"
60,900100518,Alexanderstr. (Berlin),52.517742,13.418126,False,True,"Alexanderstr., Holzmarktstraße 73, 10179 Berlin, Germany"
61,900012156,Alexandrinenstr. (Berlin),52.505157,13.405326,False,True,"Alexandrinenstraße/Oranienstraße, 10969 Berlin, Germany"
62,900037131,Alfons-Loewe-Str. (Berlin),52.549051,13.133357,False,True,"Alfons-Loewe-Str., 13591 Berlin, Germany"
63,900175525,Alice-Herz-Platz (Berlin),52.513903,13.606378,False,True,"Alice-Herz-Platz, 12623 Berlin, Germany"
64,900051255,Alliiertenmuseum (Berlin),52.45648,13.273661,False,True,"Alliiertenmuseum, 14195 Berlin, Germany"
65,900093202,Almutstr. (Berlin),52.615311,13.317177,False,True,"B96 18, 13467 Berlin, Germany"
66,900065151,Alsterweg (Berlin),52.412892,13.276618,False,True,"Alsterweg, 14167 Berlin, Germany"
67,900142502,Alt-Blankenburg (Berlin),52.593044,13.45331,False,True,"Berlin, Alt-Blankenburg, 13129 Berlin, Germany"
68,900135511,Alt-Buch (Berlin),52.636786,13.50293,False,True,"Alt-Buch, 13125 Berlin, Germany"
69,900135506,Alt-Buch/Wiltbergstr. (Berlin),52.634637,13.496764,False,True,"Alt-Buch/Wiltbergstr., 13125 Berlin, Germany"
70,900081201,Alt-Buckow (Berlin),52.423715,13.436365,False,True,"Alt-Buckow 2, 12349 Berlin, Germany"
71,900161005,Alt-Friedrichsfelde/Gensinger Str. (Berlin),52.510146,13.531939,False,True,"Alt-Friedrichsfelde/Gensinger Str., 10315 Berlin, Germany"
72,900161519,Alt-Friedrichsfelde 60 (Berlin),52.510128,13.525161,False,True,"Alt-Friedrichsfelde 60, 10315 Berlin, Germany"
73,900038104,Alt-Gatow (Berlin),52.483412,13.183067,False,True,"Alt-Gatow, 14089 Berlin, Germany"
74,900091101,Alt-Heiligensee (Berlin),52.606762,13.212058,False,True,"Berlin, Alt-Heiligensee, 13503 Berlin, Germany"
75,900143509,Alt-Karow (Berlin),52.610897,13.482408,False,True,"Alt-Karow, 13125 Berlin, Germany"
76,900143500,Alt-Karow/Straße 74 (Berlin),52.613845,13.484386,False,True,"Str. 74 5, 13125 Berlin, Germany"
77,900175548,Alt-Kaulsdorf/Chemnitzer Str. (Berlin),52.504564,13.581442,False,True,"Chemnitzer Str. 5, 12621 Berlin, Germany"
78,900095101,Alt-Lübars (Berlin),52.620201,13.355507,False,True,"Alt-Lübars, 13469 Berlin, Germany"
79,900003157,Alt-Moabit/Rathaus Tiergarten (Berlin),52.525625,13.338644,False,True,"Alt-Moabit/Rathaus Tiergarten, 10555 Berlin, Germany"
80,900184002,Alt-Müggelheim (Berlin),52.409907,13.666462,False,True,"Gosener Damm 15, 12559 Berlin, Germany"
81,900032402,Alt-Pichelsdorf (Berlin),52.513211,13.196947,False,True,"Heerstraße 220, 13595 Berlin, Germany"
82,900083251,Alt-Rudow/Köpenicker Str. (Berlin),52.417782,13.495568,False,True,"Alt-Rudow 57, 12357 Berlin, Germany"
83,900049374,Alt-Schönow (Berlin),52.407022,13.267737,False,True,"Alt-Schönow, 14167 Berlin, Germany"
84,900037159,Alt-Staaken Kirche (Berlin),52.530336,13.14053,False,True,"Hauptstraße 33, 13591 Berlin, Germany"
85,900120501,Alt-Stralau (Berlin),52.49268,13.476619,False,True,"Alt-Stralau, 10245 Berlin, Germany"
86,900190501,Alt-Treptow (Berlin),52.48708,13.477158,False,True,"Alt-Treptow, 12435 Berlin, Germany"
87,900096404,Alt-Wittenau/Roedernallee (Berlin),52.589143,13.339174,False,True,"Alt-Wittenau/Roedernallee, 13469 Berlin, Germany"
88,900180536,Alte Erpe (Berlin),52.452453,13.578584,False,True,"Friedrichshagener Str. 4, 12555 Berlin, Germany"
89,900026171,Altenburger Allee (Berlin),52.518416,13.258109,False,True,"Altenburger Allee, 14052 Berlin, Germany"
90,900051313,Altensteinstr./Fabeckstr. (Berlin),52.451042,13.295846,False,True,"Altensteinstraße/Fabeckstraße, 14195 Berlin, Germany"
