name,gem,namgem,namlan,lan
11000001,001,Mitte,Berlin,11
11000002,002,Friedrichshain-Kreuzberg,Berlin,11
11000003,003,Pankow,Berlin,11
11000004,004,Charlottenburg-Wilmersdorf,Berlin,11
11000005,005,Spandau,Berlin,11
11000006,006,Steglitz-Zehlendorf,Berlin,11
11000007,007,Tempelhof-Schöneberg,Berlin,11
11000008,008,Neukölln,Berlin,11
11000009,009,Treptow-Köpenick,Berlin,11
11000010,010,Marzahn-Hellersdorf,Berlin,11
11000011,011,Lichtenberg,Berlin,11
11000012,012,Reinickendorf,Berlin,11
